Mod Name,Project ID,File ID,Version,Author(s),Summary,File Size (Bytes),Game Versions
Golden Foods!,873866,5860674,[Forge/Fabric] Golden Foods! - MC 1.20.1 - 2.4.0,"Lupin, jason13official",Add golden food variants to the vanilla version!,258568,"Fabric, 1.20.1, Forge"
Cable Tiers,454382,5104156,cabletiers-1.20.1-1.2.2.jar,Ultramegaaa,"Adds better Exporter, Importer, Constructor, Destructor, Disk Manipulator, Interface, Requester from Refined Storage and RSRequestify",298768,"1.20.1, Forge"
Pehkui,319596,5393101,[1.20.1] [Forge] Pehkui 3.8.2,Virtuoel,"Allows resizing of most entities, shrinking their scale smaller or growing their size larger",671605,"NeoForge, 1.20.1, Forge"
Vergil Origin,965882,5054689,Vergil 1.20.1,williamblake_enthusiast,Adds The ENTIRE Vergil moveset from DMC5 for the yamato and trick actions and 2 mirage blade moves.,56802,"1.20.1, Forge, Server"
Inventory Pets,229380,5776970,InventoryPets-1.20.1-2.1.3,Purplicious_Cow_,"Inventory Pets are living animated creatures that exist in your inventory and give you amazing special effects, drops, buffs, utilities, defenses, and weapons in exchange for care and feeding.",7432844,"Client, 1.20.1, Forge, Server"
KleeSlabs,241895,6119987,kleeslabs-forge-1.20-15.0.4.jar,BlayTheNinth,Break only the half of a double slab that you're looking at.,297404,"1.20.1, Forge, 1.20"
Auudio [Forge],606159,4203288,"[Forge] v1.0.3 MC 1.19.3-1.20.2,1.20.4",Keksuccino,Library mod to easily play background sound in menus and worlds.,27560,"1.19.3, 1.20.2, 1.19.4, 1.20.1, Forge, 1.20, 1.20.4"
The New Shutters,714019,5583781,shutter-2.0.5-1.20.1.jar,"nudlauflauch, Helgerius",A small decoration mod for your windows,862320,"Client, 1.20.1, Forge, Server"
XyCraft: World,653789,4788863,XyCraft World v0.6.22,Soaryn,World Generation for XyCraft,2803117,"Client, NeoForge, 1.20.1, Forge, Server"
Colossal Chests,237875,4620461,ColossalChests-1.20.1-1.8.4.jar,kroeser,For when regular chests are too small,227254,"1.20.1, Forge"
TerraBlender (Forge),563928,5378180,TerraBlender Forge 1.20.1-3.0.1.7,TheAdubbz,A library mod for adding biomes in a simple and compatible manner!,107534,"1.20.1, Forge"
Translucency Fix,509414,5082025,Translucency Fix 2.2.0 for Forge & NeoForge,ruvaldak,Allows resource packs to use translucency (semi-transparency) in the HUD and GUI.,230929,"Client, NeoForge, 1.20.1, Forge, 1.20"
Chisel Chipped Integration,971089,5844298,Chisel Chipped Integration 1.1.4 1.20.1,zSemper,Adds blocks from the chisel mod.,2352611,"Client, NeoForge, 1.20.1, Forge, Server"
Enchanting Infuser [Forge & Fabric],551151,5528724,[FORGE] [1.20.1] EnchantingInfuser-v8.0.3,Fuzs,An all new enchanting table: Choose your enchantments for fair prices! Plus no more randomness!,177437,"1.20.1, Forge"
Mana Unification,1083306,5729342,Mana Unification Mod-1.20.1-[NeoForge]-1.20.1-1.0.3,Nyfaria,Unifies Mana between Magic Mods.,245975,"Client, NeoForge, 1.20.1, Forge, Server"
Berry Fix,971692,5371492,[Forge] 1.1.1 - Actual Code,therealtonygamer,Makes sweet berries and similar items prefer beubg eateb over being placed,5628,"Client, 1.20.1, Forge"
Towers of the Wild: Additions,560091,4666394,[FORGE] totw_additions-1.3.1-1.20.x-forge,Aureljz,Adds nether and end towers for Towers of the Wild,712538,"1.20.1, Forge, 1.20"
Superflat World No Slimes,344185,6184996,[Fabric/Forge/Neo] 1.20.1-3.5 | Superflat World No Slimes,Serilum,?? Removes those pesky slimes when you're trying to be creative in a superflat world.,19903,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Draconic Evolution Delight,1079626,6067321,draconicevolutiondelight-1.0.4.1-1.20.1,Project_Count,Adds compatibility between Draconic Evolution and Farmer's Delight. Vanilla style.,44361,"Client, 1.20.1, Forge, Server"
Create Low-Heated,873945,5393309,createlowheated-forge-1.20.1-0.5.1.f-i.jar,zeh_maria,Do you dislike passive heating? Replace it.,158230,"Client, NeoForge, 1.20.1, Forge, Server"
OctoLib,916747,5644693,OctoLib-FORGE-0.4.2+1.20.1.jar,SSKirillSS,Collection of shared code for SSKirillSS's mods,401032,"Client, NeoForge, 1.20.1, Forge, Server"
Create Artifact,1131224,6105010,createartifactscompat-1.0.2.2-1.20.1,Project_Count,Adds compatibility between Artifacts and Create. Vanilla style.,30514,"Client, 1.20.1, Forge, Server"
Compact Machines,224218,6000230,compactmachines-forge-6.0.3.jar,"davenonymous, RobotGryphon",Adds one simple game mechanic: Small rooms inside of blocks. It basically gives you the ability to build your contraptions inside of a single block.,678631,"Client, 1.20.1, Forge, Server"
Random Loot Mod,301631,4745913,Random Loot 2 - 0.0.0-alpha.9,milomaz1,"It's looting like you've never seen it before! Mobs, chests, and bosses drop new loot cases!",316229,"1.20.1, Forge"
Non Intrusive Doors,951186,4963373,nonintrusivedoors-0.1-1.20.1.jar,Bamberger,Designed to minimize the chances of getting stuck while traversing doorways and trapdoors,17065,"Client, 1.20.1, Forge"
Swampier Swamps (Forge),632591,4578599,Forge Swampier Swamps-1.20-4.0.0,andrew0030,Swampier Swamps is a Mod that aims to overhaul and improve the Swamp Biome and some of the features added in the Wild Update.,716088,"1.20.1, Forge, 1.20"
Casualness Delight,909519,5181805,casualness_delight-1.20.1-0.4n.jar,TobishiroGinko,This is an extension module of Farmer's Delight,233593,"Client, NeoForge, 1.20.1, Forge, Server"
Loot Integrations: Awesome Dungeon,1129961,6168538,lootintegrations_awesome-1.5.jar,someaddon,"Adds better loot to Awesome Dungeon chests, including modded loot",5537,"1.21, Fabric, 1.18.2, 1.19.2, NeoForge, 1.20.1, Forge, 1.21.1, Server"
Useful Spyglass,840027,5245771,usefulspyglass-forge-1.20.1-0.6.1.jar,BrokenK3yboard,Viewing a mob or player with a spyglass displays some information on the screen. Also adds a unique enchantment for the spyglass.,210479,"NeoForge, 1.20.1, Forge"
Game Menu Remove GFARB,420519,4664631,GameMenuRemoveGFARB-1.19.4-2.1.2-Forge,morimori0317,"Remove the ""Give Feed Back"" and ""Report Bugs"" buttons from the game menu.",57110,"1.20.2, 1.19.4, 1.20.1, Forge, 1.20, 1.20.4"
Advanced Book,1167321,6053601,advancedbook-1.0.4.jar,Eennou,Book with graphics!,147312,"1.20.2, 1.20.5, Client, 1.20.3, 1.20.1, Forge, 1.20.6, 1.20.4, Server"
Seafarer[FORGE],1098212,5880189,seafarer-1.0.4.jar,p33ko32213,"A mod that aims to improve Minecraft's Oceans by adding a wide array of new blocks, mobs, mechanics and more!",1000702,"1.20.1, Forge"
SuperMartijn642's Core Lib,454372,6034718,SuperMartijn642's Core Lib 1.1.18 for Forge 1.20.1,SuperMartijn642,SuperMartijn642's Core Lib adds lots of basic implementations that allow for similar code between different Minecraft versions!,515362,"Client, 1.20.1, Forge, 1.20, Server"
Illager Invasion [Forge & Fabric],891324,6192869,[FORGE] [1.20.1] IllagerInvasion-v8.0.7,Fuzs,The illagers are back! Be ready to fight new foes. A port of Illager Expansion.,2341695,"1.20.1, Forge"
Dense Ores - Abundant!,729297,4993069,denseores-1.20.1-1.2.2.jar,NewJumperr,Ores that drop more materials!,175125,"1.20.1, Forge"
Subterrestrial,575588,4574890,subterrestrial-forge-1.20-2.2.0.jar,AlexNijjar,Adds Underground Cabins from Terraria.,310667,"1.20.1, Forge, 1.20"
The Outer End,430404,5812948,TheOuterEnd-1.0.10.jar,"BlueDuck, GiantLuigi4, LudoCrypt",An End Expansion mod that improves the lackluster End Dimension,25018793,"Client, 1.20.1, Forge, Server"
YUNG's Better Mineshafts (Forge),389665,4769063,[1.20] YUNG's Better Mineshafts v4.0.4 (Forge),YUNGNICKYOUNG,A long-awaited and much-needed abandoned mineshaft overhaul!,492998,"1.20.1, Forge, 1.20"
Incubation,361718,6133781,Incubation 1.20.1 - 4.0.4,"TeamAbnormals, martianarchitecture, bageldotjpg",Lays down a dozen of egg-related features!,482946,"NeoForge, 1.20.1, Forge"
Curios API (Forge/NeoForge),309927,6058834,curios-forge-5.11.1+1.20.1.jar,TheIllusiveC4,A flexible and expandable accessory/equipment API for users and developers.,390918,"NeoForge, 1.20.1, Forge, 1.20"
Recipe Essentials[Forge/Fabric],907856,6165709,recipeessentials-1.20.1-4.0.jar,someaddon,Essential fixes and improvements around recipes and crafting,50739,"Client, NeoForge, 1.20.1, Forge, Server"
Lava Walker [Forge/Fabric],580033,4685377,forge-lava_walker_2.0.0,mikndesu,You can walk over lava without any fear.,20189,"1.20.1, Forge, 1.20"
Better Fire Resistance,1035568,6125782,betterfireresistance-forge-1.20.1-1.2.2.jar,Qzimyion,Modifies the fire resistance effect which allows it to remove the fire overlay,799483,"Client, 1.20.1, Forge"
Mo' Glowstone,253336,5107349,mo-glowstone-1.20.1-2.4.6.jar,TheMasterGeneral,A small mod that adds differently colored glowstone blocks!,150077,"NeoForge, 1.20.1, Forge"
Lodestone,616457,5929869,lodestone-1.20.1-1.6.4.1.jar,sammysemicolon,A collection of code used throughout projects under the Lodestar team.,671950,"Client, NeoForge, 1.20.1, Forge, Server"
Iron Fishing Rods,515299,5430981,Iron Fishing Rods 1.0.0,TrueRealCursed_Warrior,"Adds New Fishings Rods to the Game, Made of Various Materials",31481,"1.20.1, Forge"
Tinkers Construct Structures,1143382,6135017,tinkersconstructstructures-1.0.1-1.20.1,Project_Count,Adds structure to Tinkers Construct. Vanilla style.,38174,"Client, 1.20.1, Forge, Server"
Poisons Origins,1101041,5722372,Poisons Origins 1.1.jar,Bloodpoison,"A Small Project, I Intent on adding One Origin per Week",33440,"Client, 1.20.1, Forge, Server"
FTB Ultimine (Forge),386134,5363345,ftb-ultimine-forge-2001.1.5.jar,"FTB, ErrorMikey",Harvest multiple blocks at once,108517,"1.20.1, Forge"
Scholar,961802,5214379,Scholar - Forge 1.20.1 - 1.0.0,mortuusars,"Two-page book editing/viewing, colored books and other book-related improvements",198940,"Client, NeoForge, 1.20.1, Forge, Server"
Geologic Expansion,547397,6081827,GeologicExpansion-Forge-1.20.1-1.0.2.jar,BlackGear,A mod that adds new features to expand on the overworld and the geological aspects of the game.,1232346,"Client, NeoForge, 1.20.1, Forge, Server"
Create: Copies & Cats,961317,5037469,copiescats-0.0.1-1.20.1.jar,Redcat,Adds more copycats to use in your builds!,114808,"1.20.1, Forge, Server"
Friends&Foes - Beekeeper Hut (Forge/NeoForge),711903,5523327,Friends&Foes - Beekeeper Hut 2.0.1,Faboslav,"An addon for the Friends&Foes mod, adding a beekeeper hut structure.",224557,"1.20.1, Forge"
Extreme Craft,1056089,5496382,extremecraft-1.0.0-1.20.1,Project_Count,Makes all vanilla crafts 2-3 times more difficult.,412146,"Client, 1.20.1, Forge, Server"
Neruina - Ticking Entity Fixer,851046,5666519,Neruina Forge 2.1.2 for 1.20.1,bawnorton,A Mod that prevents ticking-related crashes from bricking worlds,3086403,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Multi-Piston,303278,5204918,multipiston-1.20-1.2.43-RELEASE.jar,"Raycoms, OrionOnline, someaddon",Multi-directional Piston Block,38718,"1.20.1, Forge, 1.20"
Project Red - Fabrication,230111,6107614,ProjectRed-1.20.1-4.20.1-beta+4-fabrication.jar,"MrTJP, covers1624",Redstone enthusiasts' one-stop-shop. Fabrication module for Project Red.,764187,"NeoForge, 1.20.1, Forge"
Mekanism Additions,345425,6123080,MekanismAdditions-1.20.1-10.4.14.71.jar,"bradyaidanc, Thiakil, pupnewfster, thommy101","Additions module for Mekanism, contains things that don't quite fit in the other modules.",1136798,"NeoForge, 1.20.1, Forge"
Runelic,393149,4714779,Runelic-Forge-1.20.1-18.0.2.jar,DarkhaxDev,A runic font for Minecraft.,63314,"Client, NeoForge, 1.20.1, Forge, Server"
Bosses of Mass Destruction [Forge | NeoForge],941573,5067728,BOMD-Forge-1.20.1-1.1.2.jar,Cerbon,WIP mod that adds boss fights to Minecraft,1753623,"NeoForge, 1.20.1, Forge"
Cosmetic Armor Reworked,237307,4600191,cosmeticarmorreworked-1.20.1-v1a.jar,LainMI,"This mod allows you to wear two sets of armor, one for display, one for function.",88752,"Client, 1.20.1, Forge, Server"
Server Performance - Smooth Chunk Save[Forge/Fabric],582327,6118213,smoothchunk-1.20.1-4.0.jar,someaddon,"Enables lag-free continuous chunk saving, increasing server TPS",13602,"NeoForge, 1.20.1, Forge, Server"
Sky Villages [Forge],545467,5401804,SkyVillages-1.0.4-1.19.2-1.20.1-forge-release.jar,y4z0n,"Yes, that's right! Villages in the land of clouds! Explore massive and beautiful villages in the sky!",246865,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Wakes,884267,5658690,Wakes 0.3.0+1.20.1,Goby56,Adds splashes and wakes while traveling on water,355213,"1.20.2, Fabric, Client, 1.20.1, 1.20"
Decorative Railings,1020926,5709344,decorativerailings 1.20.1 - v1.1 - Forge,Alexander8VKHZ,Railings to decorate your balconies and terraces,1281894,"Client, 1.20.1, Forge, Server"
Rubinated Nether,1096362,6154108,RubinatedNether-forge-1.3.0.E-1.20.1.jar,Artienia,"Rubinated Nether is a Vanilla+ mod which adds the Nether Ruby into the game for utility, decoration and redstone.",2675251,"NeoForge, 1.20.1, Forge"
SebastrnLib,709936,4706669,sebastrnlib-4.0.0.jar,ItsSebastrn,A common mod project for all Sebastrn's mods,541024,"Client, 1.20.1, Forge, Server"
Aether Addon: Protect Your Moa,1016303,5343207,Protect Your Moa - 1.20.1-1.0.0-neoforge,"TheAetherTeam, bconlon, OscarPayn","An addon centered around equipment for Moas, allowing them to be outfitted with chests and craftable Moa Armor.",1226699,"NeoForge, 1.20.1, Forge"
Nebulus Trader for the Plains,985574,5180138,nebulus_plains_trader-1.0.6.jar,Nebulus,add 2 New Tader and more,430367,"Client, 1.20.1, Forge, Server"
Pehkui4All,1067531,5556573,pehkui4all 1.0.1 1.20.1,MrFesli,"Wanted to use pehkui with your friends but dont trust them with OP? This mod is for you! Using the /lesserscale command, you can trust your friends as you, yes YOU change what they can and can't do through a very simple config file! (best used with Figura)",46413,"Client, 1.20.1, Forge, Server"
Bigger Stacks,564896,4858160,biggerstacks-1.20.1-1.0.0-all.jar,thanksihadtosignupforthis,Increases stack limit. Fat stacks.,695334,"1.20.1, Forge"
Re:Avaritia[Forge/Fabric/Neoforge],623969,5740694,Re-Avaritia-forged-1.20.1-1.3.8.3.jar,cnlimiter,A reforged version of Avaritia.,1669492,"Client, NeoForge, 1.20.1, Forge, Server"
EpheroLib,885449,4889101,EpheroLib-1.20.1-FORGE-1.2.0.jar,thethonk,Fabric/Forge library mod to make it a bit easier to develop mods for both platforms,756864,"Client, 1.20.1, Forge, Server"
Tax' Ocean Villager,634557,5795849,Tax' Ocean Villager 3.1.3,"Taknax, Leonxkingx",Ocean Villager is a Minecraft modification aims to add ships with villagers.,3353829,"Client, 1.20.1, Forge, Server"
Mediumcore + Golden Foods!,1033479,5482186,mediumcorefoods-1.0.3-1.20.1.jar,SokaM4,Compatibility for Golden Foods and Mediumcore moe Mod,7056,"Client, 1.20.1, Forge, Server"
Flux Networks,248020,5234697,Flux-Networks-1.20.1-7.2.1,"sonar_sonic, BloCamLimb","Wireless Energy Networks, compatible with FE/EU/RF/TESLA/AE",515573,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
Enigmatic Legacy Delight,1102458,6067313,enigmaticlegacydelight-1.1.1-1.20.1,Project_Count,Adds compatibility between Enigmatic Legacy and Farmer's Delight. Vanilla style.,45418,"Client, 1.20.1, Forge, Server"
Pop!,457826,4593704,Pop 1.20.1-v1.0.0,"ModdingLegacy, KingPhygieBoo",Simple mod that adds the unused bubble popping particle and sound,6949,"Client, 1.20.1, Forge"
Dragon Mounts Patches,1097549,5695468,1.0.0,MuonR,Various fixes for Dragon Mounts: Legacy,193684,"1.20.1, Forge"
Enigmatic Legacy,336184,5600004,EnigmaticLegacy-2.30.1.jar,Aizistral,Magic mod that contributes to vanilla progression,7276807,"1.20.1, Forge"
Enderite CJ Edition (Armor & Tools) [Fabric/Forge/NeoForge/Quilt],845410,5276565,Enderite-CJ-forge-mc-1.20-2.1.0.jar,Craftjakob,"Adds a better variant of Netherite, with new Tools and Armor, which have special effects, that you can configure.",481055,"1.20.1, Forge, 1.20"
Drip Sounds (Forge),390986,4579519,Drip Sounds v0.3.2 (1.19.4-1.20),PieKing1215,Forge mod that adds sounds for drip particles landing,79003,"1.19.4, Client, 1.20.1, Forge, 1.20"
Farmer's Plus,1027020,5519276,farmersplus-1.0.3.jar,EndilCrafter,Quality of Farming Life,384982,"1.20.1, Forge"
Clear Void,909467,4734642,clearvoid-forge-1.3.0.jar,yezhiyi9670,Remove the pitch black bottom half of the skybox at low Y levels. For skyblock players.,9265,"1.19.3, 1.20.2, 1.21, 1.18.1, 1.20.5, 1.19.4, Client, 1.18.2, 1.19.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.6, 1.19.1, 1.20.4, 1.19"
Charming Chisels,1070373,5561449,CharmingChiselsV1.0.jar,Mindthemoods,"Vanilla flavored chisels and insets, in the style of smithing.",6885041,"1.20.1, Forge, Server"
AddonsLib,1090999,6169399,addonslib-1.20.1-1.3,Samlegamer_,"A library to facilitate registration between mods, in particular macaw's bridges/roofs/fences/etc...",104983,"Client, 1.20.1, Forge, Server"
Extra Compat,923005,5973405,Extra Compat 1.5.23,"Cyber_Rat, gyrozeppelifan, w4t3rofficial",Better connects many popular mods and fixes problems from them!,596001,"1.20.1, Forge"
Ender IO: ReCreated,939426,4874771,EnderIOReCreated_1.0.0-forge.jar,Ropyxa,Ender IO: ReCreated is an addon for Create and Ender IO which adds their integration.,12091,"1.20.1, Forge"
Creative Crafter,461245,4845083,creativecrafter-1.20.1-1.1.jar,Ultramegaaa,Adds a Creative Crafter for Refined Storage,57327,"1.20.1, Forge"
Chromatic Enchantments,988714,5738616,chromaticenchantments-1.1.1.jar,ChromaNyan,Unorthodox magical enhancements for your existing equipment; Adds more enchantments to the game.,37536,"NeoForge, 1.20.1, Forge"
Shield Banner Fix,967792,5368460,ShieldBannerFix-Forge-1.20.1-5.0.2.jar,DarkhaxDev,Fixes shields with banners not rendering designs accurately.,44496,"1.20.1, Forge"
Formations Overworld,915324,5550414,Formations Overworld 1.0.4,SuperMartijn642,Formations Overworld adds plenty of new structures to the overworld!,818145,"1.20.2, 1.20.5, Fabric, Client, NeoForge, 1.20.3, 1.20.1, Forge, 1.20, 1.20.6, 1.20.4, Server, Quilt"
Medieval Buildings - New Structures!,924590,4804743,[Forge] Medieval Buildings - MC 1.20.X - 1.0.2,Lupin,Add exciting medieval buildings with hidden enemies and treasures to the world!,124291,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Loot Integrations: Dungeon Crawl,1137456,6168744,lootintegrations_dungeoncrawl-1.1.jar,someaddon,"Adds better loot to Dungeon Crawl chests, including modded loot",5058,"1.21, Fabric, 1.18.2, 1.19.2, NeoForge, 1.20.1, Forge, 1.21.1, Server"
Hopo Better Underwater Ruins (Fabric/Forge/NeoForge),632622,5137916,HopoBUR-[1.20.2-1.20.4]-1.1.5,hoponopono,Explore new ocean ruins to your world,630547,"1.20.2, Fabric, 1.20.3, 1.20.1, Forge, 1.20.4, Server"
Ars Elemental,561470,5902462,Ars_Elemental 1.20.1-0.6.7.7,Alexth99,Ars Nouveau addon focused on the 4 elemental schools. New glyphs and spell foci awaits,1583991,"1.20.1, Forge"
Create: The Factory Must Grow,693815,5811638,tfmg-0.9.3-1.20.1.jar,Dr_Mango_Tea,Heavy Engineering & Oil For The Create mod,3853890,"1.20.1, Forge"
Botania Delight,1071849,6105011,botaniadelight-1.0.3.5-1.20.1,Project_Count,Adds compatibility between Botania and Farmer's Delight. Vanilla style.,44307,"Client, 1.20.1, Forge, Server"
Mystical Agriculture,246640,6128467,MysticalAgriculture-1.20.1-7.0.16.jar,BlakeBr0,Adds resource crops for more than 130+ vanilla & modded materials!,2316737,"1.20.1, Forge"
Cyclops Core,232758,6154520,CyclopsCore-1.20.1-1.19.6.jar,kroeser,"Library mod for EvilCraft, Integrated Dynamics and others.",907006,"1.20.1, Forge"
Dripium: An Avartia Addon,1161987,6006149,dripium-1.0.0,mysticpasta1,"Creative Mode from wearing an armor, an addon to avaritia mods",41674,"Client, 1.20.1, Forge, Server"
Rechiseled: Fans,933343,4840632,Rechiseled Fans 1.0.0,RedCraft86,Rechiseled Fans is an addon to Rechiseled which adds the Fan blocks from Chisel.,239187,"1.20.1, Forge"
JustHammers,681606,4995650,just-hammers Forge 2.0.3+mc1.20.1,ErrorMikey,"Adds hammers to the game that are able to mine in a 3x3, 3x3x3, 5x5x1, 5x5x3 and finally a 5x5x5! They're pretty awesome.",93291,"NeoForge, 1.20.1, Forge"
Infinity With Mending,665909,4659903,IWM 1.0.2 for Forge 1.20.x,GoForceX,Give you the ability to combine Infinity with Mending,5110,"1.20.2, Client, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4, Server"
Loot Integrations: The Graveyard,1146846,6170555,lootintegrations_graveyard-1.1.jar,someaddon,"Adds better loot to ""The Graveyard"" structure's chests, including modded loot",5012,"1.21, Fabric, 1.18.2, 1.19.2, NeoForge, 1.20.1, Forge, 1.21.1, Server"
Sculk Villager,1173281,6063659,sculk_villager-1.1.0-forge-1.20.1.jar,Ibexis,"This is a mod that adds a new Zombie Villager like Creature, the Sculk Villager, who attacks many mobs and corrupts villagers",69500,"1.20.1, Forge"
Peaks,870283,5354390,peaks-forge-1.20.1-0.3.0.jar,zeh_maria,"Exposed large ore veins, designed with quarries in mind. ",187260,"Client, NeoForge, 1.20.1, Forge, Server"
Spiders Produce Webs,345298,6185115,[Fabric/Forge/Neo] 1.20.1-3.6 | Spiders Produce Webs,Serilum,?? Spiders and cave spiders can periodically produce a cobweb/spiderweb when a player is close.,32792,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Applied Energistics 2,223794,6091401,AE2 15.3.3 [NEOFORGE],"thetechnici4n, TeamAppliedEnergistics, shartte","A Mod about Matter, Energy and using them to conquer the world..",9746146,"NeoForge, 1.20.1, Forge"
Treebark,940029,4878632,TreeBark_1.20.1_1.0.0.jar,BlackDragonFire,Tree Bark drops bark from trees when they are debarked.,86399,"1.20.1, Forge"
Underwater Enchanting,348758,5571667,[Fabric/Forge/Neo] 1.20.1-2.9 | Underwater Enchanting,Serilum,?? Allows the use of the enchantment table under water with maximum levels via bookshelves.,28130,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Cherry Hut,1172677,6149859,cherry_house-1.0.1-forge-1.20.1.jar,MadeBySanny,Adds a new Cherry Hut to the Cherry Grove Biome,22631,"1.20.1, Forge"
Bad Horse Fix,999835,5301614,Bad-Horse-Fix-2.0.0-forge.jar,HiiJax,Fixes horse markings appearing above horse armor when using Iris or Oculus.,19506,"1.20.2, 1.20.5, Client, NeoForge, 1.20.3, 1.20.1, Forge, 1.20.6, 1.20.4"
Mekanism Cardboard Tooltip,975586,5299534,mekanismcardboardtooltip-forge-1.20.1-1.4.0.jar,Christofmeg,Mekanism Cardboard Box gets Jade/TOP/WTHIT support.,24192,"Client, NeoForge, 1.20.1, Forge, Server"
Ars ênergistique,905641,5504444,1.2.0 ([Neo]Forge 1.20.1),ninety,Bringing magic to the digital age. (Ars Nouveau x Applied Energistics 2),147418,"NeoForge, 1.20.1, Forge"
