// Compost colors for mcwbiomesoplenty. You may add your own colors, change existing ones, or remove colors that aren't needed.
dead_bamboo_door, #a19784
jacaranda_glass_door, #ffffff
jacaranda_japanese2_door, #ffffff
jacaranda_japanese_door, #ffffff
jacaranda_modern_door, #fffffa
jacaranda_mystic_door, #ffffff
jacaranda_nether_door, #fffffe
jacaranda_paper_door, #ffffff
jacaranda_stable_door, #fbf8ed
jacaranda_stable_head_door, #fbf8ed
jacaranda_swamp_door, #ffffff
jacaranda_tropical_door, #fffffc
jacaranda_waffle_door, #fcf8eb
jacaranda_western_door, #fcfaf0
jacaranda_whispering_door, #f4f0e4
magic_bamboo_door, #4880dd
magic_bark_glass_door, #90bcea
magic_barn_door, #4e7cd0
magic_barn_glass_door, #6996dd
magic_beach_door, #5483e0
magic_classic_door, #5583da
magic_cottage_door, #5c82cc
magic_four_panel_door, #5a8aed
magic_glass_door, #93bced
magic_japanese2_door, #b6d6ff
magic_japanese_door, #9ec2ff
magic_modern_door, #517fd7
magic_mystic_door, #5a87e1
magic_nether_door, #5784dd
magic_paper_door, #aac8ff
magic_stable_door, #3e66ac
magic_stable_head_door, #4066ae
magic_swamp_door, #6198e6
magic_tropical_door, #5282dc
magic_waffle_door, #4d7fcc
magic_western_door, #4a78c6
magic_whispering_door, #6293dc
mahogany_bamboo_door, #ff80a1
mahogany_bark_glass_door, #c8beb9
mahogany_barn_door, #f884a7
mahogany_barn_glass_door, #fe9ebe
mahogany_beach_door, #ff8daf
mahogany_classic_door, #ff82a5
mahogany_cottage_door, #ff97b9
mahogany_four_panel_door, #ff96b9
mahogany_glass_door, #f8bfd9
mahogany_japanese2_door, #ffdaf0
mahogany_japanese_door, #ffc5de
mahogany_modern_door, #ff8aab
mahogany_mystic_door, #ff97b9
mahogany_nether_door, #ff91b2
mahogany_paper_door, #ffdcf1
mahogany_stable_door, #dd7f9a
mahogany_stable_head_door, #de7f9a
mahogany_swamp_door, #ff98c2
mahogany_tropical_door, #ff8cae
mahogany_waffle_door, #ff8daf
mahogany_western_door, #f080a1
mahogany_whispering_door, #ff91b2
maple_bamboo_door, #d7ac86
maple_bark_glass_door, #a8a89a
maple_barn_door, #d9ac8c
maple_barn_glass_door, #e3c2a5
maple_beach_door, #cda282
maple_classic_door, #e6b997
maple_cottage_door, #d9ac8c
maple_four_panel_door, #eabe9d
maple_glass_door, #f0e0ca
maple_japanese2_door, #fff5de
maple_japanese_door, #ffe6cc
maple_modern_door, #deb190
maple_mystic_door, #e4b99a
maple_nether_door, #deb493
maple_paper_door, #ffebd3
maple_stable_door, #c89e80
maple_stable_head_door, #c89e82
maple_swamp_door, #a87d65
maple_tropical_door, #e3b493
maple_waffle_door, #caa180
maple_western_door, #d3a889
maple_whispering_door, #d7af8d
palm_bamboo_door, #f0ab37
palm_bark_glass_door, #e7ca93
palm_barn_door, #dea53e
palm_barn_glass_door, #e6b961
palm_beach_door, #f0b543
palm_classic_door, #eaaf46
palm_cottage_door, #daab4e
palm_four_panel_door, #fec048
palm_glass_door, #ead396
palm_japanese2_door, #fffaab
palm_japanese_door, #ffe891
palm_modern_door, #e7ac40
palm_mystic_door, #f1b648
palm_nether_door, #edb247
palm_paper_door, #ffeaa0
palm_stable_door, #bb8a32
palm_stable_head_door, #bb8a32
palm_swamp_door, #f5b151
palm_tropical_door, #edb241
palm_waffle_door, #da9b3d
palm_western_door, #d69e3c
palm_whispering_door, #eaae54
pine_bamboo_door, #acbb5c
pine_bark_glass_door, #c8bbab
pine_barn_door, #b4bb62
pine_barn_glass_door, #c3cd80
pine_beach_door, #a8b15a
pine_classic_door, #bec56b
pine_cottage_door, #b4bb62
pine_four_panel_door, #c0c86f
pine_glass_door, #d7e8af
pine_japanese2_door, #e6ebac
pine_japanese_door, #dce19b
pine_modern_door, #b8bf65
pine_mystic_door, #bcc56e
pine_nether_door, #b8bf68
pine_paper_door, #d4dda0
pine_stable_door, #a4ab5a
pine_stable_head_door, #a5ac5b
pine_swamp_door, #8e9044
pine_tropical_door, #bbc366
pine_waffle_door, #a5af58
pine_western_door, #aeb55f
pine_whispering_door, #aeb964
redwood_bamboo_door, #b25722
redwood_bark_glass_door, #b1a18e
redwood_barn_door, #a1471b
redwood_barn_glass_door, #ac6641
redwood_beach_door, #af511e
redwood_classic_door, #a8501f
redwood_cottage_door, #9d5128
redwood_four_panel_door, #b9571f
redwood_glass_door, #be9784
redwood_japanese2_door, #f5b590
redwood_japanese_door, #e49b73
redwood_modern_door, #a74d1c
redwood_mystic_door, #b1521f
redwood_nether_door, #ac501f
redwood_paper_door, #e7b189
redwood_stable_door, #843a16
redwood_stable_head_door, #863a16
redwood_swamp_door, #bb5222
redwood_tropical_door, #ab501c
redwood_waffle_door, #b84623
redwood_western_door, #9a4419
redwood_whispering_door, #93523d
umbran_bamboo_door, #334475
umbran_bark_glass_door, #939daa
umbran_barn_door, #404873
umbran_barn_glass_door, #5c698e
umbran_beach_door, #465084
umbran_classic_door, #4a528c
umbran_cottage_door, #48517f
umbran_four_panel_door, #4e5897
umbran_glass_door, #8a9bb4
umbran_japanese2_door, #abb2d7
umbran_japanese_door, #9198c0
umbran_modern_door, #434d7d
umbran_mystic_door, #4a5489
umbran_nether_door, #465083
umbran_paper_door, #a8aec8
umbran_stable_door, #41486f
umbran_stable_head_door, #41486f
umbran_swamp_door, #37416b
umbran_tropical_door, #464e82
umbran_waffle_door, #444d80
umbran_western_door, #3c436c
umbran_whispering_door, #4e5780
willow_bamboo_door, #869d6b
willow_bark_glass_door, #b6bbb4
willow_barn_door, #7d9062
willow_barn_glass_door, #93a17f
willow_beach_door, #839868
willow_classic_door, #829468
willow_cottage_door, #7f9069
willow_four_panel_door, #89a06c
willow_glass_door, #acc9b1
willow_japanese2_door, #d6e4c3
willow_japanese_door, #c2d2ac
willow_modern_door, #809365
willow_mystic_door, #869a69
willow_nether_door, #839768
willow_paper_door, #cadabb
willow_stable_door, #6e7c57
willow_stable_head_door, #6e7d58
willow_swamp_door, #8ea26e
willow_tropical_door, #829666
willow_waffle_door, #91a16e
willow_western_door, #798a5f
willow_whispering_door, #9dae80
