// Compost colors for decocraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
adventsljusstake_blue_flipbook.00, #809794
bedside_table_palm, #cab9ac
bedside_table_spruce, #784e39
bedside_table_white, #fffefb
belarus, #964341
belgium, #904639
belize, #6e3e5e
benin, #9a6243
bermuda, #a83746
bhutan, #c28250
big_jack_o_lantern_off, #a75c2f
big_jack_o_lantern_on, #b56934
big_pumpkin, #b16132
bigender, #897690
birdcage_black, #444d57
birdcage_gold, #fbc63a
birdcage_silver, #bec5c6
bisexual, #693480
bistro_chair, #825834
blacksmith, #4e3d2f
blender, #829096
block_cabinet_1_birch, #fae3bf
block_cabinet_1_cherry, #ffe7e6
block_cabinet_1_oak, #caa578
block_cabinet_1_spruce, #784d36
block_cabinet_1_white, #fffffe
block_cabinet_2_birch, #f8e1bc
block_cabinet_2_cherry, #ffe6e4
block_cabinet_2_oak, #c9a276
block_cabinet_2_spruce, #764b36
block_cabinet_2_white, #fffffc
blood_puddle, #610000
bobbing_apples, #654d41
bolivia, #935f44
bomb_shop, #503d2d
bonaire, #846975
book_shop, #523e2d
book_stack_1, #7d6f50
book_stack_2, #dcd0cf
book_stack_3, #c5aca8
book_stack_4, #8c6572
bosnia_and_herzegovina, #785057
botswana, #668986
bottom_cabinet_1_birch, #f7e6ca
bottom_cabinet_1_cherry, #ffeae7
bottom_cabinet_1_oak, #d3b896
bottom_cabinet_1_spruce, #916f5a
bottom_cabinet_1_white, #f1e6d9
bottom_cabinet_2_birch, #fff0d6
bottom_cabinet_2_cherry, #fff2f0
bottom_cabinet_2_oak, #ddc3a5
bottom_cabinet_2_spruce, #a07d68
bottom_cabinet_2_white, #f2e6d4
bottom_cabinet_corner_inner_birch, #e3d4be
bottom_cabinet_corner_inner_cherry, #f7d6d6
bottom_cabinet_corner_inner_oak, #c5ae93
bottom_cabinet_corner_inner_spruce, #8e705e
bottom_cabinet_corner_inner_white, #d6c9b9
bottom_cabinet_corner_outer_1_birch, #e7d9bf
bottom_cabinet_corner_outer_1_cherry, #ffddd7
bottom_cabinet_corner_outer_1_oak, #c8ae90
bottom_cabinet_corner_outer_1_spruce, #8a6b58
bottom_cabinet_corner_outer_1_white, #e1d6c9
bottom_cabinet_corner_outer_2_birch, #e8d9bf
bottom_cabinet_corner_outer_2_cherry, #ffdcd9
bottom_cabinet_corner_outer_2_oak, #c8ae8e
bottom_cabinet_corner_outer_2_spruce, #8a6b57
bottom_cabinet_corner_outer_2_white, #e1d6c9
bottom_cabinet_island_birch, #f7e7cc
bottom_cabinet_island_cherry, #ffeae7
bottom_cabinet_island_oak, #d4b898
bottom_cabinet_island_spruce, #93705c
bottom_cabinet_island_white, #f1e6d7
bowl_of_cereal_alphabits, #b2c3d2
bowl_of_cereal_capncrunch, #f0be9e
bowl_of_cereal_cheerios, #ddc682
bowl_of_cereal_ciniminis, #ede7de
bowl_of_cereal_cookiecrisp, #ebddcd
bowl_of_cereal_cornflakes, #e6cab1
bowl_of_cereal_cornpops, #ffe680
bowl_of_cereal_countchocula, #a57aaa
bowl_of_cereal_frosties, #a2abca
bowl_of_cereal_fruitypebbles, #ed9b72
bowl_of_cereal_goldencrisp, #e4cd8c
bowl_of_cereal_goldengrahams, #f1daa7
bowl_of_cereal_honeycomb, #fae07a
bowl_of_cereal_honeynutcheerios, #faae61
bowl_of_cereal_honeysmacks, #ebaa80
bowl_of_cereal_hoops, #fabe72
bowl_of_cereal_kix, #d6d784
bowl_of_cereal_life, #f0d7b5
bowl_of_cereal_luckycharms, #f59766
bowl_of_cereal_minecraft, #a0cda2
bowl_of_cereal_raisinbran, #b28ab4
bowl_of_cereal_ricekrispies, #becfd3
bowl_of_cereal_specialk, #ffe1da
bowl_of_cereal_total, #9789bf
bowl_of_cereal_trix, #ed987d
brazil, #647c58
british_virgin_islands, #553e65
broom, #a2875c
brunei, #ab754d
brush_and_comb, #bfcdc9
bucket, #5b4a3c
bucket_milk, #78695a
bucket_rake, #90689d
bucket_spade, #3a61af
bucket_water, #584e43
bulgaria, #86695b
bunk_bed_birch_black, #d2c5ae
bunk_bed_birch_blue, #d4c9b8
bunk_bed_birch_brown, #d6c6ae
bunk_bed_birch_cyan, #d6cdb8
bunk_bed_birch_gray, #d6c9b2
bunk_bed_birch_green, #d7cfaf
bunk_bed_birch_light_blue, #dcd3c2
bunk_bed_birch_light_gray, #e4d7c0
bunk_bed_birch_lime, #ded4b1
bunk_bed_birch_magenta, #e4c9b9
bunk_bed_birch_orange, #ebd3b2
bunk_bed_birch_pink, #e7cfb9
bunk_bed_birch_purple, #ddcac2
bunk_bed_birch_red, #dec8af
bunk_bed_birch_white, #e8dcc5
bunk_bed_birch_yellow, #eddab6
bunk_bed_black_black, #47484a
bunk_bed_black_blue, #4a4b52
bunk_bed_black_brown, #4b4a4a
bunk_bed_black_cyan, #4b5154
bunk_bed_black_gray, #4b4b4d
bunk_bed_black_green, #4b514b
bunk_bed_black_light_blue, #50575e
bunk_bed_black_light_gray, #585b5b
bunk_bed_black_lime, #52574b
bunk_bed_black_magenta, #584d55
bunk_bed_black_orange, #5f554d
bunk_bed_black_pink, #5b5154
bunk_bed_black_purple, #514d5c
bunk_bed_black_red, #524a4b
bunk_bed_black_white, #5e5e5f
bunk_bed_black_yellow, #615c51
bunk_bed_oak_black, #b59e82
bunk_bed_oak_blue, #b8a28c
bunk_bed_oak_brown, #b9a082
bunk_bed_oak_cyan, #b9a88c
bunk_bed_oak_gray, #b9a286
bunk_bed_oak_green, #bba884
bunk_bed_oak_light_blue, #bfac97
bunk_bed_oak_light_gray, #c8b194
bunk_bed_oak_lime, #c2ae84
bunk_bed_oak_magenta, #c6a28e
bunk_bed_oak_orange, #cdac86
bunk_bed_oak_pink, #c9a88d
bunk_bed_oak_purple, #c0a496
bunk_bed_oak_red, #c0a184
bunk_bed_oak_white, #ccb598
bunk_bed_oak_yellow, #d0b48a
bunk_bed_palm_black, #b6aca5
bunk_bed_palm_blue, #b9b1af
bunk_bed_palm_brown, #bbaea5
bunk_bed_palm_cyan, #bbb6af
bunk_bed_palm_gray, #bbb1aa
bunk_bed_palm_green, #bcb6a8
bunk_bed_palm_light_blue, #c0bbbb
bunk_bed_palm_light_gray, #c9bfb8
bunk_bed_palm_lime, #c3bca8
bunk_bed_palm_magenta, #c8b1b2
bunk_bed_palm_orange, #d0bbaa
bunk_bed_palm_pink, #cab6b1
bunk_bed_palm_purple, #c2b2b9
bunk_bed_palm_red, #c2afa8
bunk_bed_palm_white, #cdc3bc
bunk_bed_palm_yellow, #d2c2ae
bunk_bed_spruce_black, #826455
bunk_bed_spruce_blue, #84685f
bunk_bed_spruce_brown, #866655
bunk_bed_spruce_cyan, #866e5f
bunk_bed_spruce_gray, #86685a
bunk_bed_spruce_green, #866e58
bunk_bed_spruce_light_blue, #8a7269
bunk_bed_spruce_light_gray, #937668
bunk_bed_spruce_lime, #8d7358
bunk_bed_spruce_magenta, #936962
bunk_bed_spruce_orange, #9a725a
bunk_bed_spruce_pink, #966e61
bunk_bed_spruce_purple, #8c6969
bunk_bed_spruce_red, #8d6658
bunk_bed_spruce_white, #987a6c
bunk_bed_spruce_yellow, #9b795e
bunk_bed_white_black, #d9d7d7
bunk_bed_white_blue, #dcdce0
bunk_bed_white_brown, #ddd9d7
bunk_bed_white_cyan, #dde1e1
bunk_bed_white_gray, #dddcda
bunk_bed_white_green, #dde1d9
bunk_bed_white_light_blue, #e3e6eb
bunk_bed_white_light_gray, #ebeae8
bunk_bed_white_lime, #e4e7d9
bunk_bed_white_magenta, #eadce3
bunk_bed_white_orange, #f1e6da
bunk_bed_white_pink, #ede1e1
bunk_bed_white_purple, #e4ddea
bunk_bed_white_red, #e4dad9
bunk_bed_white_white, #f0eeed
bunk_bed_white_yellow, #f2edde
bunny_plush_light_blue, #cff7ff
burger_and_fries, #e8723a
burger_cart, #f1ca78
burger_shark, #a2d0e0
burkina_faso, #7d4e41
burundi, #94685a
bus_stop_sign, #afb6d6
butcher, #5c4633
cafe_sign, #5b4839
cake_birthday_chocolate_flipbook.00, #bc9884
cake_birthday_strawberry_flipbook.00, #fccfc5
cake_birthday_vanilla_flipbook.00, #fbe7cd
cake_candy_corn, #ebc68c
cake_gingerbread, #e0866f
cake_pumpkin, #876b3e
cake_wreath, #b9cc98
calendar, #dab4ac
cambodia, #7f3755
cameroon, #9a6243
camping, #5a432d
canada, #b95758
canary_islands, #a18d6f
candle_holder_1_black_flipbook.00, #646562
candle_holder_1_gold_flipbook.00, #fac64b
candle_holder_1_silver_flipbook.00, #c5c6bc
candle_holder_2_black_flipbook.00, #797669
candle_holder_2_gold_flipbook.00, #f8c957
candle_holder_2_silver_flipbook.00, #ccc8b6
candle_holder_3_black_flipbook.00, #8c8473
candle_holder_3_gold_flipbook.00, #fcd061
candle_holder_3_silver_flipbook.00, #d6d0b8
candle_holder_4_black_flipbook.00, #6e6b64
candle_holder_4_gold_flipbook.00, #f2c250
candle_holder_4_silver_flipbook.00, #c2c2b4
candle_holder_5_black_flipbook.00, #696b68
candle_holder_5_gold_flipbook.00, #ffd44e
candle_holder_5_silver_flipbook.00, #d2d4c9
candle_holder_6_black_flipbook.00, #837f70
candle_holder_6_gold_flipbook.00, #f8cd5c
candle_holder_6_silver_flipbook.00, #d0ccb8
candle_holder_7_black_flipbook.00, #484b50
candle_holder_7_gold_flipbook.00, #ebb239
candle_holder_7_silver_flipbook.00, #aeb2af
candle_holder_wall_1_black_flipbook.00, #575551
candle_holder_wall_1_gold_flipbook.00, #edbc4a
candle_holder_wall_1_silver_flipbook.00, #bbbcb2
candle_holder_wall_2_black_flipbook.00, #5b5850
candle_holder_wall_2_gold_flipbook.00, #e7b648
candle_holder_wall_2_silver_flipbook.00, #b8b6aa
candle_holder_wall_3_black_flipbook.00, #645f55
candle_holder_wall_3_gold_flipbook.00, #e8b94e
candle_holder_wall_3_silver_flipbook.00, #bcbbab
candy_bag_ghost, #c6c5c0
candy_bag_pumpkin, #b4702d
candy_bag_purple, #734779
candy_bag_spider, #5f4d3a
candy_bag_witch, #65625b
candy_corn_bowl, #7f663e
candy_shop, #5a4033
cape_verde, #654666
caramel_apples, #8e4b39
caramel_apples_nuts, #9d7240
caramel_apples_sludge, #da943c
caramel_apples_sprinkles, #a85055
carpenter, #523e2c
cartographer, #5b4732
cash_register, #404040
cat_tree, #a1988d
cayman_islands, #5a3e65
ceiling_fan_birch, #a8a08e
ceiling_fan_black, #444647
ceiling_fan_cherry, #b5a5a5
ceiling_fan_crayon, #6c5f5f
ceiling_fan_oak, #91826e
ceiling_fan_palm, #938c86
ceiling_fan_spruce, #6b584e
ceiling_fan_white, #aeaeac
central_african_republic, #8c6f5f
chad, #964443
chair_1_birch, #fce7c3
chair_1_cherry, #ffeaea
chair_1_oak, #cca779
chair_1_spruce, #7a4e37
chair_1_white, #f4e6d4
chair_2_birch, #fee7c2
chair_2_cherry, #ffeaea
chair_2_oak, #cda779
chair_2_spruce, #794d37
chair_2_white, #f5e7d6
chair_borje_blw_black, #181818
chair_borje_blw_blue, #151f33
chair_borje_blw_brown, #201511
chair_borje_blw_cyan, #163940
chair_borje_blw_gray, #1f1f1f
chair_borje_blw_green, #1e2c14
chair_borje_blw_light_blue, #323e4e
chair_borje_blw_light_gray, #393d3c
chair_borje_blw_lime, #2a3d16
chair_borje_blw_magenta, #521e4e
chair_borje_blw_orange, #5a301c
chair_borje_blw_pink, #522836
chair_borje_blw_purple, #291636
chair_borje_blw_red, #361616
chair_borje_blw_white, #5f5f5f
chair_borje_blw_yellow, #69520f
chair_borje_bw_black, #918378
chair_borje_bw_blue, #8d8a93
chair_borje_bw_brown, #988070
chair_borje_bw_cyan, #8ea4a0
chair_borje_bw_gray, #988a7f
chair_borje_bw_green, #969873
chair_borje_bw_light_blue, #abaaae
chair_borje_bw_light_gray, #b1a89b
chair_borje_bw_lime, #a4aa76
chair_borje_bw_magenta, #cc89af
chair_borje_bw_orange, #d39b7c
chair_borje_bw_pink, #ca9396
chair_borje_bw_purple, #a18296
chair_borje_bw_red, #ae8276
chair_borje_bw_white, #d7cabf
chair_borje_bw_yellow, #e1be70
chair_borje_dw_black, #402d25
chair_borje_dw_blue, #3d3440
chair_borje_dw_brown, #482a1e
chair_borje_dw_cyan, #3e4e4d
chair_borje_dw_gray, #47342c
chair_borje_dw_green, #464120
chair_borje_dw_light_blue, #5a545b
chair_borje_dw_light_gray, #615248
chair_borje_dw_lime, #525223
chair_borje_dw_magenta, #7a335c
chair_borje_dw_orange, #824629
chair_borje_dw_pink, #7a3d43
chair_borje_dw_purple, #502a43
chair_borje_dw_red, #5e2a23
chair_borje_dw_white, #87756c
chair_borje_dw_yellow, #91681e
chair_borje_lw_black, #80684d
chair_borje_lw_blue, #7c6e68
chair_borje_lw_brown, #876544
chair_borje_lw_cyan, #7d8975
chair_borje_lw_gray, #876f54
chair_borje_lw_green, #847c48
chair_borje_lw_light_blue, #9a8d83
chair_borje_lw_light_gray, #a08c6f
chair_borje_lw_lime, #938d4b
chair_borje_lw_magenta, #bb6c83
chair_borje_lw_orange, #c28050
chair_borje_lw_pink, #b97669
chair_borje_lw_purple, #90656b
chair_borje_lw_red, #9d654b
chair_borje_lw_white, #c6af94
chair_borje_lw_yellow, #d0a244
chair_borje_mw_black, #654a32
chair_borje_mw_blue, #62514d
chair_borje_mw_brown, #6e472a
chair_borje_mw_cyan, #646b5a
chair_borje_mw_gray, #6c5139
chair_borje_mw_green, #695e2d
chair_borje_mw_light_blue, #7f7068
chair_borje_mw_light_gray, #866f55
chair_borje_mw_lime, #786f30
chair_borje_mw_magenta, #a05069
chair_borje_mw_orange, #a76236
chair_borje_mw_pink, #a05a50
chair_borje_mw_purple, #754750
chair_borje_mw_red, #824730
chair_borje_mw_white, #ac9179
chair_borje_mw_yellow, #b58429
chair_borje_ww_black, #bfbfbf
chair_borje_ww_blue, #bbc5d9
chair_borje_ww_brown, #c8bcb6
chair_borje_ww_cyan, #bee0e7
chair_borje_ww_gray, #c6c6c6
chair_borje_ww_green, #c3d3b9
chair_borje_ww_light_blue, #d9e4f4
chair_borje_ww_light_gray, #e0e3e1
chair_borje_ww_lime, #d2e4be
chair_borje_ww_magenta, #fac3f5
chair_borje_ww_orange, #ffd7c2
chair_borje_ww_pink, #facddc
chair_borje_ww_purple, #cfbcdc
chair_borje_ww_red, #dcbcbc
chair_borje_ww_white, #ffffff
chair_borje_ww_yellow, #fffab6
chair_fun_black, #252629
chair_fun_blue, #3a4d98
chair_fun_brown, #684632
chair_fun_cyan, #3e7c8a
chair_fun_gray, #4e4e48
chair_fun_green, #47682a
chair_fun_light_blue, #84b2f0
chair_fun_light_gray, #9ea7a4
chair_fun_lime, #7dbb3e
chair_fun_magenta, #cf52a4
chair_fun_orange, #e16e3e
chair_fun_pink, #e493a7
chair_fun_purple, #764dac
chair_fun_red, #9a3a3d
chair_fun_white, #ffffff
chair_fun_yellow, #ffc525
chair_ingolf_blw, #f0f0f
chair_ingolf_bw, #c6b4a2
chair_ingolf_dw, #4a2f22
chair_ingolf_lw, #ab875f
chair_ingolf_mw, #825b36
chair_ingolf_ww, #ffffff
chalkboard, #39332c
chandelier_1_black_flipbook.00, #5f666b
chandelier_1_gold_flipbook.00, #d7b45a
chandelier_1_silver_flipbook.00, #abb4b2
chandelier_2_black_flipbook.00, #484b50
chandelier_2_gold_flipbook.00, #e3ae3a
chandelier_2_silver_flipbook.00, #a8aeab
chandelier_chain_black, #2d3440
chandelier_chain_gold, #d29e29
chandelier_chain_silver, #969da2
chandelier_medieval.00, #524336
checkers, #be9880
cheese_board, #fed693
chemistry_set_flipbook.00, #aaafb2
children_of_the_corn, #a52525
chile, #aa5a61
china, #b42934
christmas_island, #51615a
christmas_lights_1_color_flipbook.00, #504a43
christmas_lights_1_rainbow_2_flipbook.00, #57504b
christmas_lights_1_rainbow_flipbook.00, #57504b
christmas_lights_1_white_flipbook.00, #696861
christmas_lights_2_color_flipbook.00, #514e46
christmas_lights_2_rainbow_2_flipbook.00, #5a544d
christmas_lights_2_rainbow_flipbook.00, #5a544d
christmas_lights_2_white_flipbook.00, #707066
christmas_tree_1_gb_snow_flipbook.00, #939a87
christmas_tree_1_gbc_flipbook.00, #475832
christmas_tree_1_gbw_flipbook.00, #4a5b36
christmas_tree_1_rb_snow_flipbook.00, #919486
christmas_tree_1_rbc_flipbook.00, #465030
christmas_tree_1_rbw_flipbook.00, #485434
christmas_tree_1_rg_snow_flipbook.00, #989780
christmas_tree_1_rgc_flipbook.00, #4e542a
christmas_tree_1_rgw_flipbook.00, #51582f
christmas_tree_1_sg_snow_flipbook.00, #989e87
christmas_tree_1_sgc_flipbook.00, #4e5c32
christmas_tree_1_sgw_flipbook.00, #516136
christmas_tree_2_rainbow_flipbook.00, #47502d
christmas_tree_2_rainbow_snow_flipbook.00, #7c7f6b
christmas_tree_2_rainbow_w_flipbook.00, #4b5533
christmas_tree_antique_flipbook.00, #646434
circle_sign_1, #8393bf
circle_sign_10, #d69496
circle_sign_11, #d79696
circle_sign_12, #d49394
circle_sign_13, #d49393
circle_sign_14, #d69496
circle_sign_15, #8291bf
circle_sign_2, #93a1c8
circle_sign_3, #919ec6
circle_sign_4, #8a9ac3
circle_sign_5, #8a98c3
circle_sign_6, #dd8e90
circle_sign_7, #dd8789
circle_sign_8, #8494c0
circle_sign_9, #bb7382
claw_machine, #b57576
close_encounters, #191c22
closet_1_birch, #d6c0a4
closet_1_black, #5b524e
closet_1_oak, #b99a7a
closet_1_palm, #bca89b
closet_1_spruce, #876655
closet_1_white, #ddd3cc
closet_2_birch, #b8a089
closet_2_black, #4a3d3a
closet_2_oak, #9e7d64
closet_2_palm, #a18a80
closet_2_spruce, #735041
closet_2_white, #beafab
closet_3_birch, #fae3c0
closet_3_black, #2f2f2f
closet_3_oak, #cca87c
closet_3_palm, #cfbcaf
closet_3_spruce, #7d523d
closet_3_white, #fffffc
closet_4_birch, #b1a487
closet_4_black, #373932
closet_4_oak, #947f5e
closet_4_palm, #968c7d
closet_4_spruce, #654b39
closet_4_white, #b6b5ac
closet_5_birch, #bea47c
closet_5_black, #4d3e2c
closet_5_oak, #a58257
closet_5_palm, #a58d72
closet_5_spruce, #785233
closet_5_white, #c3b49e
closet_6_birch, #eed9b5
closet_6_black, #282828
closet_6_oak, #c29d72
closet_6_palm, #c5b2a5
closet_6_spruce, #724a34
closet_6_white, #f8f5f2
closet_7_birch, #f7e0bb
closet_7_black, #292929
closet_7_oak, #c8a275
closet_7_palm, #cab8ab
closet_7_spruce, #764b36
closet_7_white, #fffcfa
clothes_rack_1, #b59e9a
clothes_rack_2, #735f4e
clothes_rack_3, #69685a
clothes_rack_4, #6f5851
clothes_rack_5, #907668
coat_stand_birch, #f2dcb8
coat_stand_black, #282828
coat_stand_oak, #c5a175
coat_stand_palm, #c9b8ab
coat_stand_spruce, #794d36
coat_stand_white, #fcfaf7
cobbler, #553d2d
cocos_islands, #548051
coffee_grinder, #3d291f
coffin_stone_1, #9e9d9d
coffin_stone_2, #a5a5a5
coffin_wood_1, #46362c
coffin_wood_2, #4e4039
coffin_wood_3, #43342a
coffin_wood_4, #43342a
coin_pile_copper, #ffbe7d
coin_pile_gold, #ffff14
coin_pile_silver, #f2f2f2
colombia, #a15a4a
comoros, #8d785f
congo, #9a6444
cook_islands, #583e6b
cookie_plate_chocolate_chip, #eedec9
cookie_plate_gingerbread, #fffff1
cookie_plate_mmm, #faeacf
cookie_plate_raisins, #f2e0d0
cooler, #ed828e
cork_board, #c3a06f
cornucopia, #a47c2f
costa_rica, #965866
cote_d_ivoire, #938761
couch_corner_black, #333333
couch_corner_blue, #4d61c5
couch_corner_cream, #fee8d7
couch_corner_cyan, #30c2e0
couch_corner_dark_gray, #727272
couch_corner_gray, #d6dcdd
couch_corner_green, #466e36
couch_corner_leather_black, #232323
couch_corner_leather_brown, #a1582f
couch_corner_light_blue, #83b9ff
couch_corner_lime, #72bc2f
couch_corner_magenta, #f148b2
couch_corner_ocean_blue, #8cbcbc
couch_corner_orange, #ffa53c
couch_corner_pink, #ffd0d7
couch_corner_purple, #9848eb
couch_corner_red, #b23232
couch_corner_white, #ffffff
couch_corner_yellow, #ffe63c
couch_edge_black, #373737
couch_edge_blue, #5268cf
couch_edge_cream, #fff5e3
couch_edge_cyan, #36cced
couch_edge_dark_gray, #7a7979
couch_edge_gray, #e3e8ea
couch_edge_green, #4a753a
couch_edge_leather_black, #282828
couch_edge_leather_brown, #ae6136
couch_edge_light_blue, #8cc3ff
couch_edge_lime, #79c634
couch_edge_magenta, #fe50bc
couch_edge_ocean_blue, #97c9c9
couch_edge_orange, #ffb143
couch_edge_pink, #ffdce3
couch_edge_purple, #a24ef8
couch_edge_red, #be3737
