// Compost colors for wizards_reborn. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_air_crystal, #fffff4
fire_crystal_growth, #ffffff
fire_crystal_seed, #ffffff
flower_brew_bucket, #949a96
flower_fertilizer, #5e8e4e
fractured_air_crystal, #ffffff
fractured_earth_crystal, #ffffff
fractured_fire_crystal, #ffffff
fractured_void_crystal, #ffffff
fractured_water_crystal, #ffffff
fried_shrimp, #86201c
gray_arcane_lumos, #ffffff
gray_cargo_carpet, #808083
green_arcane_lumos, #ffffff
green_cargo_carpet, #7cac76
ground_brown_mushroom, #c29476
ground_crimson_fungus, #de4034
ground_elder_mor, #8e9398
ground_mor, #a8a8c0
ground_red_mushroom, #ff7564
ground_warped_fungus, #4d9b87
hellish_mushroom_brew_bucket, #9b9394
hunger_banner_pattern, #fceecc
implosion_trim, #364857
innocent_salt_campfire, #daaaa1
innocent_salt_lantern, #ffddcf
innocent_salt_torch, #ffe1da
innocent_wine_bottle, #ffebed
innocent_wood_axe, #d3b1bc
innocent_wood_boat, #fffefc
innocent_wood_branch, #907282
innocent_wood_chest_boat, #dec0a7
innocent_wood_door, #fff1f4
innocent_wood_hanging_sign, #feebe8
innocent_wood_hoe, #cdaab8
innocent_wood_knife, #d7b4c0
innocent_wood_mortar, #f0d4dc
innocent_wood_pickaxe, #c8a5b2
innocent_wood_sapling, #f8f1f1
innocent_wood_scythe, #c8a5b2
innocent_wood_shovel, #d3b1bc
innocent_wood_sign, #fffffc
innocent_wood_sword, #d4b2be
innocent_wood_trim, #ffffff
inventor_wizard_belt, #a4786f
inventor_wizard_boots, #734e4b
inventor_wizard_costume, #805854
inventor_wizard_hat, #825a54
inventor_wizard_trousers, #704d4a
kirsch_bottle, #a797bf
kissel_bottle, #d37c89
knowledge_scroll, #ffffff
kvass_bottle, #b16e5b
leather_belt, #d2b4ac
leather_collar, #a4756b
light_blue_arcane_lumos, #ffffff
light_blue_cargo_carpet, #98ccff
light_gray_arcane_lumos, #ffffff
light_gray_cargo_carpet, #bfc2c5
lime_arcane_lumos, #ffffff
lime_cargo_carpet, #98d490
magenta_arcane_lumos, #ffffff
magenta_cargo_carpet, #cd82c0
magnificent_maid_trim, #8a686f
masterful_air_crystal, #fffffa
masterful_earth_crystal, #fafffb
masterful_fire_crystal, #fffff4
masterful_void_crystal, #ffffff
masterful_water_crystal, #ffffff
mead_bottle, #d2846e
milk_tea_bucket, #acb4b9
mor, #ffffff
mor_brew_bucket, #9b9da4
mor_cap, #aea4cc
mor_colony, #918ea5
mor_tincture_bottle, #686c94
mundane_brew_bucket, #979ba8
mushroom_brew_bucket, #a5a19e
music_disc_arcanum, #2f3a4a
music_disc_capitalism, #ab7c73
music_disc_mor, #6f7687
music_disc_panache, #895e5e
music_disc_reborn, #946866
music_disc_shimmer, #555c69
natural_calx, #7fd09a
nether_salt, #5e5243
oil_tea_bucket, #aca4a5
orange_arcane_lumos, #ffffff
orange_cargo_carpet, #ffb86b
palinka_bottle, #ffe1a8
palm_liqueur_bottle, #4d90ac
petals, #d3a2ac
petals_of_innocence, #ffffff
phantom_ink_trim, #ffffff
pink_arcane_lumos, #ffffff
pink_cargo_carpet, #f7a7c6
pitcher_turnip, #febe78
port_wine_bottle, #ab4343
precision_crystal, #7ce6b5
pulque_bottle, #c9e6eb
pure_air_crystal, #ffffff
pure_earth_crystal, #eeffff
pure_fire_crystal, #ffffff
pure_void_crystal, #fbffff
pure_water_crystal, #feffff
purple_arcane_lumos, #ffffff
purple_cargo_carpet, #da89d2
rainbow_arcane_lumos, #ffffff
rainbow_cargo_carpet, #d2a4be
rakia_bottle, #bea158
raw_arcane_gold, #ffb597
red_arcane_lumos, #ffffff
red_cargo_carpet, #ee8383
red_mushroom_cap, #ff5f5b
red_wine_bottle, #c06275
reproduction_banner_pattern, #fff8d7
runic_wisestone_plate, #3e515b
sake_bottle, #ab5e75
sarcon_ingot, #9378ac
sarcon_nugget, #8c72a4
sarcon_sheet, #9e82b9
sbiten_bottle, #985554
scorched_calx, #bb4446
shiny_clover, #a5d794
shiny_clover_seed, #d4b17a
shrimp, #ac3c30
slivovitz_bottle, #625b7a
sniffalo_egg, #a4696b
soju_bottle, #62b1a4
soul_hunter_trim, #413955
summer_love_trim, #a18287
survival_banner_pattern, #fff8d9
tarkhuna_bottle, #349b6b
tej_bottle, #ffac58
tequila_bottle, #aae6ea
top_hat_trim, #78555c
underground_grape, #9d615c
underground_grape_vine, #8aa85a
vilenium_ingot, #fbbebf
vilenium_nugget, #eec0c2
vilenium_sheet, #ffc9c3
violence_banner_pattern, #fff4d3
vodka_bottle, #93abbf
void_crystal, #ffffff
void_crystal_growth, #ffffff
void_crystal_seed, #ffffff
warped_fungus_cap, #52947f
water_crystal, #ffffff
water_crystal_growth, #ffffff
water_crystal_seed, #ffffff
whiskey_bottle, #8d4744
white_arcane_lumos, #ffffff
white_cargo_carpet, #f4ffff
white_wine_bottle, #e1ab78
wisestone_plate, #374451
wisestone_salt_campfire, #866b64
wisestone_salt_lantern, #836966
wisestone_salt_torch, #554e4b
wisestone_trim, #26323d
wissen_beer_bottle, #7a9ae8
wissen_keychain, #a2a7a4
wissen_ring, #deb5a1
wissen_tea_bucket, #a1abb5
wissen_wand, #765c6f
yellow_arcane_lumos, #ffffff
yellow_cargo_carpet, #ffdaaa
