// Compost colors for nifty. You may add your own colors, change existing ones, or remove colors that aren't needed.
100km_sign, #f7f7f7
tomato, #ff8370
tomato_seeds, #ffffff
traffic_light_sign, #f8d626
tunnel_sign, #ffffb5
waffle, #fba11b
west_sign, #ffffff
winding_road_sign, #ffd733
wire, #699726
wire_copper, #d3703e
yield_sign, #ff7984
