// Compost colors for arky_aesthetics. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_bark, #fff5ea
elder_guardian_spike_block, #ffffff
enchanted_elder_guardian_spike, #ffffff
enchanted_elder_guardian_spike_block, #ffffff
enchanted_golden_cookie, #fff586
end_stone_pebbles, #ffffff
ender_elder_guardian_spike, #ffffff
ender_elder_guardian_spike_block, #ffffff
exposed_copper_chain, #c5b187
exposed_copper_copperflame_lantern, #b6d9b6
exposed_copper_cosmic_lantern, #e1bbdc
exposed_copper_lantern, #e0a064
exposed_copper_redstone_lantern, #eda79e
farlands_dagger, #ffffff
fireweed, #ffffff
flint_pebbles, #ffffff
flisotuan, #ddbca4
flowering_azalea_leaf, #ffffff
flowering_azalea_leaf_2, #ffffff
flowering_azalea_leaf_3, #ffffff
flowering_azalea_leaf_4, #ffffff
fried_sweet_potato, #ffffd9
fynbos_hakea, #ffe3b5
gilded_blackstone_pebbles, #ffffff
glowing_torchflower, #f7f7e3
golden_chain, #ffff6b
golden_cookie, #fff586
golden_copperflame_lantern, #d2e69e
golden_cosmic_lantern, #ffc0d0
golden_elder_guardian_spike, #ffffff
golden_elder_guardian_spike_block, #ffffff
golden_lantern, #f7a74a
golden_redstone_lantern, #ffb191
granite_pebbles, #ffffff
gray_concrete_pebbles, #ffffff
gray_terracotta_pebbles, #ffffff
green_concrete_pebbles, #ffffff
green_terracotta_pebbles, #ffffff
guardian_spike, #ffffff
guardian_spike_block, #ffffff
honey_fungus, #ffffff
hunger_elder_guardian_spike, #ffffff
iron_upgrade_smithing_template, #f2bcb2
jungle_bark, #fff1d3
jungle_leaf, #f4ffe8
jungle_leaf_2, #f4ffe8
jungle_leaf_3, #f4ffe8
jungle_leaf_4, #f4ffe8
lantern_off, #524a4d
ledum, #ffffff
light_blue_concrete_pebbles, #ffffff
light_blue_terracotta_pebbles, #ffffff
light_blue_tulip, #ffffff
light_gray_concrete_pebbles, #ffffff
light_gray_terracotta_pebbles, #ffffff
lily_of_the_keiskei, #ffffff
lime_concrete_pebbles, #ffffff
lime_terracotta_pebbles, #ffffff
magenta_concrete_pebbles, #ffffff
magenta_terracotta_pebbles, #ffffff
mangrove_bark, #f5ded2
mangrove_leaf, #f8ffe3
mangrove_leaf_2, #f8ffe3
mangrove_leaf_3, #f8ffe3
mangrove_leaf_4, #f8ffe3
milk_elder_guardian_spike, #ffffff
milk_elder_guardian_spike_block, #ffffff
moonflowers_vines, #ffffff
moonflowers_vines_2, #b6d7dc
moonflowers_vines_3, #b6d7dc
mushroom_stem_bark, #ffffff
netherite_chain, #725852
netherite_copperflame_lantern, #aad0a7
netherite_cosmic_lantern, #deacd9
netherite_lantern, #c38c55
netherite_nugget, #ffffff
netherite_redstone_lantern, #eb9b9b
netherrack_pebbles, #ffffff
oak_bark, #fff4dc
oak_leaf, #ffffff
oak_leaf_2, #ffffff
oak_leaf_3, #ffffff
oak_leaf_4, #ffffff
obsidian_pebbles, #ffffff
orange_concrete_pebbles, #ffffff
orange_terracotta_pebbles, #ffffff
oxidized_copper_chain, #66cdac
oxidized_copper_copperflame_lantern, #97cabc
oxidized_copper_cosmic_lantern, #afb4cf
oxidized_copper_lantern, #b29a5f
oxidized_copper_redstone_lantern, #ac9490
pebbles, #ffffff
pepper_spice, #ffdea4
piece_of_cake, #ffffff
pink_concrete_pebbles, #ffffff
pink_daisy, #ffedd3
pink_terracotta_pebbles, #ffffff
plate_armor_chestplate, #ffffff
plate_armor_helmet, #c3c3c9
poisoned_guardian_spike, #ffffff
poisonous_elder_guardian_spike_block, #ffffff
prismarine_pebbles, #ffffff
pufferfish_elder_guardian_spike, #ffffff
pufferfish_elder_guardian_spike_block, #ffffff
purple_concrete_pebbles, #ffffff
purple_terracotta_pebbles, #ffffff
purple_tulip, #ffffff
quartz_pebbles, #ffffff
raw_bismuth, #9679af
red_concrete_pebbles, #ffffff
red_mushroom_bark, #ffdccd
red_sandstone_pebbles, #ffffff
red_terracotta_pebbles, #ffffff
redstone_campfire, #e67357
redstone_fire, #ff8484
redstone_lantern, #f5acb4
redstone_switch, #ffffff
rose, #be4608
rotten_elder_guardian_spike_block, #ffffff
sandstone_pebbles, #ffffff
saxaul, #fffffb
scent_candle, #e8e3ff
scent_candle_of_haste, #ffff75
scent_candle_of_leaping, #ffffd2
scent_candle_of_luck, #9eff25
scent_candle_of_night_vision, #ffffbc
scent_candle_of_poison, #c6ea90
scent_candle_of_swiftness, #73ffff
sea_thrift, #ffffff
shulker_cap_helmet, #a470a4
siberian_squill, #ffffff
sloe_cookie, #ac6215
sloe_gin, #ffffff
sloe_jam, #613907
soft_brome, #ffffff
solyanka_soup, #805f1e
soul_copper_lantern, #839486
soul_dust, #ffffff
soul_exposed_copper_lantern, #839d93
soul_golden_lantern, #96a87a
soul_lantern_off, #525b7c
soul_netherite_lantern, #548a8c
soul_oxidized_copper_lantern, #578684
soul_sandstone_pebbles, #ffffff
soul_torch_off, #866e48
soul_weathered_copper_lantern, #7a937c
spiky_guardian_chestplate_chestplate, #7c7c98
spruce_bark, #e4d4c5
spruce_needles, #ffffff
spruce_needles_2, #ffffff
spruce_needles_3, #ffffff
spruce_needles_4, #ffffff
studded_armor_boots, #986b5a
studded_armor_chestplate, #c28c76
studded_armor_helmet, #8e6657
studded_armor_leggings, #c9a191
summer_pheasants_eye, #ffffff
sweet_berry_cookie, #ff985c
sweet_potato, #ffffff
sweet_potato_item, #ffc596
tea, #ffffff
terracotta_pebbles, #ffffff
thornblossom, #fcf7f4
torch_off, #876c46
tuff_pebbles, #ffffff
warped_bark, #d6eaf2
water_pepper, #ffffff
waxed_brain_coral, #ff78d9
waxed_brain_coral_fan, #ff78da
waxed_bubble_coral, #e620e3
waxed_bubble_coral_fan, #e42de3
waxed_copper_chain, #f4835f
waxed_exposed_copper_chain, #c5b187
waxed_fire_coral, #ed3441
waxed_fire_coral_fan, #e13040
waxed_horn_coral, #ffff58
waxed_horn_coral_fan, #ffff57
waxed_oxidized_copper_chain, #66cdac
waxed_tube_coral, #4376ff
waxed_tube_coral_fan, #4782ff
waxed_weathered_copper_chain, #9ebb7c
weathered_copper_chain, #9ebb7c
weathered_copper_copperflame_lantern, #a8d0b1
weathered_copper_cosmic_lantern, #cab6cd
weathered_copper_lantern, #d0a155
weathered_copper_redstone_lantern, #d09e8e
white_concrete_pebbles, #ffffff
white_terracotta_pebbles, #ffffff
whiteweed, #ffffff
wintergreen, #ffffff
yellow_concrete_pebbles, #ffffff
yellow_terracotta_pebbles, #ffffff
yellow_tulip, #ffffff
