// Compost colors for goety. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyss_crown, #529080
grave_glove, #7a5c39
graverobber_shovel, #fffffb
grimoire_of_goodwill, #bb7655
grimoire_of_grounding, #846944
grimoire_of_grudges, #a77f83
hail_focus, #5cbbea
haunt_pottery_sherd, #905040
haunted_armor_stand, #252526
haunted_boat, #554834
haunted_chest_boat, #735830
haunted_door, #4d5052
haunted_hanging_sign, #525452
haunted_mirror, #fffe86
haunted_painting, #a7a29a
haunted_sapling, #aea7a1
haunted_sign, #4d4e4d
haunting_scroll, #c5c9e6
heart_of_the_night, #e4ffb5
hook_bell, #728a7d
howling_soul, #4a3a4e
hunger_core, #2d4a4e
hungry_dagger, #8d9b9e
hunters_bow, #ccc8c0
hunting_focus, #3c221f
ice_cube, #ffffff
ice_spike_focus, #4093ff
ice_storm_focus, #82ebff
iceology_focus, #7dffff
ignite_focus, #ff6105
ill_bomb, #5c9b98
illusion_focus, #5eafe8
illusion_robe, #3e2833
illusion_robe_mirror, #1c5c93
infernal_tome, #845c86
iron_hide_focus, #408c50
iron_ravager_armor, #707070
jade, #e6faee
jei_dummy/none, #3a3a46
killing_focus, #68543a
launch_focus, #83faf4
lavaball_focus, #ffb472
leeching_focus, #a40436
lightning_focus, #5091e1
magic_bolt_focus, #a119c0
magic_emerald, #edffff
magic_fabric, #f2d054
magma_bomb_focus, #d65f23
mauling_focus, #9b7830
mistral_scroll, #fffffe
monsoon_focus, #44474b
music_disc_apostle, #ffffff
music_disc_vizier, #dcdad2
mystic_core, #cc5ced
nameless_cape, #37434a
nameless_crown, #5f6678
necro_cape, #444052
necro_crown, #55545b
nether_crown, #514641
nether_robe, #5a1607
nether_robe_warped, #1e3c46
netherite_ravager_armor, #52474e
night_pottery_sherd, #9a5546
occult_fabric, #482a52
ominous_orb, #faffff
ominous_saddle, #ede7dc
ominous_shard, #ffffff
osseous_focus, #ababab
overgrowth_focus, #90be00
pedestal_dummy, #2d2d34
pendant_of_hunger, #fff7aa
phantasm_focus, #909bb5
philosophers_stone, #bc43c5
pine_boat, #836144
pine_chest_boat, #896536
pine_door, #806155
pine_hanging_sign, #806454
pine_sapling, #706247
pine_sign, #916c55
poison_dart_focus, #c38048
poison_quill_seed, #c59e7d
prisma_beam_focus, #8caca4
pulverize_focus, #727272
quaking_focus, #70583d
quick_growing_seed, #c5d075
raging_matter, #8e9486
rampaging_axe, #d96c6b
ravaging_scroll, #ffffc2
recall_focus, #301f68
refuse_bottle, #aa9da2
ring_of_force, #edc890
ring_of_the_dragon, #ccb1c2
ring_of_the_forge, #94b9ac
ring_of_want, #e0d98c
rotation_focus, #9da49a
rotten_boat, #4a3914
rotten_chest_boat, #6c511f
rotten_door, #29250c
rotten_hanging_sign, #413a22
rotten_sapling, #798441
rotten_sign, #362f12
rotting_focus, #2d4322
rupture_focus, #a05ada
savage_tooth, #ffffee
scatter_focus, #ffd470
sea_amulet, #ffffcf
sensing_focus, #966b4a
shadow_essence, #191919
shocking_focus, #5cbbfe
shockwave_focus, #5b62a0
shredding_focus, #47504d
shrouded_blueprint, #fffafe
skull_focus, #7cf8f5
slimy_focus, #66f46f
snap_warts, #46b96f
sonic_boom_focus, #1bd9d7
soul_bolt_focus, #78e6f8
soul_emerald, #d9fffc
soul_heal_focus, #2d69f8
soul_jar, #b6bcc0
soul_light_focus, #66ffff
soul_pottery_sherd, #8d4e40
soul_ruby, #ffffff
soul_transfer, #58ffff
spent_totem, #ffbe6e
spider_egg, #fffba5
spirit_fabric, #30445a
spiteful_belt, #52394a
spooky_focus, #94c8fb
star_amulet, #ffffff
steaming_focus, #e1ffff
storm_robe, #4a392d
swarm_focus, #36412d
sword_focus, #a5ccd0
taglock_kit, #d6deea
targeting_monocle, #ffe7bf
teeth_focus, #444340
telekinesis_focus, #46809d
terminus_scroll, #9872a8
thrash_glove, #f4ffff
thunderbolt_focus, #6f9aff
tidal_focus, #57a4f5
totem_of_roots, #bfa896
totem_of_souls, #ffc878
treasure_pouch, #dd94bb
trembling_focus, #55706e
trident_storm_focus, #6bbff2
troop_focus, #2d043e
tunnel_focus, #4432ab
undeath_potion, #f5f5ff
unholy_blood, #fffffe
unholy_fabric, #221c1c
unholy_hat, #d4d4d4
unholy_robe, #141414
updraft_focus, #97c5b9
vanguard_focus, #96847f
venomous_fang, #192f29
vexing_focus, #b5cade
warlock_robe, #501e0f
warlock_robe_dark, #402828
warlock_sash, #ff8383
warped_wartful_egg, #167062
warred_scroll, #c5c9e6
wartful_egg, #781826
wayfarers_belt, #6c682f
waystone, #b2b2b2
weakening_focus, #917c9a
whirlwind_focus, #69a7a1
whispering_focus, #8a862d
wild_crown, #2d2a0c
wild_robe, #2a230e
wind_blast_focus, #bfd4cd
wind_core, #ffd761
wind_robe, #828973
windswept_boat, #c2864d
windswept_chest_boat, #a5763a
windswept_door, #e3a26b
windswept_hanging_sign, #c59162
windswept_sapling, #b2a555
windswept_sign, #cf915b
witch_hat, #757870
witch_hat_hedge, #3d2f22
witch_robe, #201133
witch_robe_hedge, #443022
wither_skull_focus, #6b546e
withered_manuscript, #6b625b
