// Compost colors for simplyswords. You may add your own colors, change existing ones, or remove colors that aren't needed.
arcanethyst, #ffeaff
gobber_compat/gobber_nether/gobber_nether_halberd, #ffffff
gobber_compat/gobber_nether/gobber_nether_katana, #ffffff
gobber_compat/gobber_nether/gobber_nether_longsword, #ffffff
gobber_compat/gobber_nether/gobber_nether_rapier, #ffffff
gobber_compat/gobber_nether/gobber_nether_sai, #ffffff
gobber_compat/gobber_nether/gobber_nether_scythe, #ffffff
gobber_compat/gobber_nether/gobber_nether_spear, #ffffff
gobber_compat/gobber_nether/gobber_nether_twinblade, #ffffff
gobber_compat/gobber_nether/gobber_nether_warglaive, #ffffff
gold_chakram, #e7dea1
gold_claymore, #ffffff
gold_cutlass, #ae9e65
gold_glaive, #ffffff
gold_greataxe, #ffffbf
gold_halberd, #ffffff
gold_katana, #ffffff
gold_longsword, #ffffff
gold_rapier, #ffff91
gold_sai, #ab943c
gold_scythe, #ffffff
gold_spear, #ffffca
gold_twinblade, #ffffff
gold_warglaive, #ffffff
harbinger, #40404d
icewhisper, #ffffff
iron_chakram, #c9c9c9
iron_claymore, #ffffff
iron_cutlass, #908d7f
iron_glaive, #ffffff
iron_greataxe, #ffffcc
iron_halberd, #ffffff
iron_katana, #ffffff
iron_longsword, #ffffff
iron_rapier, #ffffff
iron_sai, #797668
iron_scythe, #ffffff
iron_spear, #ffffcd
iron_twinblade, #ffffff
iron_warglaive, #ffffff
livyatan, #ffffff
magiblade, #fffffa
magiscythe, #fffffe
magispear, #ffffeb
molten_edge, #ffffff
netherfused_gem, #f7f7ff
netherite_chakram, #a0919a
netherite_claymore, #b19eae
netherite_cutlass, #73625b
netherite_glaive, #ffffff
netherite_greataxe, #fff7be
netherite_halberd, #b6b8b9
netherite_katana, #ae9bab
netherite_longsword, #ae9bab
netherite_rapier, #ffffff
netherite_sai, #685251
netherite_scythe, #a490a0
netherite_spear, #ffffca
netherite_twinblade, #caffff
netherite_warglaive, #af9dac
ribboncleaver, #dc8a7a
righteous_relic, #ffffff
runefused_gem, #f7f7ff
runic_chakram, #c2e0e7
runic_claymore, #ffffff
runic_cutlass, #96a29d
runic_glaive, #ffffff
runic_greataxe, #ffffd2
runic_halberd, #ffffff
runic_katana, #ffffff
runic_longsword, #ffffff
runic_rapier, #d2ffff
runic_sai, #899ba0
runic_scythe, #ffffff
runic_spear, #ffffd0
runic_tablet, #cfcfdc
runic_twinblade, #ffffff
runic_warglaive, #ffffff
shadowsting, #ffffff
slumbering_lichblade, #ffffff
soulpyre, #ffffcf
soulrender, #ffffff
soulstealer, #a0a4b6
stars_edge, #ffffff
stormbringer, #ffffff
storms_edge, #ffffff
sunfire, #ffffff
sword_on_a_stick, #f2e3cd
tainted_relic, #40404d
tampered_remnant, #75900b
tempest, #fcf5e6
thunderbrand, #8ae4ff
toxic_longsword, #ffffff
twisted_blade, #ffffff
waking_lichblade, #ffffff
watcher_claymore, #fff8e0
watching_warglaive, #2d2f57
waxweaver, #ffffff
whisperwind, #b99d9e
wickpiercer, #ffffff
