// Compost colors for botania. You may add your own colors, change existing ones, or remove colors that aren't needed.
agricarnation, #66f23e
orange_mushroom, #ffeaae
orange_mystical_flower, #afb919
orange_petal, #ff830f
orange_shiny_flower, #b2d02f
orechid, #9dc3a5
orechid_ignem, #a15550
overgrowth_seed, #ffffff
pattern_1_1, #ffc6af
pattern_1_2, #ffc8b1
pattern_1_3, #ffc9b2
pattern_2_1, #ffc8b1
pattern_2_2, #ffcab4
pattern_2_3, #ffcdb6
pattern_3_1, #ffc9b2
pattern_3_2, #ffcdb6
pattern_donut, #ffd0b9
pebble, #ffffff
phantom_ink, #ffffff
pink_double_flower, #ff9ae7
pink_mushroom, #ffa2d0
pink_mystical_flower, #bfb57d
pink_petal, #ff75b5
pink_shiny_flower, #c0c286
pinkinator, #ffffff
pixie_dust, #f47fe3
pixie_ring, #ffc3ff
placeholder, #fffffe
podzol_seeds, #ffffff
pollidisiac, #f15e2c
pool_minecart, #c3c5c6
pure_daisy, #fffff7
purple_double_flower, #9a28a8
purple_mushroom, #e789ea
purple_mystical_flower, #933498
purple_petal, #730494
purple_shiny_flower, #ab43ab
quartz_blaze, #ffffd3
quartz_dark, #8d8a89
quartz_elven, #fcffff
quartz_lavender, #ffffff
quartz_mana, #eaffff
quartz_red, #fffefe
quartz_sunny, #fffffc
rafflowsia, #d6a89d
rainbow_rod, #ffffff
rannuncarpus, #ffeba2
rannuncarpus_chibi, #fff2a1
reach_ring, #ffcaff
record_gaia_1, #c9c9c9
record_gaia_2, #cacaca
red_double_flower, #ff192a
red_mushroom, #ff2334
red_mystical_flower, #fe5c29
red_petal, #ff111c
red_shiny_flower, #ff7044
red_string, #ffa1a1
redstone_root, #ffebe0
rosa_arcana, #9d4b8a
rune_air, #ffffff
rune_autumn, #ffffeb
rune_earth, #ffffea
rune_envy, #fffff8
rune_fire, #ffffeb
rune_gluttony, #fffff4
rune_greed, #ffffee
rune_lust, #fffffa
rune_mana, #fffffe
rune_pride, #fffff0
rune_sloth, #fffff4
rune_spring, #fffffa
rune_summer, #fcffff
rune_water, #ffffff
rune_winter, #ffffff
rune_wrath, #fff7e7
scorched_seeds, #ffffff
sextant, #7caaf0
shulk_me_not, #804d91
skydirt_rod, #906b54
slime_bottle, #ffffff
slingshot, #decdc3
smelt_rod, #f7e6d9
solegnolia, #ffc634
solegnolia_chibi, #f4bc2d
spark, #ffffff
spark_upgrade_dispersive, #a0b6d7
spark_upgrade_dominant, #a0b8d7
spark_upgrade_isolated, #a1b5d6
spark_upgrade_recessive, #a0b6d6
spawner_mover, #c3fa94
spectranthemum, #ffffff
spectrolus, #d7949d
speed_up_belt, #fff5cf
spell_cloth, #f7f7f7
star_sword, #af4069
super_cloud_pendant, #ffffff
super_lava_pendant, #ffdad6
super_travel_belt, #ffd4f1
swap_ring, #d2ffff
tangleberrie, #7ce8da
tangleberrie_chibi, #76e1de
temperance_stone, #fefffe
terra_axe, #5baf4e
terra_pick, #529e43
terra_sword, #659e47
terraform_rod, #e6ddc9
terrasteel_boots, #7ac35e
terrasteel_chestplate, #62d347
terrasteel_helmet, #80e066
terrasteel_ingot, #82fb8a
terrasteel_leggings, #76c35c
terrasteel_nugget, #55dc62
thermalily, #f1890f
third_eye, #ffffff
thor_ring, #ffffb1
thorn_chakram, #ffffd0
thunder_sword, #ffffff
tigerseye, #bf861b
tiny_planet, #9a9a9a
toggle_light_relay, #ffffff
tornado_rod, #30aa05
travel_belt, #d0ffed
twig_wand, #581508
unholy_cloak, #a73a39
vial, #b1b8c8
vinculotus, #73d9d2
vine_ball, #284a11
virus_necrodermal, #265a00
virus_nullodermal, #e0e0e0
vivid_seeds, #ffffff
water_bowl, #62624a
water_ring, #d7ffff
water_rod, #e4ffff
white_double_flower, #e7ffff
white_mushroom, #ffffff
white_mystical_flower, #c6fff4
white_petal, #d3f5ff
white_shiny_flower, #d3fffc
world_seed, #ffffff
yellow_double_flower, #ffff5e
yellow_mushroom, #ffff9e
yellow_mystical_flower, #ddff3c
yellow_petal, #ffff40
yellow_shiny_flower, #dcff5b
