// Compost colors for crystalcraft_unlimited_java. You may add your own colors, change existing ones, or remove colors that aren't needed.
adamantite, #ff36ff
electrum_sword, #ffcf54
emeral_armor_boots, #cae36
emeral_armor_chestplate, #fd241
emeral_armor_helmet, #8a130
emeral_armor_leggings, #bb537
emerald_axe, #186f30
emerald_hoe, #124e22
emerald_pickaxe, #125f26
emerald_shovel, #15702d
emerald_sword, #19a03c
enderite_armor_boots, #1c5c58
enderite_armor_chestplate, #226c66
enderite_armor_helmet, #195550
enderite_armor_leggings, #1e615b
enderium, #1b6c65
enderium_axe, #325f51
enderium_hoe, #a4e30
enderium_pickaxe, #75134
enderium_shovel, #b3c2f
enderium_sword, #2a6f51
europium_armor_boots, #ffbf4a
europium_armor_chestplate, #ffd25f
europium_armor_helmet, #ffc25e
europium_armor_leggings, #ffc851
europium_axe, #f8c06c
europium_hoe, #d7af79
europium_ingot, #fffa89
europium_pickaxe, #e3b26e
europium_shovel, #eebc78
europium_sword, #ffc558
fire_opal, #ff7939
fire_opal_armor_boots, #ff5225
fire_opal_armor_chestplate, #ff6c40
fire_opal_armor_helmet, #ff4816
fire_opal_armor_leggings, #ff6236
fire_opal_axe, #ff903e
fire_opal_hoe, #ff9734
fire_opal_pickaxe, #ff8a34
fire_opal_shovel, #ff8423
fire_opal_sword, #ff652d
flourite, #e82dff
flourite_armor_boots, #bb0eff
flourite_armor_chestplate, #d215ff
flourite_armor_helmet, #be15ff
flourite_armor_leggings, #c214ff
flourite_axe, #8a1eab
flourite_hoe, #750b93
flourite_pickaxe, #900aac
flourite_shovel, #7d2090
flourite_sword, #bf3ef4
fluorite, #7c80d9
fluorite_armor_boots, #8482ea
fluorite_armor_chestplate, #8097ff
fluorite_armor_helmet, #897cd9
fluorite_armor_leggings, #7c8df8
fluorite_axe, #486193
fluorite_hoe_recipe, #2d6f7a
fluorite_pickaxe, #4b588e
fluorite_shovel, #5a5486
fluorite_sword, #6584cf
fusion_template, #8e8778
galaxite, #9457e7
galaxite_armor_boots, #9b4dc2
galaxite_armor_chestplate, #ab61e4
galaxite_armor_helmet, #974dc0
galaxite_armor_leggings, #9857d2
galaxite_axe, #7037b5
galaxite_blade, #6836b5
galaxite_hoe, #5b2998
galaxite_pickaxe, #6b2da1
galaxite_shovel, #7c3ab5
garnet, #be3333
garnet_armor_boots, #680b0b
garnet_armor_chestplate, #8a0a0a
garnet_armor_helmet, #6c0505
garnet_armor_leggings, #800808
garnet_axe, #722628
garnet_hoe, #430b0c
garnet_pickaxe, #480a0a
garnet_shovel, #430b0c
garnet_sword, #8e2020
ghoul_armor_boots, #7dff30
ghoul_armor_chestplate, #97ff4d
ghoul_armor_helmet, #75ff28
ghoul_armor_leggings, #83ff37
ghoul_quartz, #b2ff68
ghoul_quartz_axe, #a1ff5e
ghoul_quartz_function, #b2ff68
ghoul_quartz_hoe, #1ec226
ghoul_quartz_pickaxe, #1fc628
ghoul_quartz_shovel, #23ee28
ghoul_quartz_sword, #7cff30
golden_cyber_sword, #ff763c
goshenite, #ffffff
goshenite_armor_boots, #ffffff
goshenite_armor_chestplate, #ffffff
goshenite_armor_helmet, #ffffff
goshenite_armor_leggings, #ffffff
goshenite_axe, #d4d2d2
goshenite_hoe, #e1e1e1
goshenite_pickaxe, #e6e6e6
goshenite_shovel, #fcfcfc
goshenite_sword, #c0bcbc
grandidierite, #ad7a7
grandidierite_armor_boots, #37d9b2
grandidierite_armor_chestplate, #2fffd0
grandidierite_armor_helmet, #1bcfa5
grandidierite_armor_leggings, #20e3b5
grandidierite_axe, #25987f
grandidierite_hoe, #1e7a65
grandidierite_pickaxe, #208a72
grandidierite_shovel, #1f8c72
grandidierite_sword, #23b291
green_catseye, #33971c
green_catseye_1_armor_boots, #20700e
green_catseye_1_armor_chestplate, #288c11
green_catseye_1_armor_helmet, #22760e
green_catseye_1_armor_leggings, #257911
green_catseye_axe, #2f751e
green_catseye_hoe, #1b5a0c
green_catseye_pickaxe, #185b0a
green_catseye_shovel, #1b5e0c
green_catseye_sword, #257a11
green_crossguard_cyber_sword, #8dfa55
green_cyber_sword, #70ff3d
green_diamond, #58ff43
green_diamond_armor_set_boots, #39fa16
green_diamond_armor_set_chestplate, #40ff1c
green_diamond_armor_set_helmet, #33f70f
green_diamond_armor_set_leggings, #37ff15
green_diamond_axe, #58ea1e
green_diamond_hoe, #3dbc0a
green_diamond_pickaxe, #41c00e
green_diamond_shovel, #46c511
green_diamond_sword, #52e119
green_gold, #e6fe30
green_gold_axe, #e1f07a
green_gold_hoe, #c0ca83
green_gold_pickaxe, #c8d47c
green_gold_shovel, #e0eb9d
green_gold_sword, #dcf062
green_goldi_armor_boots, #d9f23c
green_goldi_armor_chestplate, #f8ff40
green_goldi_armor_helmet, #cfe834
green_goldi_armor_leggings, #e1fb3d
green_pearl, #91ff5f
green_pearl_1_armor_boots, #64fe30
green_pearl_1_armor_chestplate, #82ff46
green_pearl_1_armor_helmet, #50f718
green_pearl_1_armor_leggings, #7cff4b
green_pearl_axe, #5fae39
green_pearl_hoe, #3e861e
green_pearl_pickaxe, #3d9818
green_pearl_shovel, #3c9426
green_pearl_sword, #6efa6b
green_star_armor_boots, #11821c
green_star_armor_chestplate, #30bc34
green_star_armor_helmet, #11801e
green_star_armor_leggings, #148c1c
green_star_sapphire, #1fa075
green_star_sapphire_axe, #25c08c
green_star_sapphire_hoe, #1b5419
green_star_sapphire_pickaxe, #185016
green_star_sapphire_shovel, #20651f
green_star_sapphire_sword, #16b882
grey_cyber_sword, #908a8a
grindston_armor_boots, #3c331f
grindston_armor_chestplate, #574b33
grindston_armor_helmet, #3c321b
grindston_armor_leggings, #433923
grindstone, #504125
grindstone_axe, #342f25
grindstone_hoe, #261f12
grindstone_pickaxe, #302612
grindstone_shovel, #2d2619
grindstone_sword, #3c3019
hackmantite, #ff9bff
hackmantite_armor_boots, #e475ff
hackmantite_armor_chestplate, #f77dff
hackmantite_armor_helmet, #dc68fc
hackmantite_armor_leggings, #f082ff
hackmantite_axe, #b461ca
hackmantite_hoe, #cf69d6
hackmantite_pickaxe, #de68e8
hackmantite_shovel, #a755ac
hackmantite_sword, #f194ff
helios_battle_axe, #ff8304
helios_blade, #ff9107
hercynite, #39364a
hercynite_armor_boots, #1e2230
hercynite_armor_chestplate, #2f3247
hercynite_armor_helmet, #191e2f
hercynite_armor_leggings, #20202d
hercynite_axe, #25222f
hercynite_hoe, #221b32
hercynite_pickaxe, #1f192c
hercynite_shovel, #282530
hercynite_sword, #221e2c
hero_axe, #696255
hero_blade, #645a44
hero_pickaxe, #696451
hero_scythe, #6c6655
hero_shovel, #6e6655
holmium, #7a8652
holmium_armor_boots, #545529
holmium_armor_chestplate, #6c6e37
holmium_armor_helmet, #505128
holmium_armor_leggings, #646b3a
holmium_axe, #666e3a
holmium_pickaxe, #50572d
holmium_scythe, #48512a
holmium_spade, #576c48
holmium_sword, #6e692f
humoranium, #ffff22
humoranium_armor_boots, #ffee19
humoranium_armor_chestplate, #fffe05
humoranium_armor_helmet, #ffe80b
humoranium_armor_leggings, #fff411
humoranium_axe, #ffff1e
humoranium_pickaxe, #ffdd08
humoranium_scythe, #ffdc05
humoranium_shovel, #fffb2f
humoranium_sword, #fff10f
hydro_potassium_armor_boots, #f2c2f4
hydro_potassium_armor_chestplate, #fff1ff
hydro_potassium_armor_helmet, #ffcdff
hydro_potassium_armor_leggings, #ffd2ff
hydro_pottasium, #e0cae6
hydro_pottasium_ingot, #ffffff
hydro_pottasium_pickaxe, #edcaf0
hydro_pottasium_shovel, #f1d4f5
hydro_pottasium_sword, #fff0ff
hydro_pottassium_axe, #fcd0ff
ice_armor_boots, #84f8ff
ice_armor_chestplate, #9effff
ice_armor_helmet, #7cf4ff
ice_armor_leggings, #84ffff
ice_opal, #d6ffff
ice_opal_axe_recipe, #a0ffff
ice_opal_hoe, #68ffff
ice_opal_pickaxe, #65feff
ice_opal_shovel, #6fffff
ice_opal_sword, #73ffff
ikegamin_1_armor_boots, #f4ed54
