// Compost colors for gaiadimension. You may add your own colors, change existing ones, or remove colors that aren't needed.
agate_arrow, #c66bcc
proustite_chestplate, #b42852
proustite_helmet, #9b1b44
proustite_legs, #af1b47
purple_agate_sapling, #c280ff
purple_geode, #781f30
purple_geode_slice, #894379
purple_geode_soda, #ab80cc
pyrite, #ffffff
pyrite_powder, #686832
pyrite_torch, #93785b
red_opal, #f14b30
red_opal_powder, #75644a
repair_kit, #d0c3b8
roofed_agaric, #deffed
scarlet_augment_kit, #e39b8e
scarlet_replace_kit, #e7ac9e
scaynyx_bucket, #a84776
scaynyx_ingot, #bf6c94
shiny_bone, #fbbcff
small_calamari, #ffffff
small_tentacle, #ffffff
sombre_shrub, #c5bcb9
spinel_princess_cloak, #ff9ad2
spinel_princess_cowl, #ffd2e6
spinel_princess_dress, #ff94d2
spinel_princess_flamberge, #f5afd0
spinel_princess_heels, #ff91cd
spotted_kersei, #ff96f0
stibnite, #eeeef2
stibnite_axe, #736f7d
stibnite_pickaxe, #666172
stibnite_shovel, #736f7f
stibnite_sword, #555c68
stickly_cupsir, #fffffb
sturdy_pebble, #7c6184
sugar_cluster, #ffffff
sugar_crystals, #ffffff
sugilite, #6641b4
sugilite_axe, #ab7fb5
sugilite_boots, #9b4ac9
sugilite_chestplate, #c362e8
sugilite_helmet, #842aac
sugilite_legs, #942dc5
sugilite_pickaxe, #ac7ab2
sugilite_shovel, #b18ac3
sugilite_sword, #ffffff
superhot_magma_bucket, #ebdefb
sweet_muck_bucket, #fcb4f8
sweet_muckball, #f4c3ff
tall_golden_grass, #ffff7d
tektite, #dedede
thiscus, #ffa19b
thorny_wiltha, #dcdcff
tilibl, #c6945e
tiligr, #bcac44
tilimy, #e1b44a
tiliol, #e0ab4a
tiliou, #b18937
tilipi, #e08c61
tilipu, #c38354
twined_thread, #eaffff
twinkling_gilsri, #ffffff
varloom, #ea65e3
white_opal, #c0d3e0
white_opal_grit, #ffffff
zircon_prince_boots, #1287a4
zircon_prince_chestpiece, #58bc94
zircon_prince_crown, #9bf287
zircon_prince_gear, #1496b6
zircon_prince_razor, #5fb8cd
