// Compost colors for more_beautiful_torches. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_log_redstone_torch, #ff753e
bookshelf_redstone_torch, #f26b2f
bookshelf_soul_torch, #9da06c
bookshelf_torch, #c89d47
brain_coral_block_redstone_torch, #ff7a94
brain_coral_block_soul_torch, #ffaefc
brain_coral_block_torch, #ffacd7
bricks_redstone_torch, #ff7f5c
bricks_soul_torch, #ccb5a7
bricks_torch, #f7b282
brown_mushroom_block_redstone_torch, #ff8454
brown_mushroom_block_soul_torch, #c8bf9e
brown_mushroom_block_torch, #f2bc79
brown_mushroom_redstone_torch, #ff8a5f
brown_mushroom_soul_torch, #d3ccb2
brown_mushroom_torch, #fec98d
brown_terracotta_redstone_torch, #dd5530
brown_terracotta_soul_torch, #767969
brown_terracotta_torch, #a07844
brown_wool_redstone_torch, #fa6534
brown_wool_soul_torch, #a0906e
brown_wool_torch, #c98e4a
bubble_coral_block_redstone_torch, #ff4a9b
bubble_coral_block_soul_torch, #ee68ff
bubble_coral_block_torch, #ff65e4
budding_amethyst_redstone_torch, #ff7aa2
budding_amethyst_soul_torch, #b2abff
budding_amethyst_torch, #dda8ea
calcite_redstone_torch, #ffe0c3
calcite_soul_torch, #ffffff
calcite_torch, #ffffff
chiseled_deepslate_redstone_torch, #cd5b41
chiseled_deepslate_soul_torch, #5c7d7f
chiseled_deepslate_torch, #867c5b
chiseled_nether_bricks_redstone_torch, #c5402a
chiseled_nether_bricks_soul_torch, #545b61
chiseled_nether_bricks_torch, #7f583d
chiseled_polished_blackstone_redstone_torch, #c8513c
chiseled_polished_blackstone_soul_torch, #57737d
chiseled_polished_blackstone_torch, #827058
chiseled_quartz_block_redstone_torch, #ffe1c3
chiseled_quartz_block_soul_torch, #ffffff
chiseled_quartz_block_torch, #ffffff
chiseled_red_sandstone_redstone_torch, #ff7225
chiseled_red_sandstone_soul_torch, #e1a458
chiseled_red_sandstone_torch, #ffa133
chiseled_sandstone_redstone_torch, #ffc689
chiseled_sandstone_soul_torch, #fffff0
chiseled_sandstone_torch, #ffffcc
chiseled_stone_bricks_redstone_torch, #ff8c73
chiseled_stone_bricks_soul_torch, #a5c5c8
chiseled_stone_bricks_torch, #cfc3a2
chorus_flower_redstone_torch, #ffa29e
chorus_flower_soul_torch, #e7e8ff
chorus_flower_torch, #ffe6e6
chorus_plant_redstone_torch, #f26566
chorus_plant_soul_torch, #9891bb
chorus_plant_torch, #c28e96
clay_redstone_torch, #ffae9e
clay_soul_torch, #d4fcff
clay_torch, #fefae8
coal_block_redstone_torch, #af3c22
coal_block_soul_torch, #335557
coal_block_torch, #5e5232
coal_ore_redstone_torch, #fc8970
coal_ore_soul_torch, #a0c2c3
coal_ore_torch, #cabf9e
coarse_dirt_redstone_torch, #f46b40
coarse_dirt_soul_torch, #94947d
coarse_dirt_torch, #be9358
cobbled_deepslate_redstone_torch, #e16f58
cobbled_deepslate_soul_torch, #7d9ea2
cobbled_deepslate_torch, #a79d7f
cobblestone_redstone_torch, #ff9076
cobblestone_soul_torch, #b2d4d6
cobblestone_torch, #ddd2b1
copper_block_redstone_torch, #ff7c4d
copper_block_soul_torch, #ebb191
copper_block_torch, #ffae6e
copper_ore_redstone_torch, #ff8e6c
copper_ore_soul_torch, #bfd0c5
copper_ore_torch, #eacda1
cracked_deepslate_bricks_redstone_torch, #ca573d
cracked_deepslate_bricks_soul_torch, #587a7c
cracked_deepslate_bricks_torch, #837858
cracked_deepslate_tiles_redstone_torch, #cc5840
cracked_deepslate_tiles_soul_torch, #5a7c7d
cracked_deepslate_tiles_torch, #847958
cracked_nether_bricks_redstone_torch, #c03e28
cracked_nether_bricks_soul_torch, #4a555b
cracked_nether_bricks_torch, #735236
cracked_polished_blackstone_bricks_redstone_torch, #bc442d
cracked_polished_blackstone_bricks_soul_torch, #445e62
cracked_polished_blackstone_bricks_torch, #6e5b3d
cracked_stone_bricks_redstone_torch, #f8836b
cracked_stone_bricks_soul_torch, #9dbcbf
cracked_stone_bricks_torch, #c6bb9b
crimson_fungus_redstone_torch, #f25437
crimson_fungus_soul_torch, #9a7270
crimson_fungus_torch, #c3704b
crimson_hyphae_redstone_torch, #fb554b
crimson_hyphae_soul_torch, #a07991
crimson_hyphae_torch, #ca786e
crimson_nylium_redstone_torch, #e6432a
crimson_nylium_soul_torch, #865b5b
crimson_nylium_torch, #af5837
crimson_planks_redstone_torch, #e75147
crimson_planks_soul_torch, #8c768e
crimson_planks_torch, #b57369
crimson_roots_redstone_torch, #ff3e34
crimson_roots_soul_torch, #ab5e84
crimson_roots_torch, #e35a52
crying_obsidian_redstone_torch, #b13932
crying_obsidian_soul_torch, #37506e
crying_obsidian_torch, #614e4a
cut_copper_redstone_torch, #ff7d4e
cut_copper_soul_torch, #f2b597
cut_copper_torch, #ffb273
cut_red_sandstone_redstone_torch, #ff7c2d
cut_red_sandstone_soul_torch, #f5b465
cut_red_sandstone_torch, #ffb140
cut_sandstone_redstone_torch, #ffcd90
cut_sandstone_soul_torch, #fffff7
cut_sandstone_torch, #ffffd2
cyan_terracotta_redstone_torch, #e4755b
cyan_terracotta_soul_torch, #80a7a8
cyan_terracotta_torch, #aba484
cyan_wool_redstone_torch, #b29884
cyan_wool_soul_torch, #36dce6
cyan_wool_torch, #5fd9c2
dark_oak_log_redstone_torch, #d65126
dark_oak_log_soul_torch, #69705a
dark_oak_log_torch, #946f34
dark_oak_planks_redstone_torch, #d24d23
dark_oak_planks_soul_torch, #666f57
dark_oak_planks_torch, #916e32
dark_prismarine_redstone_torch, #c9724d
dark_prismarine_soul_torch, #57a493
dark_prismarine_torch, #82a16f
dead_brain_coral_block_redstone_torch, #ff8d70
dead_brain_coral_block_soul_torch, #b1c9c6
dead_brain_coral_block_torch, #dac8a1
dead_bubble_coral_block_redstone_torch, #ff977a
dead_bubble_coral_block_soul_torch, #c3dcd7
dead_bubble_coral_block_torch, #edd9b2
dead_fire_coral_block_redstone_torch, #ff9073
dead_fire_coral_block_soul_torch, #b9d2cd
dead_fire_coral_block_torch, #e3cfaa
dead_horn_coral_block_redstone_torch, #fc8368
dead_horn_coral_block_soul_torch, #a2bcb9
dead_horn_coral_block_torch, #cdb996
dead_tube_coral_block_redstone_torch, #ff9073
dead_tube_coral_block_soul_torch, #b5cdca
dead_tube_coral_block_torch, #decaa5
deepslate_bricks_redstone_torch, #d05e44
deepslate_bricks_soul_torch, #648486
deepslate_bricks_torch, #8d8361
deepslate_coal_ore_redstone_torch, #de6b54
deepslate_coal_ore_soul_torch, #76989b
deepslate_coal_ore_torch, #a09676
deepslate_copper_ore_redstone_torch, #fa7958
deepslate_copper_ore_soul_torch, #a0afa7
deepslate_copper_ore_torch, #caac82
deepslate_diamond_ore_redstone_torch, #e1846b
deepslate_diamond_ore_soul_torch, #82c6c6
deepslate_diamond_ore_torch, #acc3a1
deepslate_emerald_ore_redstone_torch, #d46f4d
deepslate_emerald_ore_soul_torch, #6fa298
deepslate_emerald_ore_torch, #9aa173
deepslate_gold_ore_redstone_torch, #e06b50
deepslate_gold_ore_soul_torch, #7f9d9b
deepslate_gold_ore_torch, #aa9a78
deepslate_iron_ore_redstone_torch, #e06c54
deepslate_iron_ore_soul_torch, #7fa0a1
deepslate_iron_ore_torch, #aa9d7d
deepslate_lapis_ore_redstone_torch, #d97276
deepslate_lapis_ore_soul_torch, #6ca4d2
deepslate_lapis_ore_torch, #97a1ae
deepslate_redstone_ore_redstone_torch, #e36650
deepslate_redstone_ore_soul_torch, #82989d
deepslate_redstone_ore_torch, #ab9678
deepslate_redstone_torch, #de6c55
deepslate_soul_torch, #799aa0
deepslate_tiles_redstone_torch, #cd5a40
deepslate_tiles_soul_torch, #5c7f80
deepslate_tiles_torch, #877c5b
deepslate_torch, #a2987a
diamond_block_redstone_torch, #dae0c2
diamond_block_soul_torch, #78ffff
diamond_block_torch, #a1ffff
diamond_ore_redstone_torch, #ffa88c
diamond_ore_soul_torch, #b2f7f4
diamond_ore_torch, #ddf4d0
diorite_redstone_torch, #ffc5ac
diorite_soul_torch, #ffffff
diorite_torch, #ffffff
dirt_redstone_torch, #ff7648
dirt_soul_torch, #aca78a
dirt_torch, #d7a565
dried_kelp_block_redstone_torch, #e0734d
dried_kelp_block_soul_torch, #79a491
dried_kelp_block_torch, #a4a26c
dripstone_block_redstone_torch, #ff7855
dripstone_block_soul_torch, #aeafa2
dripstone_block_torch, #d7ac7f
emerald_block_redstone_torch, #b5c048
emerald_block_soul_torch, #3aff90
emerald_block_torch, #64ff6b
emerald_ore_redstone_torch, #f18c68
emerald_ore_soul_torch, #97cabe
emerald_ore_torch, #c2c99a
end_portal_frame_redstone_torch, #d37852
end_portal_frame_soul_torch, #5ea293
end_portal_frame_torch, #89a06e
end_stone_bricks_redstone_torch, #ffc883
end_stone_bricks_soul_torch, #ffffe1
end_stone_bricks_torch, #ffffbc
end_stone_redstone_torch, #ffd78c
end_stone_soul_torch, #fffff0
end_stone_torch, #ffffca
exposed_copper_redstone_torch, #ff8c64
exposed_copper_soul_torch, #d4c9b2
exposed_copper_torch, #fec68e
exposed_cut_copper_redstone_torch, #ff8a64
exposed_cut_copper_soul_torch, #cfc8b5
exposed_cut_copper_torch, #f8c591
fire_coral_block_redstone_torch, #ff4b3a
fire_coral_block_soul_torch, #e06978
fire_coral_block_torch, #ff6652
gilded_blackstone_redstone_torch, #c3462a
gilded_blackstone_soul_torch, #516565
gilded_blackstone_torch, #7c6240
glowstone_redstone_torch, #ff9d5c
glowstone_soul_torch, #e7dca4
glowstone_torch, #ffd97f
gold_block_redstone_torch, #ffc63a
gold_block_soul_torch, #ffff7a
gold_block_torch, #ffff57
gold_ore_redstone_torch, #ff8e70
gold_ore_soul_torch, #b2d2cd
gold_ore_torch, #ddcfa8
granite_redstone_torch, #ff7852
granite_soul_torch, #c2af9e
granite_torch, #ebae79
gravel_redstone_torch, #ff8e73
gravel_soul_torch, #b2cdcd
gravel_torch, #dccca8
gray_terracotta_redstone_torch, #cf5030
gray_terracotta_soul_torch, #5f7069
gray_terracotta_torch, #8a6e44
gray_wool_redstone_torch, #d2644d
gray_wool_soul_torch, #658d91
gray_wool_torch, #8e8a6e
green_terracotta_redstone_torch, #dc6f36
green_terracotta_soul_torch, #739e70
green_terracotta_torch, #9e9b4d
green_wool_redstone_torch, #e3832a
green_wool_soul_torch, #7dbb61
green_wool_torch, #a8b93c
hay_block_redstone_torch, #ff961f
hay_block_soul_torch, #d6d74e
hay_block_torch, #ffd629
honey_block_redstone_torch, #ffcf5c
honey_block_soul_torch, #ffffa1
honey_block_torch, #ffff7c
honeycomb_block_redstone_torch, #ffa12c
honeycomb_block_soul_torch, #ffe45f
honeycomb_block_torch, #ffe13a
horn_coral_block_redstone_torch, #ffb643
horn_coral_block_soul_torch, #ffff84
horn_coral_block_torch, #ffff5f
ice_redstone_torch, #ffbcd9
ice_soul_torch, #c3ffff
ice_torch, #eeffff
iron_bars_redstone_torch, #ff9e83
iron_bars_soul_torch, #bce1de
iron_bars_torch, #e7deb9
iron_block_redstone_torch, #ffdac0
iron_block_soul_torch, #ffffff
iron_block_torch, #ffffff
iron_ore_redstone_torch, #ff8e73
iron_ore_soul_torch, #accdcc
iron_ore_torch, #d6caa8
jungle_log_redstone_torch, #ff8750
jungle_log_soul_torch, #d4c296
jungle_log_torch, #febf72
jungle_planks_redstone_torch, #ff834e
jungle_planks_soul_torch, #d3c29a
jungle_planks_torch, #febf75
lapis_block_redstone_torch, #b85c80
lapis_block_soul_torch, #3e84e0
lapis_block_torch, #6982bb
lapis_ore_redstone_torch, #eb8489
lapis_ore_soul_torch, #84bbe8
lapis_ore_torch, #aeb8c5
light_blue_terracotta_redstone_torch, #f8827f
light_blue_terracotta_soul_torch, #9ebbde
light_blue_terracotta_torch, #c9b9b9
light_blue_wool_redstone_torch, #cfb5bc
light_blue_wool_soul_torch, #5effff
light_blue_wool_torch, #89ffff
light_gray_terracotta_redstone_torch, #ff8061
light_gray_terracotta_soul_torch, #b8b9af
light_gray_terracotta_torch, #e1b68c
light_gray_wool_redstone_torch, #ff9b7c
light_gray_wool_soul_torch, #bfe1d9
light_gray_wool_torch, #e8deb5
lime_terracotta_redstone_torch, #f1893e
lime_terracotta_soul_torch, #93c67d
lime_terracotta_torch, #bec358
lime_wool_redstone_torch, #f8be29
lime_wool_soul_torch, #9dff5e
lime_wool_torch, #c6ff39
lodestone_redstone_torch, #ff9a83
lodestone_soul_torch, #bbdee1
lodestone_torch, #e6dcbc
magenta_terracotta_redstone_torch, #ff7269
magenta_terracotta_soul_torch, #c8a4bc
magenta_terracotta_torch, #f2a198
magenta_wool_redstone_torch, #ff64a0
magenta_wool_soul_torch, #f58dff
magenta_wool_torch, #ff8ae8
magma_block_redstone_torch, #ff5830
magma_block_soul_torch, #b68265
magma_block_torch, #e17f41
mangrove_log_redstone_torch, #f05034
mangrove_log_soul_torch, #916f6e
mangrove_log_torch, #bb6c4a
mangrove_planks_redstone_torch, #fa543a
mangrove_planks_soul_torch, #a47a79
mangrove_planks_torch, #cf7855
melon_redstone_torch, #e7942c
melon_soul_torch, #8ad962
melon_torch, #b4d63d
moss_block_redstone_torch, #e78339
moss_block_soul_torch, #86bf75
moss_block_torch, #b1bc51
mossy_cobblestone_redstone_torch, #f28758
mossy_cobblestone_soul_torch, #98c6a5
mossy_cobblestone_torch, #c2c380
mossy_stone_bricks_redstone_torch, #fa846c
mossy_stone_bricks_soul_torch, #a0bfc2
mossy_stone_bricks_torch, #c9bc9e
mud_bricks_redstone_torch, #ff8054
mud_bricks_soul_torch, #c2bca0
mud_bricks_torch, #edbb7a
mud_redstone_torch, #d05b44
mud_soul_torch, #618086
mud_torch, #8c7d61
muddy_mangrove_roots_redstone_torch, #dd5f36
muddy_mangrove_roots_soul_torch, #788970
muddy_mangrove_roots_torch, #a2864d
mushroom_stem_redstone_torch, #ffc5a1
mushroom_stem_soul_torch, #ffffff
mushroom_stem_torch, #ffffee
mycelium_redstone_torch, #f87c64
mycelium_soul_torch, #9eb1b6
mycelium_torch, #c8af91
nether_bricks_redstone_torch, #ca432d
nether_bricks_soul_torch, #575c62
nether_bricks_torch, #805a3d
nether_gold_ore_redstone_torch, #ff783d
nether_gold_ore_soul_torch, #c2a578
nether_gold_ore_torch, #eda254
nether_quartz_ore_redstone_torch, #ff6e50
nether_quartz_ore_soul_torch, #ac9691
nether_quartz_ore_torch, #d7946c
nether_wart_block_redstone_torch, #ff3319
nether_wart_block_soul_torch, #a84646
nether_wart_block_torch, #d34422
netherite_block_redstone_torch, #d05a41
netherite_block_soul_torch, #648084
netherite_block_torch, #8d7f5f
netherrack_redstone_torch, #e4472d
netherrack_soul_torch, #826264
netherrack_torch, #ab613e
oak_log_redstone_torch, #ff904e
oak_log_soul_torch, #d2cf96
oak_log_torch, #fbcd70
oak_planks_redstone_torch, #ff8e4d
oak_planks_soul_torch, #d4d397
oak_planks_torch, #fed073
obsidian_redstone_torch, #af392c
obsidian_soul_torch, #365168
obsidian_torch, #5f4e43
ochre_froglight_redstone_torch, #fff0be
ochre_froglight_soul_torch, #ffffff
ochre_froglight_torch, #ffffff
orange_terracotta_redstone_torch, #ff6f32
orange_terracotta_soul_torch, #d69e6b
orange_terracotta_torch, #ff9d47
orange_wool_redstone_torch, #ff8a25
orange_wool_soul_torch, #ffc555
orange_wool_torch, #ffc332
oxidized_copper_redstone_torch, #e0ab7c
oxidized_copper_soul_torch, #7afbdc
oxidized_copper_torch, #a5f8b6
oxidized_cut_copper_redstone_torch, #dc9d6f
oxidized_cut_copper_soul_torch, #75e6c8
oxidized_cut_copper_torch, #a0e3a4
packed_ice_redstone_torch, #ffb9d6
packed_ice_soul_torch, #bcffff
packed_ice_torch, #e7ffff
packed_mud_redstone_torch, #ff8354
packed_mud_soul_torch, #c2bc9e
packed_mud_torch, #edb979
pearlescent_froglight_redstone_torch, #ffedd3
pearlescent_froglight_soul_torch, #ffffff
pearlescent_froglight_torch, #ffffff
pink_terracotta_redstone_torch, #ff6b51
pink_terracotta_soul_torch, #d6989a
pink_terracotta_torch, #ff9676
pink_wool_redstone_torch, #ff9b9a
pink_wool_soul_torch, #ffdeff
pink_wool_torch, #ffdcde
polished_andesite_redstone_torch, #ff9076
polished_andesite_soul_torch, #acd2d3
polished_andesite_torch, #d7d0ae
polished_basalt_redstone_torch, #f27f66
polished_basalt_soul_torch, #93b5b6
polished_basalt_torch, #beb291
polished_blackstone_bricks_redstone_torch, #c04733
polished_blackstone_bricks_soul_torch, #4b646b
polished_blackstone_bricks_torch, #766247
polished_blackstone_redstone_torch, #c8513c
polished_blackstone_soul_torch, #557279
polished_blackstone_torch, #7f6f54
polished_deepslate_redstone_torch, #d05e44
polished_deepslate_soul_torch, #66898a
polished_deepslate_torch, #918665
polished_diorite_redstone_torch, #ffc3aa
polished_diorite_soul_torch, #fbffff
polished_diorite_torch, #fffffa
polished_granite_redstone_torch, #ff7c55
polished_granite_soul_torch, #c9b5a1
polished_granite_torch, #f4b27d
prismarine_bricks_redstone_torch, #e8ae8a
prismarine_bricks_soul_torch, #89fff1
prismarine_bricks_torch, #b4fccd
pumpkin_redstone_torch, #ff7c23
pumpkin_soul_torch, #e8b852
pumpkin_torch, #ffb52f
purple_terracotta_redstone_torch, #fc6557
purple_terracotta_soul_torch, #a490a2
purple_terracotta_torch, #cf8d7f
purple_wool_redstone_torch, #ff509a
purple_wool_soul_torch, #a76fff
purple_wool_torch, #d26ce0
purpur_block_redstone_torch, #ff8e94
purpur_block_soul_torch, #dcd0fe
purpur_block_torch, #ffcdda
purpur_pillar_redstone_torch, #ff8c94
purpur_pillar_soul_torch, #dccaff
purpur_pillar_torch, #ffc8da
quartz_block_redstone_torch, #ffe0c2
quartz_block_soul_torch, #ffffff
quartz_block_torch, #ffffff
quartz_bricks_redstone_torch, #ffdebf
quartz_bricks_soul_torch, #ffffff
quartz_bricks_torch, #ffffff
quartz_pillar_redstone_torch, #ffe1c3
quartz_pillar_soul_torch, #ffffff
quartz_pillar_torch, #ffffff
raw_copper_block_redstone_torch, #ff8a5a
raw_copper_block_soul_torch, #c3c9a8
raw_copper_block_torch, #eec684
raw_gold_block_redstone_torch, #ffa42f
raw_gold_block_soul_torch, #ffea66
raw_gold_block_torch, #ffe743
raw_iron_block_redstone_torch, #ffa576
raw_iron_block_soul_torch, #e8e7c8
raw_iron_block_torch, #ffe4a2
red_mushroom_block_redstone_torch, #ff6c51
red_mushroom_block_soul_torch, #ff9494
red_mushroom_block_torch, #ff916f
red_mushroom_redstone_torch, #ff8258
red_mushroom_soul_torch, #ffbea8
red_mushroom_torch, #ffbb80
red_nether_bricks_redstone_torch, #e0371f
red_nether_bricks_soul_torch, #764a4e
red_nether_bricks_torch, #a14829
red_sand_redstone_torch, #ff8030
red_sand_soul_torch, #fab666
red_sand_torch, #ffb441
red_sandstone_redstone_torch, #ff792d
red_sandstone_soul_torch, #eaae64
red_sandstone_torch, #ffab3e
red_terracotta_redstone_torch, #ff5e39
red_terracotta_soul_torch, #c08476
red_terracotta_torch, #eb8251
red_wool_redstone_torch, #ff4d30
red_wool_soul_torch, #d46c68
red_wool_torch, #fe6943
redstone_block_redstone_torch, #ff4018
redstone_block_soul_torch, #d45844
redstone_block_torch, #fe551f
redstone_ore_redstone_torch, #ff846c
redstone_ore_soul_torch, #b1c3c5
redstone_ore_torch, #dac0a0
reinforced_deepslate_redstone_torch, #da664e
reinforced_deepslate_soul_torch, #709394
reinforced_deepslate_torch, #9a906f
respawn_anchor_redstone_torch, #b63c3a
respawn_anchor_soul_torch, #445883
respawn_anchor_torch, #6f575e
rooted_dirt_redstone_torch, #ff875a
rooted_dirt_soul_torch, #cabea1
rooted_dirt_torch, #f4bb7c
sand_redstone_torch, #ffd296
sand_soul_torch, #fffffc
sand_torch, #ffffd7
sandstone_redstone_torch, #ffd297
sandstone_soul_torch, #ffffff
sandstone_torch, #ffffdd
sculk_catalyst_redstone_torch, #ac4b36
sculk_catalyst_soul_torch, #2d666f
sculk_catalyst_torch, #57654a
sculk_redstone_torch, #ac4630
sculk_soul_torch, #2d5f68
sculk_torch, #585c43
shroomlight_redstone_torch, #ffa457
shroomlight_soul_torch, #fff0a2
shroomlight_torch, #ffed7f
slime_block_redstone_torch, #f7c25b
slime_block_soul_torch, #9dffaa
slime_block_torch, #c8ff84
smooth_basalt_redstone_torch, #d25f4b
smooth_basalt_soul_torch, #668793
smooth_basalt_torch, #90846e
smooth_quartz_redstone_torch, #ffe0c2
smooth_quartz_soul_torch, #ffffff
smooth_quartz_torch, #ffffff
smooth_red_sandstone_redstone_torch, #ff792d
smooth_red_sandstone_soul_torch, #eaae64
smooth_red_sandstone_torch, #ffab3e
smooth_sandstone_redstone_torch, #ffd297
smooth_sandstone_soul_torch, #ffffff
smooth_sandstone_torch, #ffffdd
smooth_stone_redstone_torch, #ffae94
smooth_stone_soul_torch, #dafcfe
smooth_stone_torch, #fffad9
snow_block_redstone_torch, #fff1d9
snow_block_soul_torch, #ffffff
snow_block_torch, #ffffff
soul_sand_redstone_torch, #d75736
soul_sand_soul_torch, #6e7c70
soul_sand_torch, #98794d
soul_soil_redstone_torch, #da5a37
soul_soil_soul_torch, #738075
soul_soil_torch, #9d7d50
sponge_redstone_torch, #ffbe4b
sponge_soul_torch, #f8ff93
sponge_torch, #ffff6e
spruce_log_redstone_torch, #f76e3a
spruce_log_soul_torch, #9a9d78
spruce_log_torch, #c59a52
spruce_planks_redstone_torch, #f56c39
spruce_planks_soul_torch, #9e9e76
spruce_planks_torch, #c89b52
stone_bricks_redstone_torch, #f8846c
stone_bricks_soul_torch, #9ebfc2
stone_bricks_torch, #c9bc9d
stone_redstone_torch, #ff8d73
stone_soul_torch, #accfd0
stone_torch, #d7ccab
stripped_acacia_log_redstone_torch, #ff733c
stripped_acacia_log_soul_torch, #daa579
stripped_acacia_log_torch, #ffa254
stripped_bamboo_block_redstone_torch, #ffa74d
stripped_bamboo_block_soul_torch, #e7f293
stripped_bamboo_block_torch, #fff06f
stripped_birch_log_redstone_torch, #ffb46f
stripped_birch_log_soul_torch, #f5ffc8
stripped_birch_log_torch, #ffffa2
stripped_crimson_hyphae_redstone_torch, #fb5852
stripped_crimson_hyphae_soul_torch, #a07d9a
stripped_crimson_hyphae_torch, #ca7a76
stripped_dark_oak_log_redstone_torch, #d45026
stripped_dark_oak_log_soul_torch, #68705a
stripped_dark_oak_log_torch, #936e34
stripped_jungle_log_redstone_torch, #ff8c54
stripped_jungle_log_soul_torch, #d9c89b
stripped_jungle_log_torch, #ffc578
stripped_mangrove_log_redstone_torch, #f54e36
stripped_mangrove_log_soul_torch, #976e6f
stripped_mangrove_log_torch, #c26b4b
stripped_oak_log_redstone_torch, #ff9150
stripped_oak_log_soul_torch, #d4d297
stripped_oak_log_torch, #fed072
stripped_spruce_log_redstone_torch, #f56e3a
stripped_spruce_log_soul_torch, #979b76
stripped_spruce_log_torch, #c29a52
stripped_warped_hyphae_redstone_torch, #c98d70
stripped_warped_hyphae_soul_torch, #58c9c5
stripped_warped_hyphae_torch, #82c8a0
target_redstone_torch, #ffb894
target_soul_torch, #fffaee
target_torch, #fff8c9
terracotta_redstone_torch, #ff764a
terracotta_soul_torch, #ccab8d
terracotta_torch, #f5a869
tnt_redstone_torch, #fa4e32
tnt_soul_torch, #916b69
tnt_torch, #bc6844
tube_coral_block_redstone_torch, #ca75bb
tube_coral_block_soul_torch, #58a5ff
tube_coral_block_torch, #82a2ff
tuff_redstone_torch, #ff8d6c
tuff_soul_torch, #a7c9c0
tuff_torch, #d2c89d
verdant_froglight_redstone_torch, #ffeecc
verdant_froglight_soul_torch, #ffffff
verdant_froglight_torch, #ffffff
warped_fungus_redstone_torch, #ea5841
warped_fungus_soul_torch, #7d8e8d
warped_fungus_torch, #a88c68
warped_hyphae_redstone_torch, #c9896e
warped_hyphae_soul_torch, #57c3c0
warped_hyphae_torch, #80c09d
warped_nylium_redstone_torch, #e14a30
warped_nylium_soul_torch, #756f70
warped_nylium_torch, #a06e4b
warped_planks_redstone_torch, #c07858
warped_planks_soul_torch, #4eb2ab
warped_planks_torch, #78b186
warped_roots_redstone_torch, #e8835e
warped_roots_soul_torch, #43dede
warped_roots_torch, #83dca7
warped_wart_block_redstone_torch, #b29176
warped_wart_block_soul_torch, #37d0cf
warped_wart_block_torch, #61cdaa
weathered_copper_redstone_torch, #f2a168
weathered_copper_soul_torch, #97e8bc
weathered_copper_torch, #c2e698
weathered_cut_copper_redstone_torch, #eb9864
weathered_cut_copper_soul_torch, #8edeb6
weathered_cut_copper_torch, #b8dc93
wet_sponge_redstone_torch, #ffb248
wet_sponge_soul_torch, #d4ff8d
wet_sponge_torch, #feff69
white_terracotta_redstone_torch, #ffb891
white_terracotta_soul_torch, #fffff8
white_terracotta_torch, #ffffd4
white_wool_redstone_torch, #ffe4ca
white_wool_soul_torch, #ffffff
white_wool_torch, #ffffff
yellow_terracotta_redstone_torch, #ff9430
yellow_terracotta_soul_torch, #f2d769
yellow_terracotta_torch, #ffd444
yellow_wool_redstone_torch, #ffc633
yellow_wool_soul_torch, #ffff6c
yellow_wool_torch, #ffff48
