// Compost colors for croptopia. You may add your own colors, change existing ones, or remove colors that aren't needed.
ajvar, #985426
saguaro_juice, #e1b8c5
saguaro_seed, #ff2a2a
salsa, #8e4816
salt, #d0af9b
saucy_chips, #aa7a41
sausage, #e37540
scones, #ffd091
scrambled_eggs, #b99757
sea_lettuce, #7ab539
shepherds_pie, #e7ae57
shrimp, #fbcac6
snicker_doodle, #ffbc70
soy_milk, #ffffff
soy_sauce, #a498a8
soybean, #d4c0a5
soybean_seed, #348932
spaghetti_squash, #a77a2a
spinach, #489316
spinach_seed, #15830e
squash, #e1b58d
squash_seed, #fff70f
starfruit, #fcbc34
starfruit_sapling, #839a34
steamed_broccoli, #5c5e26
steamed_clams, #877d93
steamed_crab, #d66f68
steamed_green_beans, #5e6426
steamed_rice, #a49068
sticky_toffee_pudding, #cd7a41
stir_fry, #a8801e
strawberry, #ff7361
strawberry_ice_cream, #be5e46
strawberry_jam, #f8a7d0
strawberry_seed, #ffd0d0
strawberry_smoothie, #ffb9eb
stuffed_artichoke, #ae9648
stuffed_poblanos, #b1a43e
sunny_side_eggs, #ffffc8
supreme_pizza, #ffc666
sushi, #838264
sweet_crepes, #ffca87
sweet_potato_fries, #dd6625
sweetpotato, #f8803a
sweetpotato_seed, #ff8339
taco, #f4dab6
tamales, #ffeea7
tea, #f7ffff
tea_leaves, #5a725e
tea_seed, #91b55f
the_big_breakfast, #ffb864
toast, #edc35f
toast_sandwich, #ddb24e
toast_with_jam, #aa7f66
tofu, #ead6c2
tofu_and_dumplings, #bbafa1
tofuburger, #d9be90
tomatillo, #bfb9a1
tomatillo_seed, #a2d626
tomato, #d6867f
tomato_juice, #ffcac3
tomato_seed, #ff9393
tortilla, #ded2bb
tostada, #d7c6a8
trail_mix, #803d29
treacle_tart, #f18e3e
tres_leche_cake, #fffff5
trifle, #fbdcee
tuna, #b5b6c0
tuna_roll, #daccc0
tuna_sandwich, #fcd67a
turmeric, #d2af9e
turmeric_seed, #7f5b5b
turnip, #c2eba0
turnip_seed, #9b1461
vanilla, #a5a1a2
vanilla_ice_cream, #ac8e66
vanilla_seeds, #5a413a
veggie_salad, #aeaf8a
walnut, #ffffff
walnut_sapling, #84913e
water_bottle, #8dabf0
whipping_cream, #b9a890
wine, #d6bcdd
yam, #915561
yam_jam, #d2c5d6
yam_seed, #b9641b
yoghurt, #a1795e
zucchini, #468334
zucchini_seed, #6e9b61
