// Compost colors for diamethysts. You may add your own colors, change existing ones, or remove colors that aren't needed.
bone_meal_brew, #edf7ff
diamethyst_gold_plate, #ffff65
diamethyst_gold_scimitar, #d4a7d2
diamethyst_gold_shovel, #c29aa5
diamethyst_gold_sickle, #d0a2d7
diamethyst_gold_sword, #be9bb5
diamethyst_iron_arrow, #cac2d7
diamethyst_iron_axe, #a789b9
diamethyst_iron_battle_axe, #bca0dc
diamethyst_iron_boots, #87838c
diamethyst_iron_bow, #8c7079
diamethyst_iron_bow_lower_section, #8e796f
diamethyst_iron_bow_upper_section, #7f7069
diamethyst_iron_chain, #a1a0a5
diamethyst_iron_chain_boots, #969198
diamethyst_iron_chain_chestplate, #aba7b4
diamethyst_iron_chain_helmet, #96919a
diamethyst_iron_chain_horse_armor, #897d7f
diamethyst_iron_chain_leggings, #8a878e
diamethyst_iron_chestplate, #b8b2bf
diamethyst_iron_crossbow, #806b5a
diamethyst_iron_fishing_rod, #897d8c
diamethyst_iron_helmet, #868289
diamethyst_iron_hilt, #6e5c72
diamethyst_iron_hoe, #947c9e
diamethyst_iron_horse_armor, #918083
diamethyst_iron_leggings, #949198
diamethyst_iron_pickaxe, #937fae
diamethyst_iron_plate, #d9d7dd
diamethyst_iron_scimitar, #bfa2e0
diamethyst_iron_shovel, #ac91b4
diamethyst_iron_sickle, #c2a2e7
diamethyst_iron_sword, #ae98c9
diamethyst_knife, #9b73ca
diamethyst_lapis_arrow, #909adc
diamethyst_lapis_axe, #9687ca
diamethyst_lapis_battle_axe, #b29eed
diamethyst_lapis_boots, #3d6bd7
diamethyst_lapis_bow, #826b7f
diamethyst_lapis_bow_lower_section, #86787f
diamethyst_lapis_bow_upper_section, #736c75
diamethyst_lapis_chestplate, #5782f4
diamethyst_lapis_crossbow, #76655e
diamethyst_lapis_fishing_rod, #7c7a9e
diamethyst_lapis_helmet, #3e6cd9
diamethyst_lapis_hilt, #4758b4
diamethyst_lapis_hoe, #7f79bb
diamethyst_lapis_horse_armor, #4d68b6
diamethyst_lapis_leggings, #3462d0
diamethyst_lapis_mesh, #90b5ff
diamethyst_lapis_pickaxe, #847cc6
diamethyst_lapis_scimitar, #ae9bee
diamethyst_lapis_shovel, #9d90c2
diamethyst_lapis_sickle, #b198ee
diamethyst_lapis_sword, #9b97ea
diamethyst_netherite_axe, #967ca8
diamethyst_netherite_battle_axe, #b294cf
diamethyst_netherite_boots, #574a55
diamethyst_netherite_bow, #7f626b
diamethyst_netherite_chestplate, #615462
diamethyst_netherite_crossbow, #755e51
diamethyst_netherite_fishing_rod, #7c6e7c
diamethyst_netherite_helmet, #524751
diamethyst_netherite_hoe, #7d6687
diamethyst_netherite_horse_armor, #615055
diamethyst_netherite_leggings, #4e434d
diamethyst_netherite_pickaxe, #846c9d
diamethyst_netherite_scimitar, #b191d0
diamethyst_netherite_shovel, #9e87a7
diamethyst_netherite_sickle, #af8ed2
diamethyst_netherite_sword, #a189b9
diamethyst_prismarine_axe, #a49bc3
diamethyst_prismarine_battle_axe, #beafe6
diamethyst_prismarine_boots, #84c8b9
diamethyst_prismarine_bow, #826e75
diamethyst_prismarine_bow_lower_section, #867a6c
diamethyst_prismarine_bow_upper_section, #767066
diamethyst_prismarine_chestplate, #8ed2c9
diamethyst_prismarine_crossbow, #7c6c5a
diamethyst_prismarine_fishing_rod, #8a8d97
diamethyst_prismarine_helmet, #76bcae
diamethyst_prismarine_hilt, #73969b
diamethyst_prismarine_hoe, #9394ae
diamethyst_prismarine_horse_armor, #729b8d
diamethyst_prismarine_leggings, #7cc3b5
diamethyst_prismarine_pickaxe, #9691bc
diamethyst_prismarine_scales, #96d6c8
diamethyst_prismarine_scimitar, #b9aee7
diamethyst_prismarine_shovel, #a7a0bb
diamethyst_prismarine_sickle, #bba7e8
diamethyst_prismarine_sword, #b1b5dd
diamethyst_quartz_arrow, #d6c6d7
diamethyst_quartz_axe, #af93be
diamethyst_quartz_battle_axe, #c8a8e1
diamethyst_quartz_boots, #c8afac
diamethyst_quartz_bow, #90737a
diamethyst_quartz_bow_lower_section, #978073
diamethyst_quartz_bow_upper_section, #87766e
diamethyst_quartz_chestplate, #e4cfcf
diamethyst_quartz_crossbow, #836b58
diamethyst_quartz_fishing_rod, #948691
diamethyst_quartz_helmet, #c5aeab
diamethyst_quartz_hilt, #9a7c8c
diamethyst_quartz_hoe, #a48aa7
diamethyst_quartz_horse_armor, #c0a198
diamethyst_quartz_leggings, #cfb8b4
diamethyst_quartz_pickaxe, #a289b5
diamethyst_quartz_scales, #d4c0b6
diamethyst_quartz_scimitar, #c5a4e0
diamethyst_quartz_shovel, #b19ab5
diamethyst_quartz_sickle, #c3a0e3
diamethyst_quartz_sword, #c3a8d6
diamethyst_shard, #dcc8ff
gold_chain_links, #d9b94a
iron_chain_links, #a8a8a8
large_diamethyst_bud, #d3d2ff
leather_bound_stick, #a5522f
medium_diamethyst_bud, #decfff
shield_strap, #844b37
small_diamethyst_bud, #bba7ff
strung_diamond, #44a09b
strung_emerald, #257f36
strung_lapis, #3658a1
totem_of_clear_skies, #f4c6f1
totem_of_rejuvenation, #d9b6ff
totem_of_renew, #ffd3b9
totem_of_restoration, #ffe66b
totem_of_storm_master, #ffcdc0
totem_of_thunder, #eec5ed
twice_brewed_budding_brew, #c5bcff
