// Compost colors for electrodynamics. You may add your own colors, change existing ones, or remove colors that aren't needed.
battery, #82755f
wireceramicinsulatedtinblue, #ffffff
wireceramicinsulatedtinbrown, #ffffff
wireceramicinsulatedtingreen, #ffffff
wireceramicinsulatedtinred, #ffffff
wireceramicinsulatedtinwhite, #ffffff
wireceramicinsulatedtinyellow, #ffffff
wirecopper, #ff946b
wiregold, #ffff8c
wirehighlyinsulatedcopperblack, #ffb17a
wirehighlyinsulatedcopperblue, #ffb17a
wirehighlyinsulatedcopperbrown, #ffb17a
wirehighlyinsulatedcoppergreen, #ffb17a
wirehighlyinsulatedcopperred, #ffb17a
wirehighlyinsulatedcopperwhite, #ffb17a
wirehighlyinsulatedcopperyellow, #ffb17a
wirehighlyinsulatedgoldblack, #ffff87
wirehighlyinsulatedgoldblue, #ffff87
wirehighlyinsulatedgoldbrown, #ffff87
wirehighlyinsulatedgoldgreen, #ffff87
wirehighlyinsulatedgoldred, #ffff87
wirehighlyinsulatedgoldwhite, #ffff87
wirehighlyinsulatedgoldyellow, #ffff87
wirehighlyinsulatedironblack, #ffffff
wirehighlyinsulatedironblue, #ffffff
wirehighlyinsulatedironbrown, #ffffff
wirehighlyinsulatedirongreen, #ffffff
wirehighlyinsulatedironred, #ffffff
wirehighlyinsulatedironwhite, #ffffff
wirehighlyinsulatedironyellow, #ffffff
wirehighlyinsulatedsilverblack, #ffffff
wirehighlyinsulatedsilverblue, #ffffff
wirehighlyinsulatedsilverbrown, #ffffff
wirehighlyinsulatedsilvergreen, #ffffff
wirehighlyinsulatedsilverred, #ffffff
wirehighlyinsulatedsilverwhite, #ffffff
wirehighlyinsulatedsilveryellow, #ffffff
wirehighlyinsulatedsuperconductiveblack, #fffff4
wirehighlyinsulatedsuperconductiveblue, #fffff4
wirehighlyinsulatedsuperconductivebrown, #fffff4
wirehighlyinsulatedsuperconductivegreen, #fffff4
wirehighlyinsulatedsuperconductivered, #fffff4
wirehighlyinsulatedsuperconductivewhite, #fffff4
wirehighlyinsulatedsuperconductiveyellow, #fffff4
wirehighlyinsulatedtinblack, #fffffc
wirehighlyinsulatedtinblue, #fffffc
wirehighlyinsulatedtinbrown, #fffffc
wirehighlyinsulatedtingreen, #fffffc
wirehighlyinsulatedtinred, #fffffc
wirehighlyinsulatedtinwhite, #fffffc
wirehighlyinsulatedtinyellow, #fffffc
wireinsulatedcopperblack, #ff9864
wireinsulatedcopperblue, #ff9864
wireinsulatedcopperbrown, #ff9864
wireinsulatedcoppergreen, #ff9864
wireinsulatedcopperred, #ff9864
wireinsulatedcopperwhite, #ff9864
wireinsulatedcopperyellow, #ff9864
wireinsulatedgoldblack, #ffff78
wireinsulatedgoldblue, #ffff78
wireinsulatedgoldbrown, #ffff78
wireinsulatedgoldgreen, #ffff78
wireinsulatedgoldred, #ffff78
wireinsulatedgoldwhite, #ffff78
wireinsulatedgoldyellow, #ffff78
wireinsulatedironblack, #ffffff
wireinsulatedironblue, #ffffff
wireinsulatedironbrown, #ffffff
wireinsulatedirongreen, #ffffff
wireinsulatedironred, #ffffff
wireinsulatedironwhite, #ffffff
wireinsulatedironyellow, #ffffff
wireinsulatedsilverblack, #ffffff
wireinsulatedsilverblue, #ffffff
wireinsulatedsilverbrown, #ffffff
wireinsulatedsilvergreen, #ffffff
wireinsulatedsilverred, #ffffff
wireinsulatedsilverwhite, #ffffff
wireinsulatedsilveryellow, #ffffff
wireinsulatedsuperconductiveblack, #e7e7d2
wireinsulatedsuperconductiveblue, #e7e7d2
wireinsulatedsuperconductivebrown, #e7e7d2
wireinsulatedsuperconductivegreen, #e7e7d2
wireinsulatedsuperconductivered, #e7e7d2
wireinsulatedsuperconductivewhite, #e7e7d2
wireinsulatedsuperconductiveyellow, #e7e7d2
wireinsulatedtinblack, #ffffff
wireinsulatedtinblue, #ffffff
wireinsulatedtinbrown, #ffffff
wireinsulatedtingreen, #ffffff
wireinsulatedtinred, #ffffff
wireinsulatedtinwhite, #ffffff
wireinsulatedtinyellow, #ffffff
wireiron, #e8e8e8
wirelogisticscopperblack, #ff9864
wirelogisticscopperblue, #ff9864
wirelogisticscopperbrown, #ff9864
wirelogisticscoppergreen, #ff9864
wirelogisticscopperred, #ff9864
wirelogisticscopperwhite, #ff9864
wirelogisticscopperyellow, #ff9864
wirelogisticsgoldblack, #ffff78
wirelogisticsgoldblue, #ffff78
wirelogisticsgoldbrown, #ffff78
wirelogisticsgoldgreen, #ffff78
wirelogisticsgoldred, #ffff78
wirelogisticsgoldwhite, #ffff78
wirelogisticsgoldyellow, #ffff78
wirelogisticsironblack, #ffffff
wirelogisticsironblue, #ffffff
wirelogisticsironbrown, #ffffff
wirelogisticsirongreen, #ffffff
wirelogisticsironred, #ffffff
wirelogisticsironwhite, #ffffff
wirelogisticsironyellow, #ffffff
wirelogisticssilverblack, #ffffff
wirelogisticssilverblue, #ffffff
wirelogisticssilverbrown, #ffffff
wirelogisticssilvergreen, #ffffff
wirelogisticssilverred, #ffffff
wirelogisticssilverwhite, #ffffff
wirelogisticssilveryellow, #ffffff
wirelogisticssuperconductiveblack, #e7e7d2
wirelogisticssuperconductiveblue, #e7e7d2
wirelogisticssuperconductivebrown, #e7e7d2
wirelogisticssuperconductivegreen, #e7e7d2
wirelogisticssuperconductivered, #e7e7d2
wirelogisticssuperconductivewhite, #e7e7d2
wirelogisticssuperconductiveyellow, #e7e7d2
wirelogisticstinblack, #ffffff
wirelogisticstinblue, #ffffff
wirelogisticstinbrown, #ffffff
wirelogisticstingreen, #ffffff
wirelogisticstinred, #ffffff
wirelogisticstinwhite, #ffffff
wirelogisticstinyellow, #ffffff
wiresilver, #ffffff
wiresuperconductive, #bfbfaa
wiretin, #eae3dc
wrench, #181818
