// Compost colors for ms. You may add your own colors, change existing ones, or remove colors that aren't needed.
armor/amethyst_boots, #c897ff
food/light_blue_tulip_seeds, #838383
food/light_grey_tulip_seeds, #838383
food/lime_tulip_seeds, #838383
food/llama_sandwich, #be8332
food/lotune, #6b54a1
food/magenta_tulip_seeds, #838383
food/maple_pancake, #fa8d2c
food/maple_syrup_jar, #ffdcaf
food/mashed_potatos, #cdac66
food/murky_gourd_pie, #794730
food/murky_gourd_seeds, #665140
food/mutton_sandwich, #ffe7b8
food/nether_apple, #989898
food/nether_chicken_egg, #f0826c
food/nether_sugar, #9d8e98
food/onion, #ffe3bc
food/onion_seeds, #ffffff
food/orange_bell_pepper, #ffc923
food/orange_tulip_seeds, #838383
food/pancake, #ffe1a5
food/pancake_batter, #af9154
food/pink_tulip_seeds, #838383
food/pizza, #fffffc
food/polyp, #b65040
food/pork_sandwich, #fffac3
food/pork_stew, #a17d40
food/pufferfish_sushi, #79766f
food/purple_tulip_seeds, #838383
food/rabbit_sandwich, #ca8e32
food/raspberry, #ffb2b6
food/raw_bacon, #ff9696
food/raw_calamari, #ffcfcc
food/raw_chicken_nuggets, #ffe7e7
food/raw_llama, #fffffa
food/red_bell_pepper, #ff4123
food/red_tulip_seeds, #838383
food/rice, #fffff5
food/rice_bowl, #e1c69b
food/rice_bread, #ffaa33
food/rice_flour, #ffffff
food/rice_seeds, #ffffff
food/rice_stalks, #ffff50
food/rye, #9d7a50
food/rye_bread, #6b5137
food/rye_seeds, #835134
food/salmon_sandwich, #fff1c0
food/salmon_sushi, #7f6e64
food/salt, #e3f0ff
food/squid_sushi, #78726c
food/strawberry, #f1d6b2
food/strawberry_seeds, #ffffff
food/sugar_cube, #d7d6eb
food/toast, #97761e
food/tomato, #ed8d69
food/tomato_seeds, #ffffff
food/tropical_fish_sandwich, #dea041
food/tropical_fish_sushi, #7f736f
food/vanilla, #ffffff
food/vanilla_seeds, #7c785e
food/white_bell_pepper, #ffffed
food/white_tulip_seeds, #838383
food/withered_polyp, #e1cdca
food/yellow_bell_pepper, #ffff28
food/yellow_tulip_seeds, #838383
gem/amazonite, #acffff
gem/aquamarine, #34f2ff
gem/black_diamond, #c6673
gem/blaze_ingot, #ffc31e
gem/bronze_ingot, #d98d4d
gem/cast_iron_ingot, #5e5e5e
gem/chromite_ingot, #ff472a
gem/citrine, #dda10c
gem/cobalt_ingot, #3a89d7
gem/demonite_ingot, #6541ab
gem/foulite_dust, #3ea500
gem/hellfire_crystal, #cd3d1f
gem/hellfire_ingot, #c22315
gem/jade, #68cc6e
gem/linium_ingot, #ffffff
gem/mithril_ingot, #c9cde7
gem/neridium_ingot, #460e5a
gem/obsidian_ingot, #7a36d0
gem/olivine, #bef16e
gem/onyx, #363636
gem/opal, #ffffff
gem/platinum_ingot, #ffffff
gem/potassium_nitrate, #ffffff
gem/pyridium_ingot, #af5400
gem/raw_chromite, #ff5f3a
gem/raw_cobalt, #3684d6
gem/raw_demonite, #7258aa
gem/raw_linium, #f2f2f2
gem/raw_mithril, #b6bbd4
gem/raw_neridium, #3a0a4b
gem/raw_platinum, #ffffff
gem/raw_pyridium, #ae5e12
gem/raw_silver, #ffffff
gem/raw_tin, #ffffff
gem/raw_titanium, #a0a2b9
gem/raw_tungsten, #849482
gem/raw_turquoise, #3abb9d
gem/raw_uranium, #43e807
gem/redstone_ingot, #be0400
gem/refined_amethyst_ingot, #fecaff
gem/refined_quartz_ingot, #ffede1
gem/ruby, #c5293a
gem/sapphire, #365fd0
gem/scarlet_emerald, #af001b
gem/silver_ingot, #ffffff
gem/steel_ingot, #6c6c6c
gem/sulfur, #ffff8e
gem/tanzanite, #9376ff
gem/tin_ingot, #ffffff
gem/titanium_ingot, #9198af
gem/topaz, #eab446
gem/trio, #f4f2ff
gem/triterium_cluster, #303030
gem/triterium_dust, #2a70a2
gem/triterium_ingot, #151515
gem/tungsten_ingot, #a0b29d
gem/turquoise_ingot, #5ee0c0
gem/uranium_ingot, #4bc218
gem/violium_dust, #b25cff
gem/violium_ingot, #7c51bc
gem/white_opal, #ffffff
glass/soul_glass_pane, #5f3d2a
hats/top_hat, #1b1b1b
hopper/golden_hopper, #fffa54
horizontal/soul_glass_pane, #5f3d2a
lantern/black, #616983
lantern/blue, #616983
lantern/brown, #616983
lantern/cyan, #616983
lantern/green, #616983
lantern/grey, #616983
lantern/light_blue, #616983
lantern/light_grey, #616983
lantern/lime, #616983
lantern/magenta, #616983
lantern/orange, #616983
lantern/pink, #616983
lantern/purple, #616983
lantern/red, #616983
lantern/white, #616983
lantern/yellow, #616983
large_backpack, #613715
large_black_backpack, #626262
large_blue_backpack, #626262
large_brown_backpack, #626262
large_cyan_backpack, #626262
large_green_backpack, #626262
large_grey_backpack, #626262
large_light_blue_backpack, #626262
large_light_grey_backpack, #626262
large_lime_backpack, #626262
large_magenta_backpack, #626262
large_orange_backpack, #626262
large_pink_backpack, #626262
large_purple_backpack, #626262
large_red_backpack, #626262
large_white_backpack, #626262
large_yellow_backpack, #626262
materials/aquiris_ember_rod, #5c8e8c
materials/black_glowstone_dust, #333333
materials/blue_glowstone_dust, #616eff
materials/bound_leather, #c67a5e
materials/brown_bear_hide, #5a4d2f
materials/brown_glowstone_dust, #86503a
materials/chainmail, #939393
materials/charcoal_dust, #4e4636
materials/cyan_glowstone_dust, #61ffcc
materials/glowood_bowl, #b9b9b9
materials/glowood_stick, #787878
materials/green_glowstone_dust, #55cc4d
materials/grey_glowstone_dust, #757575
materials/ice_slime_ball, #82bfdd
materials/iron_rod, #ffffff
materials/light_blue_glowstone_dust, #61aeff
materials/light_grey_glowstone_dust, #aaaaaa
materials/lime_glowstone_dust, #aeff61
materials/magenta_glowstone_dust, #f161ff
materials/nether_charcoal, #6e6e6e
materials/nether_paper, #ab9d9b
materials/nether_spider_fang, #f5ffdc
materials/orange_glowstone_dust, #ff8758
materials/pink_glowstone_dust, #ff6193
materials/polar_bear_hide, #ffffff
materials/potassium_nitrate_dust, #ffffff
materials/purple_glowstone_dust, #bc61ff
materials/red_glowstone_dust, #ff5e5c
materials/redstone_rod, #ffabab
materials/refined_gunpowder, #5b5b5b
materials/rgb_dye, #825b64
materials/stone_plate, #bcbcbc
materials/sulfur_dust, #ffff7d
materials/tanned_leather, #8c3326
materials/white_glowstone_dust, #ededed
materials/wither_bone, #373a3a
materials/wither_bone_meal, #292929
materials/wither_rod, #d2f5d6
materials/yellow_glowstone_dust, #ffde61
medium_backpack, #7a5434
medium_black_backpack, #656565
medium_blue_backpack, #656565
medium_brown_backpack, #656565
medium_cyan_backpack, #656565
medium_green_backpack, #656565
medium_grey_backpack, #656565
medium_light_blue_backpack, #656565
medium_light_grey_backpack, #656565
medium_lime_backpack, #656565
medium_magenta_backpack, #656565
medium_orange_backpack, #656565
medium_pink_backpack, #656565
medium_purple_backpack, #656565
medium_red_backpack, #656565
medium_white_backpack, #656565
medium_yellow_backpack, #656565
misc/celestial_mirror, #ffff9b
misc/entity_wand, #936b6b
misc/glowood_ladder, #cccccc
misc/handheld_table, #6c378e
misc/kitchen_knife, #f1eeea
misc/mortar_pestle, #72684a
misc/test_item, #ffbb23
nature/apple_sapling, #915716
nature/glowood_sapling, #c8c9c6
nature/hellwood_sapling, #803964
nature/maple_sapling, #ffa534
nature/silverbell_sapling, #87fb79
nature/tigerwood_sapling, #735a20
nature/willow_sapling, #79a24e
nether/foulite_torch, #869d78
nugget/amazonite_fragment, #ffff
nugget/aquamarine_shard, #52ffff
nugget/black_diamond_shard, #e6572
nugget/bronze_nugget, #ffa41f
nugget/cast_iron_nugget, #585858
nugget/chromite_nugget, #ff3029
nugget/citrine_shard, #ffbf18
nugget/coal_fragment, #2c2a2f
nugget/cobalt_nugget, #306fc3
nugget/copper_nugget, #f5805b
nugget/demonite_nugget, #5a3ca2
nugget/diamond_shard, #5cc5b2
nugget/emerald_shard, #43d665
nugget/foulite_fragment, #3a9800
nugget/jade_shard, #70d076
nugget/lapis_shard, #ffffff
nugget/linium_nugget, #dcdcdc
nugget/mithril_nugget, #c2c5da
nugget/neridium_nugget, #360b3e
nugget/netherite_nugget, #584e50
nugget/olivine_fragment, #b4e36b
nugget/onyx_shard, #515151
nugget/opal_shard, #ffffff
nugget/platinum_nugget, #cfcfcf
nugget/pyridium_nugget, #b46925
nugget/quartz_shard, #ffffff
nugget/redstone_fragment, #d40800
nugget/ruby_shard, #b9182c
nugget/sapphire_shard, #4776da
nugget/scarlet_emerald_shard, #bb001b
nugget/silver_nugget, #f1ffff
nugget/steel_nugget, #5a523d
nugget/sulfur_fragment, #ffff55
nugget/tanzanite_shard, #a496ff
nugget/tin_nugget, #ffffff
nugget/titanium_nugget, #7a7a7a
nugget/topaz_shard, #e0b25a
nugget/triterium_fragment, #20628e
nugget/tungsten_nugget, #8c9b89
nugget/turquoise_nugget, #15cfae
nugget/uranium_fragment, #44f004
nugget/violium_nugget, #7d50be
nugget/white_opal_shard, #ffffff
plant/black_tulip, #5cd62f
plant/blue_tulip, #5cd62f
plant/brown_tulip, #5cd62f
plant/cyan_tulip, #5cd62f
plant/grass, #cfcfcf
plant/green_shroom, #d4ff51
plant/green_tulip, #5cd62f
plant/grey_tulip, #5cd62f
plant/light_blue_tulip, #5cd62f
plant/light_grey_tulip, #5cd62f
plant/lime_tulip, #5cd62f
plant/magenta_tulip, #5cd62f
plant/nether_reed, #a13333
plant/purple_shroom, #b64bff
plant/purple_tulip, #5cd62f
plant/soul_grass, #4a3739
plant/yellow_tulip, #5cd62f
record/any_key, #36629b
record/butterfly, #ffffff
record/ice, #514898
record/vitality, #515e86
sign/glowood_hanging_sign, #ededf4
sign/glowood_sign, #fffeff
sign/hellwood_hanging_sign, #4d2f3a
sign/hellwood_sign, #47232f
sign/maple_hanging_sign, #cc9350
sign/maple_sign, #da9747
sign/silverbell_hanging_sign, #d0d0a7
sign/silverbell_sign, #dedeaf
sign/tigerwood_hanging_sign, #d78d4e
sign/tigerwood_sign, #e89046
sign/willow_hanging_sign, #6b7d5b
sign/willow_sign, #697c54
small_backpack, #a5866b
small_black_backpack, #707070
small_blue_backpack, #707070
small_brown_backpack, #707070
small_cyan_backpack, #707070
small_green_backpack, #707070
small_grey_backpack, #707070
small_light_blue_backpack, #707070
small_light_grey_backpack, #707070
small_lime_backpack, #707070
small_magenta_backpack, #707070
small_orange_backpack, #707070
small_pink_backpack, #707070
small_purple_backpack, #707070
small_red_backpack, #707070
small_white_backpack, #707070
small_yellow_backpack, #707070
tool/amethyst_axe, #cd8eaa
tool/amethyst_excavator, #cf96c6
tool/amethyst_hammer, #e0abd9
tool/amethyst_hoe, #dc9a80
tool/amethyst_pickaxe, #d79a9e
tool/amethyst_shovel, #d294a1
tool/amethyst_sword, #bf8ef4
tool/aquamarine_axe, #68b4ae
tool/aquamarine_excavator, #66d9d7
tool/aquamarine_hammer, #64e0ee
tool/aquamarine_hoe, #5e8d7d
tool/aquamarine_pickaxe, #559b97
tool/aquamarine_shovel, #62aea5
tool/aquamarine_sword, #5fdefc
tool/black_diamond_axe, #365c55
tool/black_diamond_bow, #37646b
tool/black_diamond_excavator, #286866
tool/black_diamond_hammer, #255f61
tool/black_diamond_hoe, #44503e
tool/black_diamond_pickaxe, #374d43
tool/black_diamond_shears, #585250
tool/black_diamond_shovel, #375f55
tool/black_diamond_sword, #185761
tool/blaze_axe, #ffffff
tool/blaze_excavator, #ffda64
tool/blaze_hammer, #ffd244
tool/blaze_hoe, #edc380
tool/blaze_pickaxe, #ffffff
tool/blaze_shovel, #ffffff
tool/blaze_sword, #ffb951
tool/bone_axe, #d0c39e
tool/bone_excavator, #f4eac8
tool/bone_hammer, #fbf2d2
tool/bone_hoe, #b2a176
tool/bone_pickaxe, #c3b68e
tool/bone_shovel, #d0c29e
tool/bone_sword, #ffffe7
tool/bronze_axe, #9e6923
tool/bronze_excavator, #ac793a
tool/bronze_hammer, #a57339
tool/bronze_hoe, #8d6122
tool/bronze_pickaxe, #976522
tool/bronze_shovel, #a06b25
tool/bronze_sword, #ab6c22
tool/chromite_axe, #c53315
tool/chromite_excavator, #e03c2d
tool/chromite_hammer, #dd3322
tool/chromite_hoe, #a73e19
tool/chromite_pickaxe, #b12d11
tool/chromite_shovel, #fff7ed
tool/chromite_sword, #550c75
tool/citrine_axe, #b88d28
tool/citrine_excavator, #bb9126
tool/citrine_hammer, #c29a29
tool/citrine_hoe, #9b7623
tool/citrine_pickaxe, #aa8225
tool/citrine_shovel, #b18928
tool/citrine_sword, #d7a72c
tool/cobalt_axe, #416682
tool/cobalt_excavator, #4478a5
tool/cobalt_hammer, #3476b4
tool/cobalt_hoe, #4b5c62
tool/cobalt_pickaxe, #40617c
tool/cobalt_shovel, #486b82
tool/cobalt_sword, #206ebb
tool/copper_axe, #be7247
tool/copper_excavator, #c56e44
tool/copper_hammer, #d27247
tool/copper_hoe, #a05f34
tool/copper_pickaxe, #ae6236
tool/copper_shovel, #c07044
tool/copper_sword, #e3724a
tool/demonite_axe, #734379
tool/demonite_excavator, #804491
tool/demonite_hammer, #703c84
tool/demonite_hoe, #65404a
tool/demonite_pickaxe, #583354
tool/demonite_shovel, #754370
tool/demonite_sword, #5e258a
tool/diamond_bow, #5ebeb6
tool/diamond_excavator, #40aa86
tool/diamond_hammer, #3ca887
tool/diamond_shears, #bbd9c6
tool/emerald_axe, #438e34
tool/emerald_excavator, #3daa41
tool/emerald_hammer, #58bf61
tool/emerald_hoe, #487828
tool/emerald_pickaxe, #367d26
tool/emerald_shovel, #5f9d4d
tool/emerald_sword, #30a73e
tool/flint_and_blaze, #a76523
tool/flint_axe, #5a4e37
tool/flint_excavator, #72695a
tool/flint_hammer, #696154
tool/flint_hoe, #5c4b2d
tool/flint_pickaxe, #54462f
tool/flint_shears, #908e8e
tool/flint_shovel, #655740
tool/flint_sword, #4e4b47
tool/glowood_axe, #626262
tool/glowood_excavator, #666666
tool/glowood_hammer, #646464
tool/glowood_hoe, #5e5e5e
tool/glowood_pickaxe, #646464
tool/glowood_shears, #7c7c7c
tool/glowood_shovel, #646464
tool/glowood_sword, #464646
tool/golden_bow, #e19d47
tool/golden_excavator, #f2b11c
tool/golden_hammer, #f1b643
tool/golden_shears, #f8b94b
tool/hellfire_axe, #c3796f
tool/hellfire_excavator, #c05843
tool/hellfire_hammer, #b54e39
tool/hellfire_hoe, #bc837c
tool/hellfire_pickaxe, #b5645b
tool/hellfire_shovel, #c0756c
tool/hellfire_sword, #b42f23
tool/ice_axe, #caf0ff
tool/ice_excavator, #5fbeff
tool/ice_hammer, #48a4e7
tool/ice_hoe, #d0e7ee
tool/ice_pickaxe, #65abd2
tool/ice_shovel, #d3f2ff
tool/ice_sword, #69e7ff
tool/iron_bow, #a7a7a7
tool/iron_excavator, #bbb2a2
tool/iron_hammer, #b8afa2
tool/jade_axe, #6c964a
tool/jade_excavator, #75af5b
tool/jade_hammer, #6eae5a
tool/jade_hoe, #687d3a
tool/jade_pickaxe, #628944
tool/jade_shovel, #799d4e
tool/jade_sword, #5cb262
tool/linium_axe, #a2a1a0
tool/linium_excavator, #c0c0c0
tool/linium_hammer, #b9b9b9
tool/linium_hoe, #6f6f6f
tool/linium_pickaxe, #949493
tool/linium_shovel, #9e9e9e
tool/linium_sword, #ffe897
tool/mithril_axe, #ffffff
tool/mithril_bow, #418eda
tool/mithril_excavator, #cfd3e4
tool/mithril_hammer, #d3d7e7
tool/mithril_hoe, #b1b4c2
tool/mithril_pickaxe, #ffffff
tool/mithril_shovel, #ffffff
tool/mithril_sword, #ffffff
tool/neridium_axe, #5a3773
tool/neridium_excavator, #55227c
tool/neridium_hammer, #511f79
tool/neridium_hoe, #50415a
tool/neridium_pickaxe, #523a68
