// Compost colors for not_lazy_chainmail. You may add your own colors, change existing ones, or remove colors that aren't needed.
acceleration_rune, #837669
rose_gold_chainmail_bracelet, #ffe3e3
rose_gold_chainmail_chestplate, #ffd4d4
rose_gold_chainmail_gloves, #fffcfc
rose_gold_chainmail_helmet, #dea7a7
rose_gold_chainmail_industrial_belt, #e0a5a5
rose_gold_chainmail_leggings, #f5b6b6
rose_gold_chainmail_necklace, #ffe3e3
rose_gold_coil, #ffffff
rose_gold_flail, #d69b7a
rose_gold_ingot, #ffc2c2
rose_gold_lasso, #f0b5b5
rose_gold_music_disc, #edb2b2
rose_gold_nugget, #d9a1a1
rose_gold_nunchucks, #ebaf8e
rose_gold_ornate_glass_pane, #ffc5c5
rose_gold_pliers, #fec2a1
rose_gold_rope, #e6b4b4
rose_gold_rope_side, #e6b4b4
rose_gold_rope_up, #e6b4b4
rose_gold_sieve_mesh, #ffc2a4
rose_gold_spool, #d6ab97
rose_gold_whip, #eeae93
rose_gold_whip_chain, #e0a4a4
rose_gold_wire, #ffffff
separation_rune, #70767c
shatter_rune, #c9d4cf
shuffle_rune, #7f7a7f
sieve_mesh, #b99b7d
smeltifier, #82796e
smeltnsmeltifier, #bfaf97
strengthened_leather_padding, #dcffff
sugar_water, #b1cdff
sweet_bread, #ffdd7c
temporal_glass_pane, #fffff8
temporal_magnet, #7c8e94
toughened_leather_padding, #90ffff
tracking_rune, #d7d7ca
tuffifier, #9e9d9b
unfinished_copper_project, #ffac6c
unfinished_gold_project, #ffffa0
unfinished_iron_composite_project, #eaffff
unfinished_iron_project, #a7a7a7
unfinished_netherite_project, #575757
unfinished_rose_gold_project, #fff4f4
veggie_salad, #ab6f32
vinegar, #eaf5ff
waxed_copper_chain, #ff9b57
waxed_copper_chain_link_fence, #ff8440
waxed_copper_copper_ornate_glass_pane, #fe8a4a
waxed_exposed_copper_chain, #f0b597
waxed_exposed_copper_chain_link_fence, #fabea1
waxed_exposed_copper_ornate_glass_pane, #edb89a
waxed_oxidized_copper_chain, #76f0c2
waxed_oxidized_copper_chain_link_fence, #7df8c8
waxed_oxidized_copper_ornate_glass_pane, #75eabf
waxed_weathered_copper_chain, #a0dea4
waxed_weathered_copper_chain_link_fence, #aad9a5
waxed_weathered_copper_ornate_glass_pane, #afcfa4
weathered_copper_chain, #a0dea4
weathered_copper_chain_link_fence, #aad9a5
weathered_copper_ornate_glass_pane, #afcfa4
wetifier, #eaffff
wetncrushnsmeltifier, #d9ac9b
wetnsmeltifier, #c28964
