// Compost colors for malum. You may add your own colors, change existing ones, or remove colors that aren't needed.
accelerating_inlay, #c6bea2
necklace_of_the_hidden_blade, #ab2ac0
necklace_of_the_mystic_mirror, #9e93a0
necklace_of_the_narrow_edge, #aca7ac
necklace_of_the_watcher, #a525c6
necklace_of_tidal_affinity, #abaea8
nickel_impetus, #b1b59e
nickel_node, #aeb49b
null_slate, #8a28a8
ornate_necklace, #c0bce1
ornate_ring, #82576c
osmium_impetus, #9baccc
osmium_node, #98accc
pan_prideweave, #6c5f54
plural_prideweave, #4a5762
poly_prideweave, #585e5a
poppet, #a08258
pride_prideweave, #5b5754
prismatic_focus_lens, #b8a8a2
processed_soulstone, #91509a
raw_soulstone, #7d5486
ring_of_alchemical_mastery, #8a8280
ring_of_arcane_prowess, #978d70
ring_of_curative_talent, #aa5b54
ring_of_desperate_voracity, #8d7558
ring_of_echoing_arcana, #b93ee7
ring_of_esoteric_spoils, #70485e
ring_of_growing_flesh, #782d8a
ring_of_gruesome_concentration, #72238c
ring_of_manaweaving, #bf7697
ring_of_the_demolitionist, #a07d7c
ring_of_the_endless_well, #af44c8
ring_of_the_hoarder, #8c7d7f
ritual_shard, #ddccea
rotting_essence, #474844
rune_of_aliment_cleansing, #8d8aa1
rune_of_bolstering, #94399d
rune_of_culling, #9778a2
rune_of_dexterity, #9191a4
rune_of_fervor, #9e8c93
rune_of_haste, #755143
rune_of_idle_restoration, #9d7a98
rune_of_igneous_solace, #93439d
rune_of_loyalty, #5e5157
rune_of_motion, #645257
rune_of_reactive_shielding, #948c97
rune_of_reinforcement, #9b80a2
rune_of_sacrificial_empowerment, #8c36a5
rune_of_spell_mastery, #933ea8
rune_of_the_aether, #625473
rune_of_the_arena, #685562
rune_of_the_hells, #73525e
rune_of_the_heretic, #9639a5
rune_of_the_seas, #5c5272
rune_of_toughness, #8a479e
rune_of_twinned_duration, #8448a7
rune_of_unnatural_stamina, #8a47a8
rune_of_volatile_distortion, #97759e
rune_of_warding, #695447
runewood_boat, #513437
runewood_door, #694343
runewood_sapling, #e4ae72
runewood_sign, #623c3c
runewood_tablet, #583a3c
runic_brooch, #d09357
runic_sap, #fee4d6
runic_sapball, #ffbe82
sacred_spirit, #dccde8
shielding_apparatus, #dea5ae
silver_impetus, #9ac0da
silver_node, #98bcda
soul_hunter_boots, #4a3451
soul_hunter_cloak, #55365e
soul_hunter_leggings, #61376b
soul_hunter_robe, #51365a
soul_stained_steel_axe, #a068a4
soul_stained_steel_boots, #ab76cd
soul_stained_steel_chestplate, #b87ddc
soul_stained_steel_helmet, #9e6bc3
soul_stained_steel_hoe, #80547c
soul_stained_steel_ingot, #c27fe8
soul_stained_steel_knife, #a06bb1
soul_stained_steel_leggings, #a872cd
soul_stained_steel_nugget, #be7de6
soul_stained_steel_pickaxe, #915f9a
soul_stained_steel_plating, #d68df8
soul_stained_steel_shovel, #8e5e90
soul_stained_steel_sword, #b879d0
soulwood_boat, #583750
soulwood_door, #6c4b6c
soulwood_growth, #8d2c7a
soulwood_sign, #6f4e6e
soulwood_tablet, #573c5b
spectral_lens, #9183bf
spectral_optic, #b68772
spirit_fabric, #48364e
spirit_pouch, #413248
splash_of_gluttony, #557c7f
staff_of_the_auric_flame, #b2788c
stellar_mechanism, #d7bf98
tainted_ether_brazier, #9a8da5
tainted_iridescent_ether_brazier, #9a8da5
tainted_rock_tablet, #90849a
tin_impetus, #b8c5d7
tin_node, #b5c3d6
token_of_gratitude, #f49d68
tophat, #393939
totemic_staff, #684343
trans_prideweave, #706b78
tuning_fork, #8e8786
twisted_ether_brazier, #3d3c5a
twisted_iridescent_ether_brazier, #3d3c5a
tyrving, #57336f
umbral_spirit, #dccde8
uranium_impetus, #66755a
uranium_node, #647258
void_salts, #2c1423
void_tablet, #8733a7
warp_flux, #d479ea
warping_engine, #d7a8af
wicked_spirit, #dccde8
zinc_impetus, #afd4be
zinc_node, #acd2bc
