// Compost colors for landsoficaria. You may add your own colors, change existing ones, or remove colors that aren't needed.
aeternae_hide, #bf9d70
vanadium_gear, #e0d798
vanadium_ingot, #ffffd6
vanadium_nugget, #c0b290
vanadiumsteel_axe, #cfc59e
vanadiumsteel_bident, #aea28a
vanadiumsteel_boots, #82784b
vanadiumsteel_chain, #ffffff
vanadiumsteel_chestplate, #8c8351
vanadiumsteel_dagger, #aaa089
vanadiumsteel_helmet, #d9d4cf
vanadiumsteel_ingot, #e8e8cf
vanadiumsteel_leggings, #847c4e
vanadiumsteel_nugget, #bcac91
vanadiumsteel_pickaxe, #d6c091
vanadiumsteel_scythe, #c0b69b
vanadiumsteel_shovel, #c8b68e
vanadiumsteel_sword, #b2a886
vine_berry_cake, #e0aeda
vine_reed, #af9850
vine_sprout, #b8918a
vine_sprout_cake, #57c3d3
vineberries, #e68e76
vinegar, #dad9b4
void_jellyfish_jelly, #af87c2
voidlily, #ffffff
voidshale_gear, #aba5a0
water_jellyfish_jelly, #65bbc8
white_unfired_storage_vase, #ffffff
wilted_elm, #eef4dc
yellow_gearfragment, #d4ccac
yellow_staghorn, #ffffff
yellow_unfired_storage_vase, #ffff82
yellowstone_gear, #ffe4b4
zircon_shard, #ffffff
