// Compost colors for vintageimprovements. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_rod, #ffffff
small_nickel_spring, #aeab84
small_osmium_spring, #b2c6d9
small_ostrum_spring, #b57d8c
small_palladium_spring, #b4a4a0
small_pig_iron_spring, #ed9da1
small_platinum_spring, #9ab8c2
small_pure_gold_spring, #f87926
small_queens_slime_spring, #7f5e16
small_refined_glowstone_spring, #ffea79
small_refined_obsidian_spring, #79619a
small_refined_radiance_spring, #ffffff
small_rhodium_spring, #b4aebe
small_rose_gold_spring, #ffe1cc
small_shadow_steel_spring, #51486b
small_signalum_spring, #ff4b20
small_silver_spring, #90a1b4
small_slimesteel_spring, #7cffff
small_steel_spring, #68626b
small_tin_spring, #ffffff
small_uranium_spring, #abeaac
small_vanadium_spring, #c3cfde
small_zinc_spring, #94bba7
spring_coiling_machine_wheel, #ffffff
steel_rod, #ffffff
steel_spring, #5a545c
steel_wire, #6f6970
sulfur, #cab446
sulfur_chunk, #d0b94e
sulfuric_acid_bucket, #c0c0c0
tin_rod, #ffffff
tin_sheet, #ffffff
tin_spring, #ffffff
tin_wire, #ffffff
uranium_rod, #ffffff
uranium_sheet, #c9ffc6
uranium_spring, #a0d4a2
uranium_wire, #aae8aa
vanadium_ingot, #e6f2f7
vanadium_nugget, #c6d0d7
vanadium_rod, #ffffff
vanadium_sheet, #f5feff
vanadium_spring, #aab4c2
vanadium_wire, #a2aeb6
zinc_rod, #ffffff
zinc_sheet, #cdf8da
zinc_spring, #97beab
zinc_wire, #96b5a0
