// Compost colors for eternal_tales. You may add your own colors, change existing ones, or remove colors that aren't needed.
absolute_zero, #ffffff
ambrea_berries, #fcb944
ambrea_berries_bottom, #ffc93e
ambrea_berries_iten, #e3f4e1
ambrea_bottom, #ffc522
amethyst_garland, #ffffff
amethyst_spear, #ffffff
ammit_staff, #ffffff
ammit_staff_blueprint, #ddcab8
anchor, #ffffff
ancient_armor_boots, #726f5b
ancient_armor_chestplate, #898369
ancient_armor_helmet, #686555
ancient_armor_leggings, #807a62
ancient_artefact, #ffebcd
ancient_chorus_fruit, #eaf2e7
ancient_coin, #fffbed
ancient_door, #f0f8f4
ancient_flask, #ffffff
ancient_gold_door, #bcaa64
ancient_gold_gear, #b9a75b
ancient_gold_scrap, #ffffff
ancient_mossteel_armor_boots, #f4f1e7
ancient_mossteel_armor_chestplate, #f5f0da
ancient_mossteel_armor_helmet, #f7f4e3
ancient_mossteel_armor_leggings, #ffffff
ancient_smithing_template, #c89855
ancienzyte_armor_boots, #967973
ancienzyte_armor_chestplate, #c3aca8
ancienzyte_armor_helmet, #e3d0cc
ancienzyte_armor_leggings, #9a7a75
ancienzyte_arrow, #9d6e6b
ancienzyte_axe, #d0c9c9
ancienzyte_bolt, #ffffff
ancienzyte_hoe, #a79090
ancienzyte_ingot, #b8b1ae
ancienzyte_nugget, #ffffff
ancienzyte_pickaxe, #c9c2c2
ancienzyte_shovel, #dad4d4
ancienzyte_sword, #bfb6b6
ankh_staff, #fffff4
anniversary_cake, #ffb211
anniversary_cake_1, #ffb211
anniversary_cake_2, #ffb211
anniversary_cake_3, #ffb211
anthurium, #ffffff
apatite, #ffffff
apothecarys_satchel, #a49791
aquaman_emblem, #f4fcfa
aquatic_bow, #2573bc
aquatura_flower, #6cffa7
aquatura_flower_item, #ffffff
aquatura_seeds, #ffffff
aragotium_chunk, #ffffff
aragotium_ingot, #50224e
aragotium_nugget, #ffffff
arahulum_mask_helmet, #ffffff
aralium_bulb, #ffffff
arbilbe, #ffcca2
archaeologists_flask, #ffffff
archaeology_potion, #ffffff
archaeology_skill_box, #fff1e1
archaeology_skill_down, #fbb8a7
archaeology_skill_up, #f8b6a7
archaeology_textbook, #f8cd8a
archangels_wings, #ffffff
archangels_wings_blueprint, #fce8d2
archery_elixir, #ffffff
archery_skill_down, #ffa891
archery_skill_up, #ffac96
archery_textbook, #ff825c
arches_uranium_shard, #ffffff
archisword, #7d5754
arctic_fox_cap_helmet, #ffffff
arei_arrow, #ff9dda
arei_bloody_gem, #ffffff
arei_finger, #ffffff
arei_hammer, #ffffff
arei_hammer_blueprint, #e6d4c2
arei_prism, #ffffe1
arei_ritual_activator, #ffffff
arei_wings, #ffd7ff
arei_wings_blueprint, #e4dcd3
ark_hoe, #fb9d29
arkemer_air, #ffffff
arkemeris, #fffffb
arky_tail, #ffffff
arkyskin_cap_helmet, #a27f70
arla_power, #ccf4ff
arla_suit_boots, #ffffff
arla_suit_chestplate, #ffffff
arla_suit_helmet, #ffffff
arla_suit_leggings, #ffffff
armadillo_armor_boots, #c8d6e3
armadillo_armor_chestplate, #b1c8c3
armadillo_armor_helmet, #ffffff
armadillo_armor_leggings, #bccdcd
armadillo_totem, #d3e4e4
armeria_amberosa, #fffffb
armodillo_of_the_karvat_scute, #2f5458
armored_beetle_chitin, #447970
armored_chitin_armor_boots, #3e6f6e
armored_chitin_armor_chestplate, #477d70
armored_chitin_armor_helmet, #3a6968
armored_chitin_armor_leggings, #41756e
artemisia_ludoviciana, #ffffff
ashy_scarab, #faf5ff
astral_sphere, #ffffff
astrantia, #ffffff
atimites_crossbow, #fffbf2
avengers_emblem, #ffffff
awakened_drop, #ffffff
awakened_drop_activated, #ffffff
awakened_ekatebrinas_core, #ffffff
axe_of_eternity, #514d3c
axe_of_evil, #3c4a3e
ayeris_bloody_gem, #ffffff
ayeris_bottle, #cfd3ca
ayeris_gem, #ffffff
azure_glowsaber, #ffffff
bacon_et, #ffffff
ball_and_chain, #e6e6f1
bamboo_door, #475411
bamboo_spear, #ffffff
bandage, #ffffff
bankeer_shirt_chestplate, #fffffc
banshee_skull, #ffffff
basalt_bee, #aa8330
basalt_cup, #ffffff
basalt_fiber, #fafafa
basalt_ingot, #e6e6e6
basalt_nugget, #ffffff
basalt_palm_door, #ffffff
basalt_palm_sapling, #ffffff
basaltite, #ffffff
batman_emblem, #fbf8f7
battle_magnifier, #ffffff
battle_stick, #ffffff
battle_stick_with_mushroom, #552832
battle_torch, #ffffff
battle_torch_of_death, #ffffff
battle_torch_of_death_blueprint, #abd9ff
bear_helmet_helmet, #766251
bear_skin, #5b3c23
beast_leather, #514e4e
bedrock_blossom, #232323
bee_item, #f5d4a2
behold_gun, #ffffff
beholder_slime, #ffffff
belladonna, #7aab00
berry_fight, #ffffff
biome_sword, #574a3a
black_book, #434036
black_book_astral_tentacles, #434036
black_book_eternal_knowledge, #434036
black_book_otherworldly_eyes, #434036
black_book_phantom_fangs, #434036
black_book_smoldering_flames, #434036
black_catalyst, #ffffff
black_caviar, #221b2f
black_caviar_sandwich, #ffffff
black_lightning_emblem, #c3c3be
black_tulip, #7cb661
black_widow_emblem, #e6e3e3
blades_of_the_sun, #ffffff
blaze_garland, #ffffde
blazing_roots, #ffffe8
bleed_sprouts, #af9e8a
bleeding_sprouts, #fffbfa
bleedwood_armor_boots, #735f5f
bleedwood_armor_chestplate, #755c5c
bleedwood_armor_helmet, #756464
bleedwood_armor_leggings, #705a5a
bleedwood_axe, #ffffff
bleedwood_door, #90726c
bleedwood_hoe, #ffffff
bleedwood_pickaxe, #ffffff
bleedwood_sapling, #ffdeda
bleedwood_shovel, #ffffff
bleedwood_sword, #ffffff
blood_charge, #ffc3d2
blood_drop, #ffffff
blood_dropper, #ffffff
blood_spear, #ffffff
blood_stone, #ffffff
bloodskull_flask, #ffebf4
bloodstone_arrow, #b25151
bloodsucker, #462926
bloody_anchor, #d2cdcd
bloody_anchor_blueprint, #f8b4a7
bloody_armor_boots, #9b0016
bloody_armor_chestplate, #c30018
bloody_armor_helmet, #8c0014
bloody_armor_leggings, #a50018
bloody_eye, #dec2b2
bloody_rapier, #ffffff
bloody_talwar, #ffebee
bloody_thorns, #ffffff
blue_annihilator, #ffffff
blue_apple, #1c97ff
blue_cliffsblossom, #ffffff
blue_comet_tree_sapling, #feffff
blue_cometc_record, #7a58c5
blue_comets_moss, #f4ffff
blue_comets_tallgrass, #ebfaff
blue_cookie, #5a7ff
blue_frisbee, #73d3ff
blue_frisbee_blueprint, #fae6d0
blue_jannat_blossom, #e6f59b
blue_outlands_flower, #ccff40
blue_potion, #bed7ff
blue_ranger_armor_boots, #ffffff
blue_ranger_armor_chestplate, #f7e7f2
blue_ranger_armor_helmet, #fbf7ff
blue_ranger_armor_leggings, #fff5ff
blue_rose, #41c3af
blueberry, #98b29b
blueberry_pie, #838d6e
blueprint, #a1d4ff
blueprints_advancement, #ead9ca
bolt, #ffffff
bone_fertilizer, #e1e0ff
bone_shard, #ffffff
bone_spear, #ffffff
bone_spikes, #ffffff
bonespur, #ffffff
boots_of_courage, #8e8a8c
bottle_of_blood, #ffffff
bottle_of_divine_essences, #ffffff
bottle_of_enderman_blood, #ffffff
bounty_hunters_flask, #ffffff
bouquet, #ffffff
bouquet_shoot, #ffffff
bouquetia, #ffffff
bow_of_justice, #ffffff
bow_of_vision, #ddc05f
bow_with_arterial_string, #a82322
bricks_plate, #fee1d6
brilliant_neodymium_pottery_sherd, #bc82ff
brimstone_agaric_mask_helmet, #ffffdc
brimstone_cave_air, #7f7062
brimstone_door, #ffffff
brimstone_fungi, #ffffff
brimstone_ladder, #ffffff
brimstone_roots, #ffffff
brimstone_sprouts, #ffffff
broken_artefact_atimites_crossbow, #ffffff
broken_artefact_mixcohuatls_weapon, #ffffff
broken_artefact_totem_base, #ffffff
broken_cutlass, #ffffff
broken_giant_dragonfly_wing, #ffffff
broken_totem_of_rash_decisions, #ffffff
bronze_coin, #ffbe97
brown_clay_ball, #b14d2f
brown_leather_material, #aa7d55
brown_rose, #faf8c3
bubblefish, #ffffff
bug_net, #d9d2be
bunch_of_garlic, #ffffff
burncups, #ffffff
burning_everflake, #ffffff
burning_star, #ffffff
burrito, #ffffff
bush_sword, #e4fff2
cactus_worm_item, #ffffff
calamity_ring, #fce3d9
calamity_ring_blueprint, #d4c2af
camma, #ffffff
camma_blue, #ffffff
candy_cane, #ffffff
captain_marvel_emblem, #eac6bb
caramel_axe, #fbd9f7
caramel_hoe, #e6d3fb
caramel_pickaxe, #f4d9fa
caramel_shovel, #f4d9fc
caramel_spear, #ffffff
caramel_sword, #ffd4e4
cash_box, #ffe8d3
catching_skill_down, #b2947d
catching_skill_up, #b1937d
catching_textbook, #daeef8
catfish, #fff1d2
cave_grass, #f5ffe4
cave_vine, #cafbb4
caviar, #fb831c
caviar_sandwich, #ffffff
celestial_sphere, #ffe8c9
cephalopods_slayer, #4e529d
cephalopods_slayer_blueprint, #bbbfcd
ceramic_totem, #e6b8ac
chadwick_boseman_emblem, #c8b9cd
chainsaw, #fffff1
charged_copper_sword, #ffffff
charged_fotium_ingot, #d7f0f8
charged_fotium_nugget, #ffffff
cheater_emblem, #ffffff
checkered_uranium_chard, #ffffff
cheesecake_of_the_nether, #ffffff
childish_flask, #ffffff
chili_pepper, #faae9d
chili_pepper_seeds, #ffffff
chlorine, #ffffff
chlorine_dust, #ffffff
christmas_sapling, #ffffff
christmas_tree_item, #976487
christmas_tree_toy, #ffffff
chthonic_armor_boots, #37462f
chthonic_armor_chestplate, #768976
chthonic_armor_helmet, #3c5234
chthonic_armor_leggings, #374832
cleansing_powder, #789eb4
cleric_pills_vampirism, #ffffff
clockmasters_cog, #bfd2ee
cloud_cement, #c0be9a
cloud_coral, #fffada
cloud_coral_fan, #ffffe8
cloud_coral_fan_wall, #ffffe8
cloud_in_a_bucket, #d3d3d3
cobalt_bullet, #ffffff
cobalt_glass_pane, #414dcd
cobalt_hoe, #9b9797
cobalt_nugget, #879bd2
cobalt_spear, #ffffff
cobaltarmor_boots, #6b5c4d
cobaltarmor_chestplate, #838998
cobaltarmor_helmet, #393a3d
cobaltarmor_leggings, #505051
cobaltaxe, #686970
cobaltingot, #a1b6f0
cobaltpickaxe, #4b4d54
cobaltshovel, #5e5f66
cobaltsword, #505564
cold_crystal, #fbfbfb
cold_shard, #ffffff
cold_touch, #ffffff
coldball, #3a7882
colorful_apple, #ffa86e
comet_cabbage_seeds, #ffffff
comet_crystal, #ffffff
comet_fertilizer, #edc8ee
comet_flea_egg, #c6e1ff
comet_monocle_helmet, #ffffff
comet_runners_boots, #d7d3f5
comet_shard, #ffffff
comet_sword, #7c4e5b
comet_tree_sapling, #ffffff
comets, #ffffff
comets_brick, #662966
comets_cabbage, #ffffff
comets_cabbage_item, #ffffff
comets_celestial_sphere, #fff0e1
comets_door, #c3b582
comets_glass_pane, #ffeeff
comets_glowlichen_item, #e4ffff
comets_heather, #ffe7ff
comets_icelands_music_disc_light_in_space, #8d62cf
comets_juice, #ffffff
comets_moss, #ffe1ff
comets_record, #8957c2
comets_tallgrass, #ffe4ff
comets_tincture, #ffffff
comma_test, #ffffff
confectio_alkermes, #b5b5cf
conqueror, #8d755b
cooked_catfish, #fffcf4
cooked_crab_meat, #f8b6a4
cooked_devil_heart, #640400
cooked_elephant_meat, #fbe7e1
cooked_endacea_meat, #c8afb4
cooked_infected_meat, #e7ede8
cooked_latimeria, #b89d84
cooked_venison, #cc876b
coonskin_cap_helmet, #786657
copper_sword, #ffffff
coral_bulb, #ffffff
corosionstaff, #ffffff
corrosion_staff_blueprint, #fff4de
corundum, #ffffff
corundum_armor_armor_boots, #ffffff
corundum_armor_armor_chestplate, #fff1f7
corundum_armor_armor_helmet, #ffffff
corundum_armor_armor_leggings, #ffffff
corundum_smithing_template, #c2b293
corundum_tools_axe, #fe7d7d
corundum_tools_hoe, #fb8c78
corundum_tools_pickaxe, #eb6c68
corundum_tools_shovel, #fc8279
corundum_tools_sword, #ffffff
cosmic_totem, #ffffff
cosmos_cotton, #ffffff
cosmos_cotton_blue, #ffffff
counterpoisoning_pills_poison, #ffffff
crabsburger, #dabf89
creeper_fish, #34bf3e
crimson_eel, #be2d1c
crooked_sword, #ffffff
cross_bow, #ffffdd
crown_of_the_amber_helmet, #ffffff
cryo_glass, #fcffff
cryothermic_ice, #f8fbff
cryothermic_ice_armor_boots, #ffffff
cryothermic_ice_armor_chestplate, #e7e0e1
cryothermic_ice_armor_helmet, #fef8fb
cryothermic_ice_armor_leggings, #ffffff
cryothermic_ice_crystal, #ffffff
crypt_guardian, #7a6465
crystal_crown_helmet, #ffffff
crystal_of_eternity, #f5fff1
crystal_of_eternity_glass_pane, #e1d6d9
crystal_of_greatness, #ffffff
crystal_spark, #ffffff
crystalized_glowstone, #fff8d0
crystalized_glowstone_generated, #fff8d0
crystalized_glowstone_shard, #ffffff
crystalized_glowstone_sword, #ffffff
crystallized_cheesecake, #fffffa
crystbow, #8ccac6
cup, #ffffff
cup_of_acid, #ffffff
cup_of_cocoa, #ffffff
cup_of_coffee, #ffffff
cup_of_lava, #ffffff
cup_of_milk, #ffffff
cup_of_milk_with_honney, #ffffff
cup_of_water, #ffffff
curse_that_contained_in_amber, #ffffe7
curse_watching_at_you, #511944
cursed_page, #ffffd6
cursed_totem, #bfccbe
curved_claw, #e4ffe0
cutlass_blue, #eae3eb
cutting_abstact_projectile, #fefefe
cutting_exeventyre, #fffffc
cyan_tarko_armor_boots, #6f8e9a
cyan_tarko_armor_chestplate, #587c87
cyan_tarko_armor_helmet, #5a7983
cyan_tarko_armor_leggings, #618691
cyan_tarko_leather, #f8ffff
damaged_astral, #ffe4bc
damaged_infected_crystal, #f7ffff
dancing_mist, #685f8a
danger, #ffffe8
daredian_metal_nugget, #751c1c
daredian_moon, #7c2323
dark_bloody_gem, #ffffff
dark_ichor, #ffffff
dark_mage_armor_boots, #5c4384
dark_mage_armor_chestplate, #8062a5
dark_mage_armor_helmet, #513c6f
dark_mage_armor_leggings, #755a96
dark_totem, #ddcfcf
darkest_rune, #ffffff
darkham, #c68c87
darkplasm, #fffbe0
dash_test_item, #ffff3c
dead_cloud_coral, #909090
dead_cloud_coral_fan, #919191
dead_cloud_coral_fan_wall, #919191
dead_drop, #ffffff
dead_drop_activated, #ffffff
dead_old_plague_rat, #fcfffe
dead_plant, #ffffff
deadpool_emblem, #f2f4dd
death_campfire, #d78d79
death_lantern, #d69ab4
death_lantern_top, #d69ab4
death_scuthe, #ffffff
death_torch, #bb8c69
death_torch_side, #bb8c69
decorative_web, #ffffff
deep_into_the_nether_record, #893a33
deer_helmet_helmet, #f2dac8
deer_horn, #ffffff
deer_skin, #b57f58
dengart, #ffffff
dense_cloud_in_a_bucket, #e4edf4
desert_flask, #ffffff
destorey_diamond_armor_boots, #58a787
destorey_diamond_armor_chestplate, #5fc5a7
destorey_diamond_armor_helmet, #8caa6c
destorey_diamond_armor_leggings, #6eb68c
destroyer_eye, #ff7600
destroyer_smithing_template, #fe7208
destroyers_herbal_tea, #ffffff
devil_heart, #e78eae
dex_starr_emblem, #8e7878
diamond_plate, #f4ffff
dice_sword, #edc393
dice_test, #ffffff
digging_chest, #bbc2af
digging_skill_down, #be937d
digging_skill_up, #b88e7c
digging_textbook, #d9dcbc
dirtus_boots_boots, #181814
divine_edge, #ffebe7
divine_pickaxe, #ffaa4b
djinn_lamp, #ffffff
dolphins_grace, #b2ccda
doping_pills_weakness, #ffffff
double_chain, #ffffff
double_gold_chain, #ffffff
double_unahzaal_chain, #ffffff
dragon_armor_boots, #b96b58
dragon_armor_chestplate, #e89a41
dragon_armor_helmet, #c26f52
dragon_armor_leggings, #a14747
dragon_fighter_smithing_template, #656973
drained_bottle_of_divine_essences, #ffffff
drax_emblem, #ffffff
dreadful_pea, #ffffff
dreadful_seeds, #ffffff
dreadwood_door, #392f46
dreadwood_planks_door, #b5aaea
dreamers_flask, #ffffff
dredert_bottom, #ddb9dc
dredert_door, #edd2ed
dredert_top, #ffe4ff
dreria, #ffffff
dreria_shoot, #ffffff
dried_geobstractsite_kelp, #7ca5ab
drink_of_the_sun, #dab4a0
drink_sweetrool, #ffffff
dune_martyr_suit_chestplate, #e6bfac
dune_martyr_suit_helmet, #ffddcc
dune_martyr_suit_leggings, #d4c2cf
dungeon_spirit, #ffffff
dwemer_gauntlet, #fffce4
dynasty_sword, #deb83d
ebnder_hammer_handle, #ffffff
echo_anchor, #e3f5f8
echo_anchor_blueprint, #a5aaa2
echo_garland, #d9feff
echo_neodymium_pottery_sherd, #cd93ff
ectoplasm, #ffffff
eden_blossom, #fef878
eden_fertilizer, #ffedbc
eden_flower_1, #ffffff
eden_flower_2, #ffffff
eden_flower_3, #ffffff
eden_glass_panel, #d4e76e
eden_grass, #ffffee
edenuda, #ffffea
edenzyte_knife, #ffffff
ego_glyph, #ffed8a
egyptian_ritual_knife, #ffffff
eibells_tincture, #ffffff
eien_no_boots, #6b3030
eien_no_chestplate, #985751
eien_no_helmet, #833e19
eien_no_leggings, #664343
ekatebrina_core, #ffffff
ekatebrina_suit_chestplate, #c6ffff
ekatebrina_suit_helmet, #ffffff
ekatebrina_suit_leggings, #ffffff
ekatebrina_tier_2_suit_chestplate, #c8d9dd
ekatebrina_tier_2_suit_helmet, #ffffff
ekatebrina_tier_2_suit_leggings, #ffffff
elder_god_smithing_template, #6f3a5b
elder_gods_armor_boots, #844630
elder_gods_armor_chestplate, #7f513c
elder_gods_armor_helmet, #966246
elder_gods_armor_leggings, #512d36
electric_needle, #ffffff
electric_whip, #72b6ff
elementary_gem, #fbffcc
elephant_meat, #ffffff
elphic_prism, #ffffd0
elphic_prism_blueprint, #d0beab
emblem_of_mite, #ccbcaa
emblem_of_travel, #ffffff
emblem_shang_chi, #f5c5be
enchanted_golden_apple_potion, #fff7ab
enchanted_remains_potion, #ffffff
end_bulrush, #fff4ff
endacea_meat, #c5a8d0
ender_artefact, #b9a496
ender_crystal_et, #ffffff
ender_hammer, #fffaff
ender_hammer_cross, #ffffff
ender_hammer_head, #ffe3ff
ender_shard, #ffffff
ender_sword, #a01b76
enderman_blood, #ffffff
endothermic_ice, #fffaff
endothermic_ice_crystal, #ffffff
energy_charge, #d0ffff
energy_drink, #ffffff
enicrih_power, #ffffff
enicrih_suit_boots, #ffffff
enicrih_suit_chestplate, #f8e1d0
enicrih_suit_helmet, #fff2e4
enicrih_suit_leggings, #fffffe
enicrihs_claws, #fae6dd
eruption_on_a_stick, #fffffb
essence_shard, #ddffff
eternal_garland, #ffffff
eternal_town_spawner, #cad2c5
euca_adder, #d9b820
euca_blue_flower, #ffff8a
euca_golden_stalks, #fffb66
euca_goldite_bulb, #e3c630
euca_goldite_flower, #e1cc36
euca_goldite_stalks, #96aa20
euca_silver_gold_glower, #ffffff
euca_silver_short_grass, #ffffff
euca_silver_sprouts, #ffffff
euca_silver_tallgrass, #ffffff
euca_tall_flower, #fff743
euca_tall_golden_stalks, #f1ca2a
euca_tall_goldite_stalks, #e1c33a
euca_tall_grass, #ffff4d
everbleed, #ffffff
everfrost_ekatebrinas_core, #ffffff
excavation_flask, #ffffff
expedition_flask, #ffffff
experience_booster, #ffffff
explosive_barrel, #fffffa
explosive_powder, #ffffff
exposed_copper_sword, #ffffff
exterminator, #ffffff
extraterrestrial_gem, #ffffff
extraterrestrial_gem_blueprint, #ffeed2
extraterrestrial_slayer, #a1fff8
extraterrestrial_totem, #ffffff
eye_of_arahulum_item, #ffffff
eye_of_the_storm, #ffffff
eyebloom, #7f7070
fabulous_defender, #ff98c2
fairy_crown, #ffe4bc
fairy_sword, #ff7dc6
fallen_rune, #b8b9c9
fallen_rune_3, #ffffff
fallen_rune_part, #fbfbff
fallen_rune_part_2, #ffffff
fancy_lightning, #ffffff
fantasy_flask, #ffffff
fear_skill_down, #8a646b
fear_skill_up, #8d656b
fear_textbook, #9d6958
ferbalic_door, #ffffff
ferbalidaisy, #ffffff
ferbilossom, #f2ffff
ferbum_de_lilly, #ffffff
fermented_tarantula_eye, #ffffff
fertilizer, #ffe1bc
fertilizing_core, #fffffc
filled_arei_gem, #ffffff
filled_blue_gem, #faffff
finished_bottle_of_divine_essences, #ffffff
fire_show, #864029
fire_spread, #ffffff
firefly_bottle, #d2fceb
firefly_item, #ffffff
fireoil, #ffffff
fireweed, #ffffff
fish_oil, #e4dccf
fish_sandwich, #ffffff
fishing_chest, #c8bccd
fishing_hook, #ffffff
fishing_skill_down, #ae8c97
fishing_skill_up, #af8d97
fishing_textbook, #9197d0
fishmage_net, #ffeefc
fist_of_the_king, #ffffe0
flame_pharos, #ffffff
flame_salts, #ffffff
flame_sphere, #ffc000
flameblossom_petals, #ddb6a7
flameblossom_seeds, #ffffff
flaming_fist, #ffebf7
flash_emblem, #fffaf5
flecheresha_stone, #cccccc
floo_cave_air, #afaba0
flower_shoot, #ffffff
flower_uranium_shard, #ffffff
floweria, #a28487
flowering_door, #fffff5
flowering_tree_sapling, #ffffff
fobastone_gem, #ffffff
forbidden_blades, #ffffff
forbidden_fruit, #ffed64
forbiddenmask_helmet, #ffffff
forest_chest, #eaffc0
forest_ranger_armor_boots, #334e3c
forest_ranger_armor_chestplate, #446846
forest_ranger_armor_helmet, #445b44
forest_ranger_armor_leggings, #344b33
forest_ranger_shears, #51ca7c
forge_of_the_light, #ffffff
fort_of_the_undead, #d6e0ac
fotium_axe, #bf9d58
fotium_hoe, #9d7d47
fotium_ingot, #ffc54b
fotium_nugget, #ffffff
fotium_pickaxe, #af8e4a
fotium_shovel, #b69a5e
fotium_spear, #ffffff
fotium_sword, #ffe372
fox_cap_helmet, #fffce3
fragmented_fractal, #a85a54
fratricide, #ffffff
fried_grass, #acf2cd
frivolous_flask, #ffffff
fruit_salad, #8e4618
fynbos_hakea, #ffffe3
garden_shovel, #ffffff
garden_shovel_creative, #ffffe0
gardens_of_eden, #ffffff
gardens_of_eden_celestial_sphere, #ffffd6
gardens_of_eden_music_disc_scorched_lands_light_iron, #968955
gardens_of_eden_record, #a0985a
garnet, #ffffff
garnet_armor_armor_boots, #ffffff
garnet_armor_armor_chestplate, #ffebee
garnet_armor_armor_helmet, #ffffff
garnet_armor_armor_leggings, #ffffff
garnet_smithing_template, #beac90
garnet_tools_axe, #f5685b
garnet_tools_hoe, #f47f61
garnet_tools_pickaxe, #eb6554
garnet_tools_shovel, #ff7564
garnet_tools_sword, #ffffff
gauntlet_of_the_destinies, #ffffea
geobstractsite_bush, #126175
geobstractsite_cave_air, #70828d
geobstractsite_crystal, #1487a4
geobstractsite_crystal_bottom, #158ca8
geobstractsite_crystal_top, #169bbb
geobstractsite_dust, #116c78
geobstractsite_garland, #e0ffff
geobstractsite_kelp, #18c9ae
geobstractsite_kelp_plant_normal, #18c9ae
geobstractsite_music_disc_street_piano, #2fa8cf
geobstractsite_tubes, #125f72
ghost_edge, #ffffff
ghost_orchid, #aef5ed
giant_sequoia_door, #fffff8
giant_sequoia_sapling, #ffffff
giant_virus, #ffffff
gingerbread_latte, #ffffff
glitch_spear, #252525
glow_bow, #e66e37
glow_candle, #43d2c8
glow_candle_four, #43d2c8
glow_candle_four_lit, #43d2c8
glow_candle_lit, #43d2c8
glow_candle_three, #43d2c8
glow_candle_three_lit, #43d2c8
glow_candle_two, #43d2c8
glow_candle_two_lit, #43d2c8
glow_dye, #3dbfb6
glow_stained_glass_panel, #37c9c9
glow_torchflower, #ddddd6
glowarise, #98d7f7
glowberry_cookie, #ffb95a
glowlichen_pie, #698779
glowlichen_plant_1, #ffffff
glowlichen_plant_2, #ffffff
glowlichen_plant_3, #fbffff
glowlichen_plant_4, #d9ffff
glowlichen_seeds, #ffffff
glowstone_archer_glove, #ffffff
glowstone_garland, #ffffe6
glyph_enicrichs_charm, #ffffdc
gnostic_armor_boots, #ffffff
gnostic_armor_chestplate, #dedee1
gnostic_armor_helmet, #eef0f2
gnostic_armor_leggings, #ffffff
godslayers_flask, #ffffff
godspeed_emblem, #ffffff
gold_chain, #ffffff
gold_coin, #ffe198
gold_lantern, #ffff66
gold_lantern_top, #ffff66
gold_mucunfectio_glass_panel, #aea776
gold_plate, #ffffcf
gold_prism_blueprint, #e0d2dd
gold_ring, #ffffd7
gold_soul_lantern, #faffbe
gold_soul_lantern_top, #faffbe
gold_sulfur_lantern, #f1f29d
gold_sulfur_lantern_top, #f1f29d
gold_vines, #f2f298
golden_apple_potion, #fff2bc
golden_cane, #ffffff
golden_cosmos, #fffffa
golden_dust, #ffffff
goldfish, #ffca33
grand_dc_emblem, #b9bbbf
grand_emblem, #f89d41
grand_marvel_emblem, #ffb5b6
grand_minecraft_sword, #fffff8
grand_unahzaal_armor_boots, #7a844a
grand_unahzaal_armor_chestplate, #93a55a
grand_unahzaal_armor_helmet, #a2ab5c
grand_unahzaal_armor_leggings, #849e66
grand_yasiden_sapling, #ffc8a8
grave_ash, #ffffff
grave_dust, #ffffff
gray_shotgun, #ffffff
great_brazier, #ffc262
great_gem_of_badoneti, #fffceb
great_gem_of_badoneti_blueprint, #fff2d4
great_mucunfectio_shell, #ffffff
great_old_ones_smithing_template, #76405c
great_spear, #ffffff
greatest_sword, #ffffff
green_apple, #4d821f
