// Compost colors for gtceu. You may add your own colors, change existing ones, or remove colors that aren't needed.
activity_detector_cover, #ddcfcc
green_dye_spray_can, #7c9462
green_glass_lens, #616f4b
hazmat_boots, #22221b
hazmat_chestpiece, #b27f5a
hazmat_headpiece, #766858
hazmat_leggings, #967964
highly_advanced_soc, #f7fbf8
highly_advanced_soc_wafer, #ffffff
hpic_chip, #eeb27d
hpic_wafer, #ffc68c
huge_pipe_extruder_mold, #b5b9bf
hv_battery_hull, #949494
hv_cadmium_battery, #a297aa
hv_conveyor_module, #78766f
hv_electric_motor, #989397
hv_electric_piston, #e0dee7
hv_electric_pump, #b1afc2
hv_emitter, #dabcb2
hv_field_generator, #cacde0
hv_fluid_regulator, #a7a5b4
hv_item_magnet, #d4c8ea
hv_lithium_battery, #a297aa
hv_power_unit, #656261
hv_robot_arm, #9a9494
hv_sensor, #d2d0cf
hv_sodium_battery, #a297aa
hv_solar_panel, #7594e7
hv_voltage_coil, #555155
ilc_chip, #78797a
ilc_wafer, #86868a
inductor, #a0705f
infinite_water_cover, #c2cce3
ingot_casting_mold, #97938c
ingot_extruder_mold, #b4b8bf
iron_minecart_wheels, #a2a2a2
item_detector_cover, #e4ddc6
item_filter, #ffffff
item_smart_filter, #edcfd4
item_tag_filter, #e4fcde
item_voiding_cover, #c3c9c8
iv_battery_hull, #d7bba8
iv_conveyor_module, #43484a
iv_electric_motor, #73788a
iv_electric_piston, #7c91b1
iv_electric_pump, #798698
iv_emitter, #6f696c
iv_field_generator, #8990c2
iv_fluid_regulator, #757a89
iv_power_unit, #514e54
iv_robot_arm, #6c798d
iv_sensor, #7587ab
iv_solar_panel, #5582d7
iv_vanadium_battery, #d7bba8
iv_voltage_coil, #5a464a
lapotron_crystal, #7f86d7
lapotronic_energy_orb, #83bbd6
lapotronic_energy_orb_cluster, #404b5c
large_pipe_extruder_mold, #b4b8be
light_blue_dye_spray_can, #9dc0f0
light_blue_glass_lens, #798aa2
light_gray_dye_spray_can, #c8ccd6
light_gray_glass_lens, #757576
lime_dye_spray_can, #9ed469
lime_glass_lens, #78935c
long_rod_extruder_mold, #bcc0c6
lpic_chip, #828386
lpic_wafer, #919197
luv_battery_hull, #bcc0d0
luv_conveyor_module, #483c3c
luv_electric_motor, #5e4a5a
luv_electric_piston, #84576f
luv_electric_pump, #665162
luv_emitter, #7d7272
luv_field_generator, #80697c
luv_fluid_regulator, #665865
luv_robot_arm, #725165
luv_sensor, #896b79
luv_solar_panel, #7997e0
luv_vanadium_battery, #9096aa
luv_voltage_coil, #585866
lv_battery_hull, #898989
lv_cadmium_battery, #918796
lv_conveyor_module, #584d43
lv_electric_motor, #8d7d80
lv_electric_piston, #aa9796
lv_electric_pump, #91806b
lv_emitter, #c6b183
lv_field_generator, #878c83
lv_fluid_regulator, #83786e
lv_item_magnet, #806f7a
lv_lithium_battery, #918796
lv_power_unit, #57544e
lv_robot_arm, #8a7a7a
lv_sensor, #a48c7f
lv_sodium_battery, #918796
lv_solar_panel, #5475c3
lv_voltage_coil, #827d83
machine_controller_cover, #d2d2d2
machine_memory_card, #fffffb
magenta_dye_spray_can, #d798da
magenta_glass_lens, #9a7297
maintenance_detector_cover, #d0d0d0
mask_filter, #4d3930
matchbox, #e35037
matches, #9a5b43
max_battery, #a0615a
micro_processor, #dcaa50
micro_processor_assembly, #d9c296
micro_processor_computer, #e0b954
micro_processor_mainframe, #aa9869
microchip_processor, #867250
mpic_chip, #f5b883
mpic_wafer, #ffcc91
multilayer_fiber_reinforced_circuit_board, #90825b
multilayer_fiber_reinforced_printed_circuit_board, #b4a26f
mv_battery_hull, #8e8e8e
mv_cadmium_battery, #9b90a0
mv_conveyor_module, #515247
mv_electric_motor, #797c82
mv_electric_piston, #8cb8c6
mv_electric_pump, #768491
mv_emitter, #d7bc82
mv_field_generator, #7da2aa
mv_fluid_regulator, #6b7987
mv_lithium_battery, #9b90a0
mv_power_unit, #576265
mv_robot_arm, #757d80
mv_sensor, #97b5ab
mv_sodium_battery, #9b90a0
mv_solar_panel, #5286d9
mv_voltage_coil, #6c94ab
name_casting_mold, #b1aba5
nan_certificate, #fcfff8
nand_chip, #7d6451
nand_memory_chip, #f0b47f
nand_memory_wafer, #ffc68d
nano_cpu_chip, #40aaca
nano_cpu_wafer, #50beda
nano_processor, #b5b59a
nano_processor_assembly, #a8c2c6
nano_processor_computer, #90c6cc
nano_processor_mainframe, #7f9d94
nano_saber, #446893
nanomuscle_boots, #443a3a
nanomuscle_chestplate, #443e3e
nanomuscle_helmet, #365054
nanomuscle_leggings, #413a3a
naquadah_boule, #5e585f
naquadah_credit, #5c585f
naquadah_wafer, #796c72
neuro_processing_unit, #6b9d64
neutron_reflector, #c5c5c5
neutronium_boule, #ffffff
neutronium_credit, #939393
neutronium_wafer, #ffffff
nightvision_goggles, #3d5f41
nor_memory_chip, #f1b47f
nor_memory_wafer, #ffc98e
normal_pipe_extruder_mold, #b2b6be
nugget_casting_mold, #afaba4
orange_dye_spray_can, #eeb672
orange_glass_lens, #a1825b
osmium_credit, #89a7be
paracetamol_pill, #e7dd8d
petri_dish, #e0ffff
phenolic_circuit_board, #936b3a
phenolic_printed_circuit_board, #b28a58
phosphorus_boule, #86644a
phosphorus_wafer, #ffdea0
pill_casting_mold, #827c75
pink_dye_spray_can, #edb6d7
pink_glass_lens, #a58796
plant_ball, #86b52f
plastic_circuit_board, #ffffff
plastic_printed_circuit_board, #caeb5b
plate_casting_mold, #a09a94
plate_extruder_mold, #b2b6be
platinum_credit, #eae7cc
portable_debug_scanner, #58487a
portable_scanner, #948975
power_thruster, #656566
programmed_circuit, #8d9e9e
prospector.hv, #abb1be
prospector.luv, #b6a1aa
prospector.lv, #6b645a
purple_drink, #da9aff
purple_dye_spray_can, #be8de3
purple_glass_lens, #8c689e
qbit_cpu_chip, #b9cc5c
qbit_cpu_wafer, #cae06b
quantum_eye, #766cac
quantum_processor, #a2b654
quantum_processor_assembly, #98cc7f
quantum_processor_computer, #6ec35f
quantum_processor_mainframe, #799870
quantum_star, #ffffff
quarktech_boots, #738a57
quarktech_chestplate, #7f9b54
quarktech_helmet, #789357
quarktech_leggings, #6f805f
rad_away_pill, #b550b4
ram_chip, #7c7c80
ram_wafer, #898a8e
raw_crystal_chip, #a5cf82
raw_crystal_chip_parts, #84c578
red_dye_spray_can, #cf7c86
red_glass_lens, #9e5e5c
resin_circuit_board, #bb985b
resin_printed_circuit_board, #caa76c
resistor, #eab879
ring_extruder_mold, #c0c5ca
rod_extruder_mold, #b5b9bf
rotor_casting_mold, #a4a098
rotor_extruder_mold, #b8bbc0
rubber_boat, #82705a
rubber_chest_boat, #806643
rubber_door, #766140
rubber_gloves, #23231c
rubber_hanging_sign, #947952
rubber_sapling, #687a3e
rubber_sign, #9b7a4d
shutter_module_cover, #bfbfbf
silicon_boule, #484848
silicon_wafer, #9d9ea4
silver_credit, #dad4dc
simple_soc, #86868a
simple_soc_wafer, #94969a
small_gear_casting_mold, #a29e97
small_gear_extruder_mold, #b2b6bc
small_pipe_extruder_mold, #b2b6be
smd_capacitor, #a8b9b8
smd_diode, #726c66
smd_inductor, #553632
smd_resistor, #f0d3b4
smd_transistor, #9d947c
soc, #f0b47d
soc_wafer, #ffc38a
solar_panel, #485b8a
solvent_spray_can, #a0afc3
steel_minecart_wheels, #58524b
stem_cells, #f1ddff
sticky_resin, #d9a069
storage_cover, #73695b
sus_record, #5b465e
tantalum_capacitor, #eb8a69
terminal, #cdd2cf
tiny_pipe_extruder_mold, #b8bec3
transistor, #80807d
treated_wood_boat, #69503a
treated_wood_chest_boat, #6f512d
treated_wood_door, #704326
treated_wood_hanging_sign, #7c5436
treated_wood_sign, #764828
tungsten_grinding_head, #7698c6
turbine_rotor, #bebebe
uhpic_chip, #5a5057
uhpic_wafer, #645861
ulpic_chip, #87898d
ulpic_wafer, #97989d
ulv_solar_panel, #7583b4
ulv_voltage_coil, #66556b
uv_battery_hull, #6f8a86
uv_conveyor_module, #5f202c
uv_electric_motor, #66404d
uv_electric_piston, #833648
uv_electric_pump, #5f3443
uv_emitter, #5c3443
uv_field_generator, #845b6e
uv_fluid_regulator, #662d3e
uv_naquadria_battery, #6e8a84
uv_robot_arm, #793347
uv_sensor, #783644
uv_solar_panel, #4e7abc
uv_voltage_coil, #6c2d3c
vacuum_tube, #b6b4bc
wetware_circuit_board, #556eff
wetware_printed_circuit_board, #8d94c0
wetware_processor, #dd7c57
wetware_processor_assembly, #dc8c83
wetware_processor_computer, #dd7265
wetware_processor_mainframe, #b6655e
white_dye_spray_can, #cccfe0
wire_extruder_mold, #b2b6bc
yellow_dye_spray_can, #e3d375
yellow_glass_lens, #a2a169
zero_point_module, #d68733
zpm_battery_hull, #878c82
zpm_conveyor_module, #897aa1
zpm_electric_motor, #86808e
zpm_electric_piston, #b2a2cf
zpm_electric_pump, #938e9d
zpm_emitter, #7a87b6
zpm_field_generator, #948d9e
zpm_fluid_regulator, #838089
zpm_naquadria_battery, #848c84
zpm_robot_arm, #9b91ae
zpm_sensor, #b1a4cc
zpm_solar_panel, #6683c6
zpm_voltage_coil, #3a483e
