// Compost colors for tconstruct. You may add your own colors, change existing ones, or remove colors that aren't needed.
adze_head_cast, #ffff7d
small_blade_red_sand_cast, #ff942f
small_blade_sand_cast, #ffffeb
small_earth_slime_crystal_bud, #6eb565
small_ender_slime_crystal_bud, #481c6b
small_ichor_slime_crystal_bud, #ff840b
small_sky_slime_crystal_bud, #5fa8a7
soul_glass_pane, #735847
soulsteel_ingot, #727669
soulsteel_nugget, #6c786e
tinkers_gadgetry, #89d2d2
tool_binding_cast, #ffff82
tool_binding_red_sand_cast, #ff942f
tool_binding_sand_cast, #ffffed
tool_handle_cast, #ffff7f
tool_handle_red_sand_cast, #ff932f
tool_handle_sand_cast, #ffffea
tough_binding_cast, #ffff83
tough_binding_red_sand_cast, #ff942f
tough_binding_sand_cast, #ffffeb
tough_handle_cast, #ffff7f
tough_handle_red_sand_cast, #ff932f
tough_handle_sand_cast, #ffffeb
venom_bottle, #ffffff
venombone, #b19634
white_clear_stained_glass_pane, #ffffff
wire_cast, #ffff7a
wire_red_sand_cast, #ff912d
wire_sand_cast, #ffffe7
yellow_clear_stained_glass_pane, #ffffff
