// Compost colors for regions_unexplored. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_branch, #e0ccbe
joshua_leaves, #f5f5f5
joshua_sapling, #fffffb
joshua_shrub, #fffffc
joshua_sign, #f4dec9
jungle_branch, #d0bb9a
jungle_shrub, #9ac37d
kapok_boat, #c9a77f
kapok_branch, #e4d9bc
kapok_chest_boat, #b59365
kapok_door, #ffffeb
kapok_hanging_sign, #e4cdb4
kapok_sapling, #e7fcc0
kapok_shrub, #98be62
kapok_sign, #f7e0c6
kapok_vines, #ffffff
larch_boat, #ddc5a7
larch_branch, #e4ddd4
larch_chest_boat, #c2a57c
larch_door, #ffffff
larch_hanging_sign, #f7e1cf
larch_sapling, #eeffca
larch_shrub, #ffffe7
larch_sign, #fff4e3
large_prismarite_cluster, #fffefc
light_blue_snowbelle, #a7fcfb
light_gray_snowbelle, #f1ffff
lime_snowbelle, #c9ff8e
magenta_snowbelle, #c39bfe
magnolia_boat, #c57f73
magnolia_branch, #d0aeaa
magnolia_chest_boat, #b57a5f
magnolia_door, #ffebee
magnolia_hanging_sign, #e69ea4
magnolia_sapling, #faffb8
magnolia_shrub, #e4f58e
magnolia_sign, #fab4b8
mallow, #fffffc
mangrove_branch, #c6ae9e
mangrove_shrub, #a5bb69
maple_boat, #e3bf7d
maple_branch, #dac6aa
maple_chest_boat, #c6a264
maple_door, #fff5bb
maple_hanging_sign, #ffe7b2
maple_leaf_pile, #ffffff
maple_sapling, #e4f0a5
maple_shrub, #aec357
maple_sign, #fff2bc
mauve_boat, #bfa7b1
mauve_branch, #cab6a7
mauve_chest_boat, #b19383
mauve_door, #feebff
mauve_hanging_sign, #d2c0dd
mauve_sapling, #f5aff5
mauve_shrub, #fcb2ff
mauve_sign, #e3d2ea
meadow_sage, #d9fffe
medium_grass, #ffffff
mycotoxic_daisy, #ffffff
mycotoxic_grass, #ffffdc
mycotoxic_mushrooms, #fffff1
oak_branch, #d3bca2
oak_shrub, #79c062
orange_coneflower, #ffffd6
orange_maple_leaf_pile, #ffffea
orange_maple_sapling, #ffcfa1
orange_maple_shrub, #e7975a
orange_snowbelle, #fee6a7
palm_beard, #fffff8
palm_boat, #fbdeaa
palm_chest_boat, #d4b57f
palm_door, #ffffff
palm_hanging_sign, #ffffda
palm_sapling, #f8ffc0
palm_shrub, #b9e661
palm_sign, #ffffe4
pine_boat, #f7cd9d
pine_branch, #d6c5b1
pine_chest_boat, #d2ab78
pine_door, #fffffb
pine_hanging_sign, #ffe6c5
pine_sapling, #edf4d2
pine_shrub, #eef7d4
pine_sign, #fff8d3
pink_bioshroom, #ffeeff
pink_bioshroom_door, #ffe4ff
pink_bioshroom_hanging_sign, #fcb1f2
pink_bioshroom_sign, #ffd3ff
pink_lupine, #f7d4c6
pink_magnolia_flowers, #ffffff
pink_magnolia_sapling, #ffeadd
pink_magnolia_shrub, #ffeee4
pink_snowbelle, #e4c2f0
pointed_redstone, #ffffff
poppy_bush, #e89a80
prismarite_cluster, #fbf0ed
prismoss_sprout, #f1dcb2
purple_coneflower, #ffffff
purple_lupine, #eacad7
purple_snowbelle, #b4a4ee
red_lupine, #ffd090
red_maple_leaf_pile, #ffe7e7
red_maple_sapling, #f7aca0
red_maple_shrub, #d76657
red_snowbelle, #fbbcb1
redstone_bud, #ffd4d4
redstone_bulb, #ff9b9b
redwood_boat, #d6977a
redwood_branch, #d7af9a
redwood_chest_boat, #be8961
redwood_door, #fff5eb
redwood_hanging_sign, #f0bbaa
redwood_sapling, #e6f4be
redwood_shrub, #e0f4b8
redwood_sign, #fcc6b2
salmon_poppy_bush, #fbc9a8
salmonberry, #ffffb2
sandy_grass, #ffffed
sandy_tall_grass, #ffffd6
silver_birch_branch, #f0e8d9
silver_birch_leaf_pile, #ffffee
silver_birch_sapling, #ffffcf
silver_birch_shrub, #ffff94
small_desert_shrub, #f2c2af
small_oak_sapling, #ffffff
socotra_boat, #d6a576
socotra_branch, #e6c5b2
socotra_chest_boat, #be9361
socotra_door, #fffada
socotra_hanging_sign, #e3b89e
socotra_sapling, #ffffdd
socotra_shrub, #feffbe
socotra_sign, #edbe9e
spanish_moss, #faffeb
spruce_branch, #bfa793
spruce_shrub, #d6e7d3
steppe_grass, #ffffff
steppe_shrub, #ffffff
steppe_tall_grass, #e1dee1
stone_bud, #ffffff
tall_blue_bioshroom, #d7ffff
tall_cobalt_earlight, #ffffff
tall_green_bioshroom, #f5ffde
tall_hyacinth_stock, #ffffff
tall_pink_bioshroom, #ffedff
tall_yellow_bioshroom, #ffffff
tassel, #ffffff
tsubaki, #ffcac6
waratah, #ffe8c8
white_magnolia_flowers, #ffffff
white_magnolia_sapling, #ffffff
white_magnolia_shrub, #ffffff
white_snowbelle, #ffffff
white_trillium, #ffffff
willow_boat, #d7c6a8
willow_branch, #e3e3d6
willow_chest_boat, #bfa87f
willow_door, #ffffff
willow_hanging_sign, #fbf4e4
willow_sapling, #d9e4b9
willow_shrub, #a2b86e
willow_sign, #fffceb
wilting_trillium, #ffffff
windswept_grass, #ffffff
yellow_bioshroom, #ffffff
yellow_bioshroom_door, #ffffdd
yellow_bioshroom_hanging_sign, #fff5ac
yellow_bioshroom_sign, #ffffcf
yellow_lupine, #f0fca1
yellow_snowbelle, #f5f784
