// Compost colors for betternether. You may add your own colors, change existing ones, or remove colors that aren't needed.
agave, #ffffff
quartz_glass_pane, #ffffff
quartz_glass_pane_black, #1c1f29
quartz_glass_pane_blue, #4648d9
quartz_glass_pane_brown, #9a5e32
quartz_glass_pane_cyan, #20bed3
quartz_glass_pane_gray, #555b61
quartz_glass_pane_green, #759139
quartz_glass_pane_light_blue, #37d3ff
quartz_glass_pane_light_gray, #c8c8b6
quartz_glass_pane_lime, #96f126
quartz_glass_pane_magenta, #f14de7
quartz_glass_pane_orange, #ff9a00
quartz_glass_pane_pink, #ffa1d9
quartz_glass_pane_purple, #a032e6
quartz_glass_pane_red, #d93333
quartz_glass_pane_white, #ffffff
quartz_glass_pane_yellow, #fff720
rubeus_door, #ffe3fa
rubeus_hanging_sign, #d0487d
rubeus_ladder, #ffa5c9
rubeus_sapling, #ffffff
rubeus_sign, #e14782
sepia_bone_grass, #ffffff
soul_grass, #ffffff
soul_lily_sapling, #ffffff
soul_vein, #ddc5d7
stalagnate_bowl, #cdfef0
stalagnate_bowl_apple, #b2d2d4
stalagnate_bowl_mushroom, #dafbee
stalagnate_bowl_wart, #d2ddd7
stalagnate_door, #f4ffff
stalagnate_hanging_sign, #7dd290
stalagnate_ladder, #7fbc96
stalagnate_seed, #fbfcff
stalagnate_sign, #68d38c
swamp_grass, #ffffff
wall_moss, #e8b9b9
wall_mushroom_brown, #ffffff
wall_mushroom_red, #ffffff
warped_ladder, #69bbb4
wart_door, #ffd3d3
wart_hanging_sign, #8c0f0e
wart_ladder, #bf4d4d
wart_sign, #e18383
whispering_gourd_vine, #ffffff
willow_door, #ffebe8
willow_hanging_sign, #bf5248
willow_ladder, #ffa7a1
willow_sapling, #ffe6ed
willow_sign, #cf4e43
