// Compost colors for samurai_dynasty. You may add your own colors, change existing ones, or remove colors that aren't needed.
akaname_tongue, #15c079
ruby, #e02266
sculk_samurai_boots, #3e5855
sculk_samurai_chestplate, #6c978d
sculk_samurai_helmet, #79a897
sculk_samurai_leggings, #437270
silver_ingot, #fbffff
silver_nugget, #dcfeff
spear_handle, #a78c52
spirit_flame, #c5ffff
spirit_upgrade_smithing_template, #6f918a
steel_boots, #d6bcb9
steel_chestplate, #ffffff
steel_helmet, #fffce3
steel_ingot, #b2b4c2
steel_leggings, #cdcfda
steel_ninja_boots, #413448
steel_ninja_chestplate, #685c6e
steel_ninja_helmet, #9d94a1
steel_nugget, #b2b4c2
straw_hat, #c09d5e
tyr_samurai_boots, #583d61
tyr_samurai_chestplate, #936c69
tyr_samurai_helmet, #aa6c47
tyr_samurai_leggings, #644e7f
white_samurai_boots, #e4ffff
white_samurai_boots_light, #444648
white_samurai_boots_master, #8e7a68
white_samurai_chestplate, #f5ffff
white_samurai_chestplate_light, #f5ffff
white_samurai_chestplate_master, #76797d
white_samurai_helmet, #dddee8
white_samurai_helmet_light, #e7faff
white_samurai_helmet_master, #d0d2d3
white_samurai_leggings, #feffff
white_samurai_leggings_light, #f2ffff
white_samurai_leggings_master, #c6c8ca
