// Compost colors for thermal_extra. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyssal_area_radius_augment, #66b579
raw_zinc_bucket, #b5c0bb
refined_sunflower_oil_bucket, #d6d6c5
salmon_jerky, #a87651
shellite_area_radius_augment, #937dbf
shellite_axe, #8c3e9e
shellite_boots, #863798
shellite_bucket, #b99ec3
shellite_chestplate, #a44dbe
shellite_coin, #9341ac
shellite_dust, #9140ab
shellite_dynamo_fuel_augment, #bc68b8
shellite_dynamo_output_augment, #bc50a8
shellite_excavator, #9a43b2
shellite_fluid_tank_augment, #ae61aa
shellite_gear, #8e3ea7
shellite_hammer, #9a46b2
shellite_helmet, #913ca7
shellite_hoe, #7f348d
shellite_ingot, #9340a8
shellite_knife, #793487
shellite_leggings, #89399b
shellite_machine_catalyst_augment, #8e65bc
shellite_machine_efficiency_augment, #a08dde
shellite_machine_output_augment, #c964a0
shellite_machine_speed_augment, #ac66b9
shellite_nugget, #ac5acc
shellite_pickaxe, #7f398e
shellite_plate, #a755c5
shellite_potion_amplifier_augment, #b872bb
shellite_potion_duration_augment, #b679c6
shellite_rf_coil_augment, #933d97
shellite_rf_coil_storage_augment, #8a518a
shellite_rf_coil_xfer_augment, #a14b94
shellite_rod, #863d9a
shellite_shovel, #974baf
shellite_sickle, #9441ab
shellite_sword, #9643ae
signalum_axe, #ff4a1b
signalum_boots, #ff3e12
signalum_chestplate, #ff5c1e
signalum_excavator, #ff4d14
signalum_hammer, #ff4e19
signalum_helmet, #f54319
signalum_hoe, #ff3a12
signalum_knife, #ff4416
signalum_leggings, #ff4011
signalum_pickaxe, #ff431e
signalum_rod, #ff320c
signalum_shovel, #ff5f29
signalum_sickle, #ff4718
signalum_sword, #ff4b19
silver_ore_chunk, #d0eafe
silver_rod, #7f90a4
soul_infused_area_radius_augment, #b9a875
soul_infused_axe, #b67057
soul_infused_boots, #ae6651
soul_infused_bucket, #cdb4a5
soul_infused_chestplate, #d08364
soul_infused_coin, #c0735a
soul_infused_dust, #be7058
soul_infused_dynamo_fuel_augment, #e1936e
soul_infused_dynamo_output_augment, #e47c5b
soul_infused_excavator, #c6765c
soul_infused_fluid_tank_augment, #cf876b
soul_infused_gear, #b96e57
soul_infused_hammer, #c5785c
soul_infused_helmet, #b26854
soul_infused_hoe, #a5614d
soul_infused_ingot, #bf7258
soul_infused_knife, #a4624d
soul_infused_leggings, #b16852
soul_infused_machine_catalyst_augment, #b8946c
soul_infused_machine_efficiency_augment, #c0b1a1
soul_infused_machine_output_augment, #ed8d5a
soul_infused_machine_speed_augment, #d3916f
soul_infused_nugget, #d78d68
soul_infused_pickaxe, #a86850
soul_infused_plate, #d48a68
soul_infused_potion_amplifier_augment, #da987a
soul_infused_potion_duration_augment, #d79e87
soul_infused_rf_coil_augment, #b66552
soul_infused_rf_coil_storage_augment, #ac764b
soul_infused_rf_coil_xfer_augment, #c37254
soul_infused_rod, #b97358
soul_infused_shovel, #c88261
soul_infused_sickle, #bc7058
soul_infused_sword, #c3755a
soul_sand_dust, #654d3e
sticky_ball, #d38952
sunflower_oil_bucket, #ccb99e
tin_ore_chunk, #7aa2b4
tin_rod, #7aacc3
twinite_area_radius_augment, #ffb5c3
twinite_axe, #ff7db8
twinite_boots, #ff6fa7
twinite_bucket, #f2b2c5
twinite_chestplate, #ff96c8
twinite_coin, #ff8ec2
twinite_dust, #ff79b4
twinite_dynamo_fuel_augment, #ff9ebb
twinite_dynamo_output_augment, #ff8aac
twinite_excavator, #ff82bc
twinite_fluid_tank_augment, #ff91af
twinite_gear, #ff5f9a
twinite_hammer, #ff87bc
twinite_helmet, #ff73ac
twinite_hoe, #ff69a8
twinite_ingot, #ff82b9
twinite_knife, #ff75af
twinite_leggings, #ff73aa
twinite_machine_catalyst_augment, #ffa1bf
twinite_machine_efficiency_augment, #ffb9e3
twinite_machine_output_augment, #ff98a4
twinite_machine_speed_augment, #ffa0be
twinite_nugget, #ffa7d4
twinite_pickaxe, #ff70ac
twinite_plate, #ffa7d4
twinite_potion_amplifier_augment, #ffa2c0
twinite_potion_duration_augment, #ffa7cc
twinite_rf_coil_augment, #ff729d
twinite_rf_coil_storage_augment, #f88090
twinite_rf_coil_xfer_augment, #ff7c9a
twinite_rod, #ff68aa
twinite_shovel, #ff94ca
twinite_sickle, #ff76af
twinite_sword, #ff76b4
upgrade_augment, #4b62c0
uranium_ore_chunk, #6b795f
zinc_dust, #b1d9bf
zinc_ore_chunk, #93b4ab
