// Compost colors for biomeswevegone. You may add your own colors, change existing ones, or remove colors that aren't needed.
allium_flower_bush, #a2a0b9
mahogany_sapling, #80904d
mahogany_sign, #af648e
man_o_war_bucket, #dabcd4
maple_boat, #91755a
maple_chest_boat, #8e7043
maple_door, #5c554e
maple_hanging_sign, #a49890
maple_sapling, #627832
maple_sign, #8a796b
mini_cactus, #9bca5c
music_disc_pixie_club, #7c8e3d
oddion_bulb, #c2a050
orange_amaranth, #d2bb41
orange_birch_sapling, #f8af3e
orange_daisy, #d4a132
orange_oak_sapling, #b9751c
orange_spruce_sapling, #944104
orchard_sapling, #97a132
osiria_rose, #e8af83
palm_boat, #ac966e
palm_chest_boat, #9b7d4a
palm_door, #988665
palm_hanging_sign, #cabc9a
palm_sapling, #c8e093
palm_sign, #b5a27d
palo_verde_sapling, #89b532
peach_leather_flower, #9ab555
pine_boat, #9e8c66
pine_chest_boat, #947846
pine_door, #a79b7f
pine_hanging_sign, #d2c9b2
pine_sapling, #696f40
pine_sign, #c2b48e
pink_allium, #ffc3de
pink_allium_flower_bush, #bfa0a0
pink_anemone, #d2ddc2
pink_daffodil, #fc9891
poison_ivy, #797979
prairie_grass, #b19837
prickly_pear_cactus, #86b84b
protea_flower, #c8ae75
purple_amaranth, #7564a5
purple_sage, #d0b1e3
purple_tulip, #70b55a
rainbow_eucalyptus_boat, #a4724e
rainbow_eucalyptus_chest_boat, #966c3c
rainbow_eucalyptus_door, #65524b
rainbow_eucalyptus_hanging_sign, #c2a494
rainbow_eucalyptus_sapling, #43782c
rainbow_eucalyptus_sign, #947358
red_birch_sapling, #f8653e
red_maple_sapling, #89261e
red_oak_sapling, #bc481c
red_spruce_sapling, #862214
redwood_boat, #a26262
redwood_chest_boat, #9b6957
redwood_door, #bc7272
redwood_hanging_sign, #ae6c6c
redwood_sapling, #5e6f15
redwood_sign, #b86c6c
richea, #a8b176
rose, #da552a
sakura_boat, #973346
sakura_chest_boat, #93473a
sakura_door, #bc4e62
sakura_hanging_sign, #b14b5e
sakura_sign, #c23e54
shelf_fungi, #ffd641
shrub, #809a3c
silver_maple_sapling, #aba7a0
silver_vase_flower, #d0c5be
skyris_boat, #70b5d3
skyris_chest_boat, #7f978e
skyris_door, #bfd6ea
skyris_hanging_sign, #8ec0d6
skyris_sapling, #ffd0d9
skyris_sign, #90d6f4
skyris_vine, #ffaaaa
snowdrops, #9be3c0
tall_allium, #d9b5ff
tall_beach_grass, #ffffea
tall_pink_allium, #ffb4da
tall_prairie_grass, #d7a04e
tall_white_allium, #fbffff
tiny_lily_pads, #969696
violet_leather_flower, #7ab579
water_silk, #7f9d40
weeping_milkcap, #824e43
white_allium, #ffffff
white_allium_flower_bush, #b6d9bc
white_anemone, #dcffbc
white_mangrove_boat, #fbf8f8
white_mangrove_chest_boat, #e1d4c2
white_mangrove_door, #fcf8f8
white_mangrove_hanging_sign, #eeebeb
white_mangrove_sapling, #93aa79
white_mangrove_sign, #fefbfb
white_puffball_cap, #ffffff
white_puffball_spores, #ffffff
white_puffball_stew, #a48d65
white_sage, #ddfbd7
white_sakura_petals, #ffffff
white_sakura_sapling, #ded2dc
willow_boat, #6b704a
willow_chest_boat, #786f41
willow_door, #868d5c
willow_hanging_sign, #83875b
willow_sapling, #516422
willow_sign, #868a58
winter_cyclamen, #4be0e8
winter_rose, #c6f4f5
winter_scilla, #5cabdd
winter_succulent, #3d7d48
witch_hazel_boat, #8c9a47
witch_hazel_branch, #c6755c
witch_hazel_chest_boat, #94863a
witch_hazel_door, #fcee41
witch_hazel_hanging_sign, #a2cc98
witch_hazel_sapling, #dc805b
witch_hazel_sign, #348054
wood_blewit, #6e5439
yellow_birch_sapling, #f4e63e
yellow_daffodil, #fff5c2
yellow_sakura_petals, #ffff79
yellow_sakura_sapling, #feda80
yellow_spruce_sapling, #948904
yellow_tulip, #7de12d
yucca_fruit, #b5da55
yucca_sapling, #667325
zelkova_boat, #a0612d
zelkova_chest_boat, #9a652c
zelkova_door, #b66430
zelkova_hanging_sign, #d78248
zelkova_sapling, #7d3237
zelkova_sign, #af6533
